,Style,label,Fabric( Need Being Marke and Cut),Trims,material/trim,description,location,qty,Color way-1,Color way-2,Color way-3,Color way-4,Color way-5,Color way-6,Color way-7,Color way-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19MNJP1_068_BOM.csv,ll,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB19WF1_119_BOM.csv,a,1,0,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"sleeves, placket, collar",none,black,,oxblood,sea pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19WF1_119_BOM.csv,a,1,0,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),front and back main body,none,heather gray,,oxblood,sea pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19WF1_119_BOM.csv,a,1,0,contrast stitching,thread,"flatlock seam at fornt and back raglan, and underarm seam",none, black,,beet red 19-2030tpx,griffin 17-5102tpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19WF1_119_BOM.csv,aa,0,1,hardware,"sungrip chic plastic snap button, 13mm (incl. washers)",(4) placket,4,black g580  ,,red g527,gray g577 top with gv bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19WF1_119_BOM.csv,bb,0,1,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,,black/moonbeam,black/moonbeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19WF1_119_BOM.csv,cc,0,1,size label,abwv_207 made in vietname woven label,sewn in and centered below abwv_84,1,black/neutral gray,,black/neutral gray,black/neutral gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19WF1_119_BOM.csv,dd,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black/white,,black/white,black/white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19WF1_119_BOM.csv,ee,0,1,abwvlp_01 woven loop,abwvlp_205 loop label,inside center back neck seam,1,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19WF1_119_BOM.csv,ff,0,1,branding,tbd,tbd,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19WF1_119_BOM.csv,gg,0,1,hangtag,tbd,tbd,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19WF1_119_BOM.csv,hh,0,1,hangtag,tbd,tbd,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19WF1_119_BOM.csv,ii,0,1,polybag w/ warning matter (supplied by your side),airpill logo print:  16 cm,same as 1314 bulk outerwear production,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19WF1_119_BOM.csv,jj,0,1,upc sticker,sticker width 3.5 cm,"place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 13/14",1,white,,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB19WF1_119_BOM.csv,kk,0,1,country of origin sticker,made in china sticker,centered above upc sticker,1,white,,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
