,Unnamed: 0,Style,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none.1,none.2,amount,0,0.1,0.2,location ,silt,military,ink,port,bone,black,walnut,location,colorway 1,colorway 4,colorway 5,colorway 6,soil,vintage camo broken twill,dusty green,0.3,soil / black,black / oxblood,gunmetal / bombay,dark slate,rust,raven,none.3,none.4,slider ref number,floral print broken twill,black/ rust,bone/ black,gunmetal/ ink,details,colorways,0.4,black overdye denim,brown overdye denim,bone/floral print,rust / black,ink / gunmetal,gunmetal,silt ,bone ,silt / gunmetal,walnut / ink,camo,sand / dark slate,harvest / raven,raw blue denim,pink,ref number,winter 2018/2019,contractor:,soluna
1437,4,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,upper body,polyfill,pinneco mantle,100% polyester,,,,none,none,none,,,,,upper body,,60g,,,,60g,,,,,,,,60g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,5,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,sleeves,polyfill,pinneco mantle,100% polyester,,,,none,none,none,,,,,sleeves,,60g,,,,60g,,,,,,,,60g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,6,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,seat,polyfill,pinneco mantle,100% polyester,,,,none,none,none,,,,,seat,,40g,,,,40g,,,,,,,,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,7,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,knees (front),polyfill,pinneco mantle,100% polyester,,,,none,none,none,,,,,knees (front),,40g,,,,40g,,,,,,,,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,18,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,leg vents,regular mesh,1606b02 (als-16038),100% polyester,,,,none,none,none,,,,,leg vents,,black,,,,black,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,"collar, sleeve hem",ribbing,leader collar / as last production,none,,,,none,none,none,,,,,"collar, sleeve hem",,military,,,,black,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,8,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,location ,seam tape,supplier/ reference number,content,,,,0,0,0,,,,,location ,,military,,,,black,,,,,,,,vintage camo broken twill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,9,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,critically taped,seam tape,tsgs,none,,,,none,none,none,,,,,critically taped,,critically taped,,,,critically taped,,,,,,,,critically taped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,12,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,sleeves,solid 210t ,solis/ sonp006-1 ,100% nylon,,,,none,none,none,,,,,sleeves,,18-1250 tcx bombay,,,,18-1250 tcx bombay,,,,,,,,18-1250 tcx bombay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,15,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,secondary pocket bags,solid 210t ,solis/ sonp006-1 ,100% nylon,,,,none,none,none,,,,,secondary pocket bags,,black,,,,black,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,13,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,pants,solid 210t ,solis/ sonp006-1 ,100% nylon,,,,none,none,none,,,,,pants,,18-1250 tcx bombay,,,,18-1250 tcx bombay,,,,,,,,18-1250 tcx bombay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,14,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,lower leg & gaiter,solid 210t ,solis / sonp006-pu03,100% nylon,,,,none,none,none,,,,,lower leg & gaiter,,black,,,,black,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,11,L1TA-205-18_HELLDIVER_04_05_17_SHELL.csv,upper body,solid quilted satin,solis/ pr258,100% polyester,,,,none,none,none,,,,,upper body,,18-1250 tcx bombay,,,,18-1250 tcx bombay,,,,,,,,18-1250 tcx bombay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,0,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_TRIMS.csv, #5 coil zipper,,ykk / 5c dalh 1-way semi auto locking,,,,,,,,1,,,,,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,fly ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,1,L1TA-204-18_HEARTBREAKER_TWILL_04_05_17_TRIMS.csv, #3 coil zipper,,non ykk / 1-way dadr fashion drop non locking,,,,,,,,1,,,,,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,leg pocket vertical ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
