,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
25,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
26,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
27,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black
28,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black,black,black
29,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,black
30,38mm flat elastic,chun wo ho (please look at photo in pdf and source similar elastic.,front shoulder straps,1 per side = 2,black,black,black,black,black
31,velcro,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill
32," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",chest pocket (hidden),1,match to shell,match to shell,match to shell,match to shell,match to shell
33," 1/2""x1 velcro with rounded corners",xxx,back left pocket (hidden),xxx,match to shell,match to shell,match to shell,match to shell,match to shell
34," 1/2"" x full length velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",right leg pocket (upper),1,match to shell,match to shell,match to shell,match to shell,match to shell
35," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",right leg pocket (lower),2,match to shell,match to shell,match to shell,match to shell,match to shell
36,thread,spi,supplier/ ref number,amount,black,ink,bone,soil,vintage camo broken twill
37,seams,10-12 spi,Feb-30,regular thread,matching,matching,matching,matching,matching
38,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching
39,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching
40,labels ,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill
41,10k/10k fully taped,soluna/ main label,inner front right,1,10k/10k fully taped,none,none,none,none
42,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none
43,hang tags,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill
44,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none,none
45,pant regular fit hang tag,soluna/ pant fit hang tag,left side hand pocket zipper,1,pant regular fit hang tag,none,none,none,none
46,care and content labels,supplier/ reference number,location,amount,black,ink,bone,soil,vintage camo broken twill
47,address label,factory sourced,lining left side seam,1,none,none,none,none,none
48,content label,factory sourced,lining left side seam,1,none,none,none,none,none
49,washing label,factory sourced,lining left side seam,1,none,none,none,none,none
