,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
32,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
33,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric
34,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
35,elastic ,none,back of sleeve cuffs,1 per side = 2,available,available,available,available
36,"elastic 1/4"" ",none,lining cable guide,1,black,black,black,black
37,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
38,elastine binding,none,goggle pocket binding,1,black,black,black,black
39,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw17-062
chun wo ho (please source)",hood & hem,1,"colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 3
12-0105 tcx bone/
16-5807 tcx silt","colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal"
40,velcro,supplier/ reference number,location,amount,military,bone,ink,black
41," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,match to shell
42,"1/2"" x 2 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,match to shell
43," 1/2"" x 5 1/2"" (1/2"" shorter that pocket length) velcro with rounded corners",paiho / loop#1057 / hooketn7,lining pocket,1,match to shell,match to shell,match to shell,match to shell
44,"3/4"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
45,"3/4"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
46,thread,spi,supplier/ ref number,amount,military,bone,ink,black
47,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
48,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell
49,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
50,labels ,supplier/ reference number,location,amount,military,bone,ink,black
51,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none
52,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none
53,hang tags,supplier/ reference number,location,amount,military,bone,ink,black
54,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none
55,care and content labels,supplier/ reference number,location,amount,military,bone,ink,black
56,address label,factory sourced,lining left side seam,1,address label,none,none,none
57,content label,factory sourced,lining left side seam,1,content label,none,none,none
58,washing label,factory sourced,lining left side seam,1,washing label,none,none,none
