MATERIAL_ID,0,1,2,3,4,5,6,7,8,9
31,FF,Velcro,hook and loop; L: 2.5cm x H: 1cm,(8) Pocket Flaps,8,BLACK,DTM OXBLOOD 19-1331TPX,NAVY T0524,MINT T1216,AB18WJ1_091
32,GG,Stoppers,Round Barrel stopper - K-018 , (2) hood,2,BLACK,BLACK,BONE,BONE,AB18WJ1_091
33,HH,Webbing,"Flat Webbing Tape, 8mm"," key clip attachment at inside wearer's right pocket, ",1,BLACK,BLACK,BLACK,BLACK,AB18WJ1_091
34,II,Hardware,"metal eyelets, 12mm  (incl. washers)","(4) at hood opening,",4,PEWTER BI-10,PEWTER BI-10,PEWTER BI-10,PEWTER BI-10,AB18WJ1_091
35,JJ,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm  (incl. washers)","(7) Storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt,(2) cuff",12,PEWTER BI-10,PEWTER BI-10,PEWTER BI-10,PEWTER BI-10,AB18WJ1_091
36,KK,Hardware,"Snap Buttons ABSNP_01 (MALE SIDE ONLY), 17mm  (incl. washers)","(2) cuff, (2) powder skirt",4,PEWTER BI-10,PEWTER BI-10,PEWTER BI-10,PEWTER BI-10,AB18WJ1_091
37,LL, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,Hood Opening,1,BLACK,BLACK,BONE,BONE,AB18WJ1_091
38,MM,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK,AB18WJ1_091
39,NN,Main Label,ABWV_67 Freedom Main Label,"inside c.b. neck, see Q/A for details",1,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,BONE/ DARK GREEN,AB18WJ1_091
40,OO,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below main label,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/OFF WHITE,AB18WJ1_091
41,PP,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,AB18WJ1_091
42,QQ,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/OFF WHITE,AB18WJ1_091
43,RR,Branding,ABEM_302 Airblaster Cursive Embroidery,"RIGHT chest pocket, see palcement page for detail",1,OLD GOLD 724,BLACK,BONE 80003,BONE 80003,AB18WJ1_091
46,TT,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18WJ1_091
47,UU,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18WJ1_091
48,VV,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,AB18WJ1_091
49,WW,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,AB18WJ1_091
50,XX,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,AB18WJ1_091
55,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
57,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
