,brand,style,description,outter ,inner,fabric,trims,item,supplier,ref,spec,width:,weight:,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5
51,edier,eiv4439,trims,0,1,0,1,drawcordref: eis15u-xmco01supplier: yf zipper,none,none,none,none,none,center front opening,1,dark night,blue morpho,none,none,none
52,edier,eiv4439,trims,0,1,0,1,elastic with y constructionref wb107supplier: wilson,none,none,none,none,none,at waist,1,insigna blue(ss18 lafuma color),insigna blue(ss18 lafuma color),none,none,none
53,edier,eiv4439,trims,0,1,0,1,lycra bias unicolorref: a00a-l11133/20supplier: wilson,none,none,none,none,none,hand pockets finishings,2,dark night,blue morpho,none,none,none
54,edier,eiv4439,labels,0,1,0,1,"new rubber plate
ref: eiw18-14
supplier : clotex 
35 mm x 35 mm",none,none,none,none,none,sewn on left shoulder of outside jacket,1,blue morpho,dark night,none,none,none
55,edier,eiv4439,labels,0,1,0,1,woven hangloop eiderref: eiw15-07supplier: sml,none,none,none,none,none,inside collar,1,blackl1eimwh04k#001 ,blackl1eimwh04k#001 ,none,none,none
56,edier,eiv4439,labels,0,1,0,1,made in women topmade in / women/ bl1eitph00esupplier: sml,none,none,none,none,none,inside collar,1,black,black,none,none,none
57,edier,eiv4439,labels,0,1,0,1,canadian labelfor paddinglocal sourcing,none,none,none,none,none,inside left,1,white,white,none,none,none
58,edier,eiv4439,labels,0,1,0,1,satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3,none,none,none,none,none,inside left,1,white,white,none,none,none
59,edier,eiv4413,shell,1,0,1,0,defender® libolon,libolon,6302,88% pes 12% pu// 100% tpu // 0,142 cm,227g/m2,hood + collar + body + bottom part of sleeves + airvent flap + facings (hood + collar + body and sleeve hem + chest pocket) + storm flap under cf zip + snowskirt garage,none,dark night,noir,dark wine,none,none
60,edier,eiv4413,shell,1,0,1,0,defender®h+ oxford,flying tex,nfo020nv34,100% pa // 100% pu // 0,"56""",215 g/m2,front collar + middle chest + top shoulders and sleeves + cuff flaps + cf zipper garage+ double piping at cf zipper,none,dark night,noir,dark wine,none,none
61,edier,eiv4413,shell,1,0,1,0,defender® motley dull,flying tex,pfw017n35,100% pes// 100% tpu // 0,0,0,2mm piping at hood peak,none,white,white,white,none,none
62,edier,eiv4413,shell,1,0,1,0,defender® motley dull,flying tex,pfw017n35,100% pes// 100% tpu // 0,0,0,2mm piping at sleeves + at chest pocket,none,corn,dark orange,noir,none,none
63,edier,eiv4413,lining,1,0,1,0,shell fabric,supplier libolon  ref. 06302,none,none,none,none,facing,none,dark night,dark wine,none,none,none
64,edier,eiv4413,lining,1,0,1,0,black nylon ,local sourcing,none,none,none,none,"sleeves + care label pocket
",none,black,black,none,none,none
65,edier,eiv4413,lining,1,0,1,0,thermo honeycomb biface,wide plus ref. kmq007-pj,none,none,none,none,inner cuffs,none,dark night/ misty grey,ghost/ steel grey,none,none,none
66,edier,eiv4413,lining,1,0,1,0,downproof planet,caroltex ref. 8093ldf3,none,none,none,none,collar + body,none,corn,noir,none,none,none
67,edier,eiv4413,lining,1,0,1,0,mesh stretch,local sourcing,none,none,none,none,goggle pocket,none,black,black,none,none,none
68,edier,eiv4413,lining,1,0,1,0,goggle cleaner,local sourcing,none,none,none,none,inside goggle pocket,none,grey,grey,none,none,none
69,edier,eiv4413,lining,1,0,1,0,cire taffetas,local sourcing,none,none,none,none,snowskirt + under snowskirt,none,black,black,none,none,none
70,edier,eiv4413,lining,1,0,1,0,foam reinforcement,local sourcing,none,none,none,none,hood peak,none,none,none,none,none,none
71,edier,eiv4413,pockets,1,0,1,0,micromax,local sourcing,none,none,none,none,hand pockets,none,0,0,none,none,none
72,edier,eiv4413,pockets,1,0,1,0,nylon,local sourcing,none,none,none,none,chest pockets + skipass pocket + inner pocket,none,black,black,none,none,none
73,edier,eiv4413,"insulation









",1,0,1,0,padded eloft / pm quality ,local sourcing,120 g  150g,none,none,none,body,none,0,0,none,none,none
74,edier,eiv4413,"insulation









",1,0,1,0,eloft / pm quality,local sourcing,80g    100g,none,none,none,sleeves,none,0,0,none,none,none
75,edier,eiv4413,"insulation









",1,0,1,0,eloft / pm quality,local sourcing,140g 120g,none,none,none,collar,none,0,0,none,none,none
76,edier,eiv4413,"insulation









",1,0,1,0,eloft / pm quality,local sourcing,40g    100g  60g,none,none,none,hood,none,0,0,none,none,none
77,edier,eiv4413,"waterproofness
",1,0,0,1,sealed seams,all seams,none,none,none,none,none,none,all seams,none,none,none,none
78,edier,eiv4413,tape,1,0,0,1,sealon tape,sleeves + chest pocket,none,none,none,none,none,none,sleeves + chest pocket,none,none,none,none
79,edier,eiv4413,threads,1,0,0,1,topstitching,none,none,none,none,none,none,none,none,none,all,none,none
80,edier,eiv4413,threads,1,0,0,1,bartacks,none,none,none,none,none,none,none,none,none,all,none,none
81,edier,eiv4413,zippers,1,0,0,1,"waterproofvislon zip5mmautolock, open end1 way, dalh slider",supplier : ykk,none,none,none,none,front opening,1,dark nightykk 919,blackykk 580,dark wineykk 864,none,none
82,edier,eiv4413,zippers,1,0,0,1,"waterproofvislon zip3mmautolock, close end1 way, dalh slider",supplier : ykk,none,none,none,none,chest pocket,1,dark nightykk 919,blackykk 580,blackykk 580,none,none
83,edier,eiv4413,zippers,1,0,0,1,"coil zip3mmautolock, close end1 way, dalh slider",supplier : ykk,none,none,none,none,hand pockets,2,dark nightykk 169,blackykk 580,dark wineykk 864,none,none
84,edier,eiv4413,zippers,1,0,0,1,"coil zip3mmnon lock, close end1 way, dfbw slider",supplier : ykk,none,none,none,none,airventsslider at bottom when closed,2,dark nightykk 169,blackykk 580,dark wineykk 864,none,none
85,edier,eiv4413,zippers,1,0,0,1,"reversed coil zip3mmnon lock, close end1 way, dfbw slider",supplier : ykk,none,none,none,none,inner pocket,1,blackykk 580,blackykk 580,blackykk 580,none,none
86,edier,eiv4413,zippers,1,0,0,1,"coil zip3mmautolock, open end1 way, da slider",supplier : ykk,none,none,none,none,removable hood12 cm,1,dark nightykk 169,blackykk 580,dark wineykk 864,none,none
87,edier,eiv4413,zippers,1,0,0,1,"coil zip3mmautolock, close end1 way, dalh slider",supplier : ykk,none,none,none,none,ski pass pocket,1,dark nightykk 169,blackykk 580,dark wineykk 864,none,none
88,edier,eiv4413,zippers,1,0,0,1,"coil zip3mmautolock, close end1 way, dalh slider",supplier : ykk,none,none,none,none,chest pocket,1,dark nightykk 169,blackykk 580,dark wineykk 864,none,none
89,edier,eiv4413,trims,1,0,0,1,rubber pullerref: eiw18-03,none,none,none,none,none,center front opening,1,dark night,black,black,none,none
90,edier,eiv4413,trims,1,0,0,1,puller rubberref: eis19-05supplier : dragon times,none,none,none,none,none,hand pockets,2,dark night,black,black,none,none
91,edier,eiv4413,trims,1,0,0,1,puller rubberref: eis19-05supplier : dragon times,none,none,none,none,none,chest pocket,1,dark night,black,black,none,none
92,edier,eiv4413,trims,1,0,0,1,puller rubberref: eis19-05supplier : dragon times,none,none,none,none,none,skipass pocket,1,dark night,black,black,none,none
93,edier,eiv4413,trims,1,0,0,1,drawcordref: eis15u-xmco01supplier: yf zippernot elastic,none,none,none,none,none,airvent,2,dark night,black,black,none,none
94,edier,eiv4413,trims,1,0,0,1,drawcordref: eis15u-xmco01supplier: yf zippernot elastic,none,none,none,none,none,sinner pocket,1,dark night,black,black,none,none
95,edier,eiv4413,trims,1,0,0,1,drawstring outdoorref: ew026supplier: yf zipperelastic,none,none,none,none,none,hood,1,dark night,black,black,none,none
96,edier,eiv4413,trims,1,0,0,1,drawstring outdoorref: ew026supplier: yf zipperelastic,none,none,none,none,none,body hem,1,dark night,black,black,none,none
97,edier,eiv4413,trims,1,0,0,1,cord lockref: eiw17-02supplier: dragon timesuse with 2mm drawstring,none,none,none,none,none,hood,2,dark night,black,black,none,none
98,edier,eiv4413,trims,1,0,0,1,rubber stopperref: eis15u-xmstp01supplier: unitex2cm x 1cm,none,none,none,none,none,back hood,1,dark night,black,black,none,none
99,edier,eiv4413,trims,1,0,0,1,rubber stopperref: eis15u-xmstp01supplier: unitex2cm x 1cm,none,none,none,none,none,body hem,2,dark night,black,black,none,none
100,edier,eiv4413,trims,1,0,0,1,colored eyeletref: eis15u-xmoei01supplier: unitex9mm,none,none,none,none,none,body hem,4,dark night,black,black,none,none
101,edier,eiv4413,trims,1,0,0,1,big eyelet12mmlocal sourcing,none,none,none,none,none,back hood,1,dark night,black,black,none,none
102,edier,eiv4413,trims,1,0,0,1,colored pearlsupplier: unitex,none,none,none,none,none,back hood,1,dark night,black,black,none,none
103,edier,eiv4413,trims,1,0,0,1,colored pearlsupplier: unitex,none,none,none,none,none,body hem,2,dark night,black,black,none,none
104,edier,eiv4413,trims,1,0,0,1,"colored webbingref: eis15u-xmtre01supplier: yf zipper0,5cm wideto hold stoppers",none,none,none,none,none,back hood,1,dark night,black,black,none,none
105,edier,eiv4413,trims,1,0,0,1,"colored webbingref: eis15u-xmtre01supplier: yf zipper0,5cm wideto hold stoppers",none,none,none,none,none,body hem,2,dark night,black,black,none,none
106,edier,eiv4413,trims,1,0,0,1,eider hangloopref : eiw18-01supplier : 'yf zipper4mm diameter,none,none,none,none,none,hangloop at collar,1,dark night/ black/ dark night,black/ raven/ misty grey,black/ raven/ misty grey,none,none
107,edier,eiv4413,trims,1,0,0,1,soft webbing for liningref:eiw17-15  supplier:  dragon times1cm,none,none,none,none,none,above chest pocket,1,dark night,black,black,none,none
108,edier,eiv4413,trims,1,0,0,1,soft webbing for liningref:eiw17-15  supplier:  dragon times1cm,none,none,none,none,none,above snowskirt,1,dark night,black,black,none,none
109,edier,eiv4413,trims,1,0,0,1,velcro hook + velvetlocal sourcing,none,none,none,none,none,cuffs,2,tone/tone,tone/tone,tone/tone,none,none
110,edier,eiv4413,trims,1,0,0,1,no slip elastic 25mmsiliconeref: eis17-08supplier: benefit,none,none,none,none,none,snowskirt,1,black,black,black,none,none
111,edier,eiv4413,trims,1,0,0,1,small plastic snapref : eiw16-16supplier : unitex12mm,none,none,none,none,none,removable hoodsnowskirt openingsnowskirt garage (check my comments for details),4f+4m2f+4m2f+2m,dark night,black,black,none,none
112,edier,eiv4413,trims,1,0,0,1,large elasticref: ew17-14supplier: wilson,none,none,none,none,none,for phone pocket,3,dark night,black,black,none,none
113,edier,eiv4413,trims,1,0,0,1,lycra bias unicolorref: a00a-l11133/20supplier: wilson,none,none,none,none,none,goggle pocket,1,dark night,black,black,none,none
114,edier,eiv4413,trims,1,0,0,1,elastic webbing 10mm18cm fininshed lenghtlocal sourcing,none,none,none,none,none,goggle cleaner,1,black,black,black,none,none
115,edier,eiv4413,trims,1,0,0,1,rubber earphone holeref: pa-a2  mp3 rubbert bsupplier: yf zipper,none,none,none,none,none,inner pocket,1,black,black,black,none,none
116,edier,eiv4413,labels,1,0,0,1,"new rubber plate
ref: eiw18-14
supplier : clotex 
35 mm x 35 mm",none,none,none,none,none,sewn on left shoulder,1,dark night,black,black,none,none
117,edier,eiv4413,labels,1,0,0,1,woven big labelref: eiw18-11supplier: sml120x120mm,none,none,none,none,none,sewn inside back,1,black,black,black,none,none
118,edier,eiv4413,labels,1,0,0,1,newsize woven label mmgalpha men topsupplier: smlref: lws18-01with rn + ca numbers,none,none,none,none,none,at the hangloop at collar,1,black,black,black,none,none
119,edier,eiv4413,labels,1,0,0,1,canadian labelfor paddinglocal sourcing,none,none,none,none,none,inside left,1,white,white,white,none,none
120,edier,eiv4413,labels,1,0,0,1,satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3supplier: sml,none,none,none,none,none,inside left,1,white,white,white,none,none
121,edier,eiv4413,hangtas,1,0,0,1,"plastic pinlocal sourcingto be confirmed10cm, white",none,none,none,none,none,to attach the hangtag,1,none,none,none,none,none
122,edier,eiv4413,hangtas,1,0,0,1,biggencode stickerlocal sourcing5cm x 5cm,none,none,none,none,none,sticked at back of corporate hangtag,1,none,none,none,none,none
123,edier,eiv4413,hangtas,1,0,0,1,brand hangtageid_1_corporate  (eidht01 / orli : 396031 )supplier: ,none,none,none,none,none,position 1,1,none,none,none,none,none
124,edier,eiv4413,hangtas,1,0,0,1,engagement hangtageid_2_lowimpact  (eidht024 / 396070 :)supplier: triple star,none,none,none,none,none,position 2,1,none,none,none,none,none
125,edier,eiv4413,hangtas,1,0,0,1,fabric hangtageid_3_defender10/10_fst  (eidht0303 / 396050 : )supplier: triple star,none,none,none,none,none,position 3,1,none,none,none,none,none
126,edier,eiv4462,fabric 1,1,0,1,0,new defender discovery,libolon,06302 10k/10k,88% pes 12% pu// 100% tpu // 0,"56""",0,"main shell 
",none,nightfall,noir,deep jungle,none,none
127,edier,eiv4462,fabric 2,1,0,1,0,defender®h+ motley dull,flying tex,pfw017n35,100% pes// 100% tpu // 0,"56""",162g/m2,"yokes at chest, top back, main parts of sleeves",none,nightfall,raven,noir,none,none
128,edier,eiv4462,lining,1,0,1,0,downproof planet,caroltex ref. 8093ldf3,none,none,none,none,body  + hood sides + collar + sleeves,none,raven,dark orange,noir,none,none
129,edier,eiv4462,lining,1,0,1,0,210t nylon ,local sourcing,none,none,none,none,inner pocket bag + care label pocket ,none,black,black,black,none,none
130,edier,eiv4462,lining,1,0,1,0,polytricot,local sourcing,none,none,none,none,collar,none,black,black,black,none,none
131,edier,eiv4462,pockets,1,0,1,0,micromax / polytricot,local sourcing,none,none,none,none,hand pockets,none,black,black,black,none,none
132,edier,eiv4462,pockets,1,0,1,0,nylon,local sourcing,none,none,none,none,inner pocket,none,black,black,black,none,none
133,edier,eiv4462,waterproofness,1,0,1,0,sealed seams,none,none,none,none,none,all seams,none,none,none,none,none,none
134,edier,eiv4462,threads,1,0,1,0,topstitching,none,none,none,none,none,all,none,none,none,none,none,none
135,edier,eiv4462,threads,1,0,1,0,bartacks,none,none,none,none,none,all,none,none,none,none,none,none
136,edier,eiv4462,fabric 1,0,1,1,0,downproof planet,caroltex,8093ldf3,none,none,none,main shell,none,raven,noir,deep jungle,none,none
