MATERIAL_ID,0,1,2,3,4,5,6,7,8
40,QQ,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm  (incl. washers)","(1) snap tabs at inside bottom hem,  (2) at powder skirt",3,TBD,TBD,TBD,TBD
41,SS,Hardware,"Snap Buttons ABSNP_01 (MALE SIDE ONLY), 17mm  (incl. washers)",(2) powder skirt,2,TBD,TBD,TBD,TBD
42,TT, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,"Hood Opening, (1) waist adjustment",2,TBD,TBD,TBD,TBD
43,UU,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK
44,VV,Main Label,TBD,"inside c.b. neck, see Q/A for details",1,TBD,TBD,TBD,TBD
45,WW,Size Label,ABWV_69V Vietnam Size label,sewn in and centered below ABWV_109,1,TBD,TBD,TBD,TBD
46,XX,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK
47,YY,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,TBD,TBD,TBD,TBD
48,ZZ,Branding,TBD,TBD,1,TBD,TBD,TBD,TBD
49,AAA,Branding,TBD,TBD,1,TBD,TBD,TBD,TBD
52,BBB,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD
53,CCC,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD
54,DDD,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR
55,EEE,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD
56,FFF,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD
61,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,
63,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,
