,item,supplier,ref,description,spec,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,fabric,trims,outer,inner
37,5mm eyelet,il jin  ,,5mm logo eyelet,,,, hem adjustment exit (4),4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,antique silver,none,,,scott usa,m defined merino jkt,0,1,1,0
38,"3/4"" foldable lycra",woosung,,binding,,,,"hood binding, cf zipper tape finish, neck seam          ",none,0.244,yard,marine blue,lake blue,caviar black,nightfall blue,royal red,none,,,scott usa,m defined merino jkt,0,1,1,0
39,hdp-003,factory,,high density print (matte quality),,,,upper left chest,1,none,0,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,none,,,scott usa,m defined merino jkt,0,1,1,0
40,sb-hdp-804,factory,,high density print (matte quality),,,,right bicep,1,none,0,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,none,,,scott usa,m defined merino jkt,0,1,1,0
41,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
42,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none,,,scott usa,m defined merino jkt,0,1,1,0
43,ccl-164,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
44,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,none,,,scott usa,m defined merino jkt,0,1,1,0
45,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
46,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
47,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
48,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
49,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
50,mapp    ,mapp,,mapp hangtag        ,,,,left side,1,0,0,x,x,x,x,x,none,,,scott usa,m defined merino jkt,0,1,1,0
51,sck-757s,singtex,,"shell fabric at front body, back body, front collar, back collar
facing fabric at rolled hem, rolled collar front and back",,,,none,none,4.8,yard,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,1,0,1,0
52,sck-757s,singtex,,"shell fabric at sleeves and collar sides, cuffs
facing fabric at rolled cuffs, rolled collar sides",,,,none,none,4.8,yard,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,1,0,1,0
53,cfc-39 dsbsos02a (h3),ykk,,"#3, closed end, dsbsos02a slider ",,,,cf zipper,1,none,0,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,0,1,1,0
54,"3/4"" foldable lycra",woosung,,binding,,,,"cf zipper tape finish, windflap edge",none,0.244,yard,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,0,1,1,0
55,normal flatlock,coats,,normal flatlock,,,,armhole seams,none,none,0,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,0,1,1,0
56,normal flatlock,coats,,normal flatlock,,,,side seams,none,none,0,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,0,1,1,0
57,dp-634,taekwang,,direct print (matte quality),,,,upper left chest,1,none,0,18-1449 ketchup,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,scott usa,m defined mid pullover,0,1,1,0
58,sb-dp-804,taekwang,,direct print (matte quality),,,,right bicep,1,none,0,moroccan red,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,scott usa,m defined mid pullover,0,1,1,0
59,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
60,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,dark grey,,,scott usa,m defined mid pullover,0,1,1,0
61,ccl-149,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
62,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,white,,,scott usa,m defined mid pullover,0,1,1,0
63,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
64,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
65,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
66,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
67,duro-ht-4s-2,daeyong,,duroxpand hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
68,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,x,,,scott usa,m defined mid pullover,0,1,1,0
69,fe529-a,premiere,,"shell fabric at hood, sleeves, sleeve pocket, collar
facing fabric at rolled cuffs, back of collar, windflap",,,,none,none,none,yard,lunar blue,lunar blue,moroccan red,lake blue,caviar black,none,,,scott usa,m defined plus jkt,1,0,1,0
70,fe529-a,premiere,,"shell fabric at front body, back body
facing fabric at rolled hem",,,,none,none,none,yard,marine blue,lunar blue,moroccan red,lake blue,caviar black,none,,,scott usa,m defined plus jkt,1,0,1,0
71,sck-757s,singtex,,shell fabric at face mask,,,,none,none,4.8,yard,marine blue,lunar blue,royal red,nightfall blue,caviar black,none,,,scott usa,m defined plus jkt,1,0,1,0
72,"tba-use available #5 coil open end, 1 slider for proto",ykk,,none,,,,cf zipper,1,none,0,use available,use available,use available,use available,use available,none,,,scott usa,m defined plus jkt,0,1,1,0
73,tba-use available #3 coil closed end for proto,ykk,,none,,,,hand pocket zippers,2,none,0,use available,use available,use available,use available,use available,none,,,scott usa,m defined plus jkt,0,1,1,0
74,tba-use available #3 coil closed end for proto,ykk,,none,,,,left sleeve pocket zipper,1,none,0,use available,use available,use available,use available,use available,none,,,scott usa,m defined plus jkt,0,1,1,0
75,142-01951-000013 ,utx,,flexible zipper puller,,,,"cf zipper (1), hand pocket (2), sleeve pocket (1)          ",4,0.11,0.44,lunar blue,lunar blue,moroccan red,nightfall blue,caviar black,none,,,scott usa,m defined plus jkt,0,1,1,0
76,pca224,utx,,cordlock,,,,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,,,scott usa,m defined plus jkt,0,1,1,0
77,10mm grosgrain ribbon,woosung,,webbing,,,,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,dark grey,none,,,scott usa,m defined plus jkt,0,1,1,0
78,p481s001,utx,,rubber puller ,,,,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,,,scott usa,m defined plus jkt,0,1,1,0
79,1034213,chun wo ho,,custom braid 2.2mm,,,,bottom hem,none,0.109,yard,marine blue,marine blue,moroccan red,nightfall blue,caviar black,none,,,scott usa,m defined plus jkt,0,1,1,0
80,5mm eyelet,il jin  ,,5mm logo eyelet,,,, hem adjustment exit (4),4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,antique silver,none,,,scott usa,m defined plus jkt,0,1,1,0
81,"3/4"" foldable lycra",woosung,,binding,,,,"hood binding, top and bottom of face mask, edge of windflap, finish at zipper tape edge, neck seam          ",none,0.244,0.244,marine blue,marine blue,royal red,lake blue,caviar black,none,,,scott usa,m defined plus jkt,0,1,1,0
82,gramax thread,coats,,normal flatlock,,,,"armhole seams, hood seams, face mask seam, underarm seams",none,none,0,lunar blue,marine blue,royal red,nightfall blue,caviar black,none,,,scott usa,m defined plus jkt,0,1,1,0
83,gramax thread,coats,,normal flatlock,,,,side seams,none,none,0,marine blue,lunar blue,moroccan red,lake blue,caviar black,none,,,scott usa,m defined plus jkt,0,1,1,0
84,dp-634,factory,,direct print (matte quality),,,,upper left chest,1,none,0,lunar blue,19-4024 dress blues,18-1449 ketchup,19-4110 nightfall blue,iron grey,none,,,scott usa,m defined plus jkt,0,1,1,0
85,sb-dp-804,factory,,direct print (matte quality),,,,right bicep,1,none,0,marine blue,marine blue,royal red,nightfall blue,irong rey,none,,,scott usa,m defined plus jkt,0,1,1,0
86,durawelt overlays,factory,,"1/4"" durawelt overlays",,,,sleeve pocket ,none,none,0,lunar blue,lunar blue,moroccan red,lake blue,caviar black,none,,,scott usa,m defined plus jkt,0,1,1,0
87,durawelt overlays,factory,,"1/4"" durawelt overlays",,,,around hand pocket zippers,none,none,0,marine blue,lunar blue,moroccan red,lake blue,caviar black,none,,,scott usa,m defined plus jkt,0,1,1,0
88,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
89,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none,,,scott usa,m defined plus jkt,0,1,1,0
90,ccl-001,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
91,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,none,,,scott usa,m defined plus jkt,0,1,1,0
92,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
93,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
94,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
95,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
96,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
97,dryo-ht-wr-2,daeyong,,dryozone dwr hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,,,scott usa,m defined plus jkt,0,1,1,0
98,#9068 powerdry,polartec,,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar",,,,none,none,11.2,meter,marine blue,caviar black,nightfall blue,moroccan red,none,none,,,scott usa,m defined polar jkt,1,0,1,0
99,sck-757s,singtex,,shell fabric at chest pocket,,,,none,none,4.8,yard,marine blue,caviar black,nightfall blue,moroccan red,none,none,,,scott usa,m defined polar jkt,1,0,1,0
100,l1025 sw,r.m. interlinings ltd.,,non woven interlining,,,,interior collar,none,0.1,yard,stock white,stock white,stock white,stock white,none,none,,,scott usa,m defined polar jkt,1,0,1,0
101,cifol-39 dsbyg (h3),ykk,,"#3 coil, open end, left insert, dsbyg slider ",,,,cf zipper,1,none,0,lunar blue,caviar black,nightfall blue,moroccan red,none,none,,,scott usa,m defined polar jkt,0,1,1,0
102,chc-36 dadr2a (e),ykk,,"#3 invisible coil, closed end, dadr2a ",,,,chest pocket zipper,1,none,0,lunar blue,iron grey,nightfall blue,moroccan red,none,none,,,scott usa,m defined polar jkt,0,1,1,0
103,cfc-39 dsbyg (h3),ykk,,"#3 coil, closed end, dsbyg slider ",,,,back pocket,1,none,0,lunar blue,iron grey,nightfall blue,moroccan red,none,none,,,scott usa,m defined polar jkt,0,1,1,0
104,"3/4"" foldable lycra    ",woosung,,binding,,,,interior cf zipper tape edge finish,none,0.244,yard,lunar blue,caviar black,nightfall blue,moroccan red,none,none,,,scott usa,m defined polar jkt,0,1,1,0
105,ext-tape-10,giant knitting,,reflective tape,,,,mp3 loop at cb neck seam,none,0.56,yard,reflective silver,reflective silver,reflective silver,reflective silver,none,none,,,scott usa,m defined polar jkt,0,1,1,0
106,coverstitch,ns coats,,4 needle coverstitching,,,,"seams at armhole, underarm, side seams, lower body horizontal seam",none,none,0,marine blue,caviar black,nightfall blue,moroccan red,none,none,,,scott usa,m defined polar jkt,0,1,1,0
107,tba,tba,,tba,,,,front left chest,1,none,0,lunar blue,iron grey,19-4010 eclipse blue,iron grey,none,none,,,scott usa,m defined polar jkt,0,1,1,0
108,"can you test which type works best with the polartec fabric such as print, high density print etc?",tba,,tba,,,,right bicep,1,none,0,lunar blue,iron grey,19-4010 eclipse blue,iron grey,none,none,,,scott usa,m defined polar jkt,0,1,1,0
109,phtw-15,polartec,,polartec heat transfer,,,,right side near hem and side seam,1,0,0,white,white,white,white,none,none,,,scott usa,m defined polar jkt,0,1,1,0
110,m-int-20,daeyong,,main interior label,,,,cb neckseam,1,0.108,0.108,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
111,8mm grosgrain locker loop,woosung,,grosgrain,,,,locker loop,none,0.04,yard,dark grey,dark grey,dark grey,dark grey,none,none,,,scott usa,m defined polar jkt,0,1,1,0
112,ccl-152,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
113,po label,daeyong ,,po label- for bulk only!,,,,interior left side seam,1,0.005,0.005,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
114,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
115,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
116,fit-ht-gen,daeyong,,general fit hang tag,,,,cf zipper slider,1,0.11,0.11,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
117,fit-ht-ath,daeyong ,,athletic fit hangtag       ,,,,cf zipper slider,1,0.055,0.055,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
118,ppg-15,polartec,,polartec powergrid hangtag,,,,cf zipper slider          ,1,0,0,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
119,porptec-15,polartec,,polartec polygeine hangtag,,,,cf zipper slider          ,1,0,0,x,x,x,x,none,none,,,scott usa,m defined polar jkt,0,1,1,0
120,meln135,premiere,,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar,  rolled hem, rolled cuffs,",,,,none,none,5.16,yard,nightfall blue,marine blue,caviar black,royal red,none,none,,,scott usa,m defined tech jkt,1,0,1,0
121,l1025 sw,r.m. interlinings ltd.,,non woven interlining,,,,collar,none,0.1,yard,white,white,white,white,none,none,,,scott usa,m defined tech jkt,1,0,1,0
122,cifol-56 da8blh1 (e)           ,ykk,,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,1,none,0,nightfall blue,lunar blue,iron grey,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
123,cfc-36 dablh (e)         ,ykk,,"#3 coil, closed end, dablh slider ",,,,chest pocket zipper,1,none,0,nightfall blue,marine blue,caviar black,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
