,Style,amount,colorway/10,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9,content,item,location,ref
1,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,content,item,insulation,supplier/ ref number
2,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,40g polyfill knees & seat,none,none,none,none,none,none,none,40g polyfill knees & seat,"""cs"""
3,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,content,item,seam tape,supplier/ ref number
4,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,fully taped,none,none,none,none,none,none,width...seam tape,fully taped,sealon
5,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,content,item,lining,supplier/ ref number
6,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,black,none,none,none,none,none,100% nylon,solid 210t,main body & back pocket bags,please sorce
7,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,black,none,none,none,none,none,100% poly,leg vents,legs,please sorce
8,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,black,none,none,none,none,none,100% nylon,coated 210t,lower leg & gaiter,please sorce
9,L1TA-203-17_SIREN_PANT_SHELL.csv.csv,,,black,none,none,none,none,none,100% poly,120g brushed tricot,waistband & hand pocket pags,please sorce
0,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,,,,, #5 metal zipper,center front,ykk / 2-way semi auto locking with 2 l1 custom pulls
1,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,,,,, #5 coil zipper,chest pocket vertical,non ykk / 1-way dadhr die cast wire non locking
2,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,2,,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,,,,, #5 coil zipper,hand pockets horizontal,non ykk / 1-way dadhr die cast wire non locking
3,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,additional zipper pulls,location,supplier/ reference number
4,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,top and bottom pull = 2,,ykk x antique copper,ykk x antique copper,ykk x antique copper,,,,,"l1-2018-trim-017
l1 zipper pull",center front,ykk
5,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,, 11nt-045 / self fabric pull ,chest pocket vertical,factory made
6,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,,,,, 11nt-045 / self fabric pull ,hand pockets horizontal,factory made
7,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,branded trims,location,supplier/ reference number
8,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,brown faux leather,brown faux leather,brown faux leather,,,,,"l1-2018-trim-006
large brown faux leather hem wrap",front left hand pocket,please source
9,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,woven label,woven label,woven label,,,,,"l1-2018-trim-001
woven label:",front right hand pocket bag,please source
10,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",left sleeve hem,please source
11,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,,,,,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",back right,please source
12,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,trims,location,supplier/ reference number
13,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,notions,location,supplier/ reference number
14,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,black,black,black,,,,,"grosgrain: 3/4"" wide  (fold in 1/2, 5/8"" finished tab length)",pull tab on velcro lining pocket ,soluna
15,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,velcro,location,supplier/ reference number
16,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,black,black,black,,,,,"1/2"" x 5 1/2"" (1/2"" shorter that pocket length velcro with rounded corners",lining pocket,paiho / hooketn7 / loop#1057
17,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,thread,supplier/ ref number,spi
18,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,none,,match to shell,match to shell,match to shell,,,,,seams,Feb-30,10-12 spi
19,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,none,,match to shell,match to shell,match to shell,,,,,topstitch,Feb-30,8-10 spi
20,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,none,,match to shell,match to shell,match to shell,,,,,bartacks,100/2,none
21,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,labels ,location,supplier/ reference number
22,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,5k/5k critically taped,5k/5k critically taped,5k/5k critically taped,,,,,5k/5k critically taped,center back below neck seam,soluna/ main label
23,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",,,,,size label (sample size l),center back below main label,soluna/ size label
24,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,hang tags,location,supplier/ reference number
25,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,,,,,mens jacket hang tag,left side hand pocket zipper,soluna/ mens jacket hang tag
26,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,amount,,black,walnut,dark slate,,,,,care and content labels,location,supplier/ reference number
27,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,address label,address label,address label,,,,,address label,lining left side seam,factory sourced
28,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,content label,content label,content label,,,,,content label,lining left side seam,factory sourced
29,L1-109-18_ROCKEFELLER_4-07-17_TRIMS.csv.csv,1,,washing label,washing label,washing label,,,,,washing label,lining left side seam,factory sourced
0,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none,,#5 coil ,fly ,ykk dalh // 1-way locking
1,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none,,#5 coil ,hand pockets,non ykk dadhr diecast wire // 1-way locking
2,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none,,#5 coil ,back right pocket,non ykk dadhr diecast wire // 1-way locking
3,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none,,#5 coil ,"""balls out"" venting","non ykk dadhr diecast wire // 2 sliders on closed ends tape, zip down each side to close (locking)"
4,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none,,#5 coil ,hem,non ykk dadhr diecast wire // 1-way locking
5,L1-203-17_AMERICANA_TRIMS.csv.csv,amount,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,item,zipper pulls,supplier/ ref number
6,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,shell fabric matching,none,none,none,none,none,, self fabric pull,hand pockets,factory made // 11nt-045 
7,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,shell fabric matching,none,none,none,none,none,, self fabric pull,"""balls out"" venting",factory made // 11nt-045 
8,L1-203-17_AMERICANA_TRIMS.csv.csv,amount,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,item,l1 branded trims,supplier/ ref number
9,L1-203-17_AMERICANA_TRIMS.csv.csv,3,,none,none,none,none,none,none,,l1 17mm metal snap ,waist closure & tool pocket,supplier / l1-2016-trim-001
10,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,none,none,none,none,none,none,,"l1  patch 
with deboss 2",back right waist band,l1-2017-trim-104
11,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,none,none,none,none,none,none,,new label tbd,front right hand pocket,new label tbd
12,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,none,none,none,none,none,none,,l1 embroidery large,front left hem,l1-2016-trim-027
13,L1-203-17_AMERICANA_TRIMS.csv.csv,colorway 1,,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,0,,#5 coil ,snaps,supplier/ ref number
14,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,psudo anti silver/ black cap,none,none,none,none,none,,24l metal snap,"""snap away hem"" back leg hem",none
15,L1-203-17_AMERICANA_TRIMS.csv.csv,3,,psudo anti silver/ black cap,none,none,none,none,none,,24l metal snap,"""jacket to pant connection"" back 3 belt loops",none
16,L1-203-17_AMERICANA_TRIMS.csv.csv,amount,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,item,other trims,supplier/ ref number
17,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,black,none,none,none,none,none,,key clip,right hand pocket,j&k // hk-001
18,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,psudo anti silver,none,none,none,none,none,,metal boot hook,front of leg gaiter,supplier / ref number
19,L1-203-17_AMERICANA_TRIMS.csv.csv,amount,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,item,webbing & elastic,supplier/ ref number
20,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,black,none,none,none,none,none,,"1/4"" flat x 1 3/4"" loop",keyclip loop right hand pocket,none
21,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,black,none,none,none,none,none,,"1"" tab",boot hook reinforcement,none
22,L1-203-17_AMERICANA_TRIMS.csv.csv,1 per side = 2,,black,none,none,none,none,none,,"1"" tab","""snap away hem"" reinforcement",none
23,L1-203-17_AMERICANA_TRIMS.csv.csv,amount,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,spi,thread,supplier/ ref number
24,L1-203-17_AMERICANA_TRIMS.csv.csv,regular thread,,matching,none,none,none,none,none,,none,seams,tseu
25,L1-203-17_AMERICANA_TRIMS.csv.csv,topstitch thread,,matching,none,none,none,none,none,,none,topstitch,tseu
26,L1-203-17_AMERICANA_TRIMS.csv.csv,heavy weight topstitch thread,,matching,none,none,none,none,none,,none,heavy weight topstitch,tseu
27,L1-203-17_AMERICANA_TRIMS.csv.csv,regular thread,,matching,none,none,none,none,none,,none,bartacks,tseu
28,L1-203-17_AMERICANA_TRIMS.csv.csv,amount,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,item,l1 marketing,supplier/ ref number
29,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,l1 pant hang tag,none,none,none,none,none,,l1 pant hang tag,front left belt loop,supplier // 
30,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,l1 pant fit hang tag  // regular fit,none,none,none,none,none,,l1 pant fit hang tag ,front left belt loop behind main hang tag,supplier // regular fit
31,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,l1 pant size label,none,none,none,none,none,,l1 pant size label,center back waist band facing,l1 pant size label
32,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,regular fit // 10k/10k // fully taped ,none,none,none,none,none,,l1 main label,lining front right,regular fit // 10k/10k // fully taped 
33,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,address label,none,none,none,none,none,,address label,lining left side seam,sew as loop
34,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,content label,none,none,none,none,none,,content label,lining left side seam,sew as loop
35,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,address label,none,none,none,none,none,,address label,lining left side seam,sew as loop
36,L1-203-17_AMERICANA_TRIMS.csv.csv,1,,clear zip tie,none,none,none,none,none,,clear zip tie,front left belt loop to attach hang tags,supplier // 
0,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black,,,,,,#5 coil ,fly ,ykk dalh // 1-way locking
1,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black,,,,,,#3 coil,leg pocket,non ykk dadr4 l-type drop // 1-way locking
2,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1 per side = 2,,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black,,,,,,#5 coil,hem,non ykk dadhr diecast wire // 1-way locking
3,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,amount,,black overdye denim,brown overdye denim,,,,,,item,l1 branded trims,supplier/ ref number
4,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,matte black,matte black,,,,,,17mm donut post shank,cf fly,supplier / l1-2016-trim-005
5,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,matte black,matte black,,,,,,10mm square rivet,front left hand pocket,l1-2016-trim-004
6,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,3,,matte black,matte black,,,,,,10mm denim rivet ,front pocket edges,14-l1sp-089
7,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,black,black,,,,,,"l1  patch 
with deboss 2",back right waist band,l1-2017-trim-104
8,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,black,black,,,,,,l1 small faux suede patch,back left pocket ,l1-2017-trim-106
9,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,dtm shell,dtm shell,,,,,,l1 embroidery large,front left hem,factory sorced // l1-2016-trim-027
10,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,amount,,black overdye denim,brown overdye denim,,,,,,item,other trims,supplier/ ref number
11,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1 + 2 clear plastic tips,,black waxed / clear tips,black waxed / clear tips,,,,,,"3/8"" flat waxed shoe lace with clear plastic tips",waist drawcord,supplier / ref number
12,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,black,black,,,,,,key clip,leg pocket,j&k // hk-001
13,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,amount,,black overdye denim,brown overdye denim,,,,,,item,webbing & elastic,supplier/ ref number
14,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,black,none,,,,,,"1/4"" flat x 1 3/4"" loop",keyclip loop leg pocket,none
15,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,amount,,black overdye denim,brown overdye denim,,,,,,spi,thread,supplier/ ref number
16,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,regular thread,,matching,matching,,,,,,12 spi (special allowance to avoid seam slip on shell  fabric),"shell seams 1/4"" allowance ",# 604 tseu
17,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,heavy weight topstitch thread,,matching,matching,,,,,,8-10 spi,denim weight topstitch,#606 tseu
18,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,regular thread,,matching,matching,,,,,,none,bartacks,# 604 tseu
19,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,amount,,black overdye denim,brown overdye denim,,,,,,item,l1 marketing,supplier/ ref number
20,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,l1 pant hang tag,l1 pant hang tag,,,,,,l1 pant hang tag,front left belt loop,supplier // 
21,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,denim warning hang tag,denim warning hang tag,,,,,,denim warning hang tag,front left belt loop behind main hang tag,supplier // 
22,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,l1 pant fit hang tag  // skinny fit,l1 pant fit hang tag  // skinny fit,,,,,,l1 pant fit hang tag ,front left belt loop behind denim dye warning hang tag,supplier // skinny fit
23,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,l1 pant size label,l1 pant size label,,,,,,l1 pant size label,center back waist band facing,l1 pant size label
24,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,skinny fit // 10k/10k // critically taped ,skinny fit // 10k/10k // critically taped ,,,,,,l1 main label,lining front right,skinny fit // 10k/10k // critically taped 
25,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,address label,address label,,,,,,address label,lining left side seam,sew as loop
26,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,content label,content label,,,,,,content label,lining left side seam,sew as loop
27,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,address label,address label,,,,,,address label,lining left side seam,sew as loop
28,L1-209-17_SKINNY_DENIM_PANT_TRIMS.csv.csv,1,,clear zip tie,clear zip tie,,,,,,clear zip tie,front left belt loop to attach hang tags,supplier // 
0,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,,, #5 coil zipper,fly ,ykk / 1-way semi auto locking dalh
1,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,,, #5 coil zipper,hand pockets,non ykk / 1-way non locking / dadhr diecast wire
2,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,,, #5 coil zipper,back right pocket,non ykk / 1-way non locking / dadhr diecast wire
3,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,,, #5 coil zipper,balls out venting,non ykk / 2-way non locking / dadhr diecast wire (zip down to close)
4,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,silder/pull color: x antique copper zipper tape color: black,,, #5 coil zipper,hem gusset ,non ykk / 1-way non locking / dadhr diecast wire
5,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,additional zipper pulls,location,supplier/ reference number
6,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,match to shell,match to shell,,, 11nt-045 / self fabric pull ,hand pocket zippers,factory made
7,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,match to shell,match to shell,,, 11nt-045 / self fabric pull ,back right pocket,factory made
8,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,match to shell,match to shell,,, 11nt-045 / self fabric pull ,balls out venting,factory made
9,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,match to shell,match to shell,,, 11nt-045 / self fabric pull ,hem gusset ,factory made
10,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,branded trims,location,supplier/ reference number
11,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,6,,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,,,"l1-2018-trim-021
l1 donut post shank","front strap closure (2), side entry closure (2 per side 4)",luks
12,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,3,,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,,,"l1-2018-trim-008
new standard snap ","chest pocket (2), leg pocket (1)",luks
13,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,6,,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,,,"l1-2018-trim-019 / 
l1 10mm denim rivet","hand pocket edges (4), back left pocket edges (2)",luks
14,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,"l1-2018-trim-027
l1 faux leather patch",chest pocket,please source
15,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,"l1-2018-trim-006
large brown leather hem wrap / artwork debossed 1mm",back left pocket,please source
16,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,"l1-2018-trim-023 / 
l1 faux leather denim patch",back right waist band,please source
17,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,matching,matching,matching,matching,black,,,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",front left hem,please source
18,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,trims,location,supplier/ reference number
19,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,,,15mm metal snap,"""finger snap hem adjust"" back gaiter/ pant hem",luk's / 404
20,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,,,boot hook,front gaiter,xxx
21,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,black,black,black,black,black,,,keyclip,right leg pocket,xxx
22,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 set per side = 2 sets,,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,,,metal clip and strap adjust,front of shoulder straps,xxx
23,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,notions,location,supplier/ reference number
24,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,match to shell,match to shell,,,self fabric tab 1x1,front gaiter under boot hook,factory
25,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,match to shell,match to shell,match to shell,match to shell,match to shell,,,self fabric tab 1x1,back gaiter under finger snap hem adjust,factory
26,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,black,black,black,black,black,,,"grossgrain 1/4""",attach key clip in right leg pocket,factory
27,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,black,black,black,black,black,,,"grossgrain 1/4""",balls out venting mesh guard,factory
28,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,2,,black,black,black,black,black,,,gripper elastic 25mm non logo,leg gaiters,mtt0022
29,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1 per side = 2,,black,black,black,black,black,,,38mm flat elastic,front shoulder straps,chun wo ho (please look at photo in pdf and source similar elastic.
30,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,velcro,location,supplier/ reference number
31,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,match to shell,match to shell,,," 1/2"" x 1 1/2"" velcro with rounded corners",chest pocket (hidden),"paiho / loop#1057, paiho / hooketn7"
32,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,xxx,,match to shell,match to shell,match to shell,match to shell,match to shell,,," 1/2""x1 velcro with rounded corners",back left pocket (hidden),xxx
33,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,match to shell,match to shell,match to shell,match to shell,match to shell,,," 1/2"" x full length velcro with rounded corners",right leg pocket (upper),"paiho / loop#1057, paiho / hooketn7"
34,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,2,,match to shell,match to shell,match to shell,match to shell,match to shell,,," 1/2"" x 1 1/2"" velcro with rounded corners",right leg pocket (lower),"paiho / loop#1057, paiho / hooketn7"
35,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,thread,supplier/ ref number,spi
36,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,regular thread,,matching,matching,matching,matching,matching,,,seams,Feb-30,10-12 spi
37,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,heavy weight topstitch thread,,matching,matching,matching,matching,matching,,,denim weight topstitch,none,8-10 spi
38,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,regular thread,,matching,matching,matching,matching,matching,,,bartacks,100/2,none
39,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,labels ,location,supplier/ reference number
40,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,10k/10k fully taped,none,none,none,none,,,10k/10k fully taped,inner front right,soluna/ main label
41,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,"xs, s, m, l, xl",none,none,none,none,,,size label (sample size l),center back ,soluna/ size label
42,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,hang tags,location,supplier/ reference number
43,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,mens jacket hang tag,none,none,none,none,,,mens jacket hang tag,left side hand pocket zipper,soluna/ mens jacket hang tag
44,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,pant regular fit hang tag,none,none,none,none,,,pant regular fit hang tag,left side hand pocket zipper,soluna/ pant fit hang tag
45,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,amount,,black,ink,bone,soil,vintage camo broken twill,,,care and content labels,location,supplier/ reference number
46,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,none,none,none,none,none,,,address label,lining left side seam,factory sourced
47,L1-202-18_OVERALL_04_05_17_TRIMS.csv.csv,1,,none,none,none,none,none,,,content label,lining left side seam,factory sourced
