,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
34,airblaster,AB18MJ1_075,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
35,airblaster,AB18MJ1_075,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
36,airblaster,AB18MJ1_075,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
37,airblaster,AB18MJ1_075,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
38,airblaster,AB18MJ1_075,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear,clear,,,1,0
39,airblaster,AB18MJ1_075,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
40,airblaster,AB18MJ1_075,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd,tbd,,,1,0
0,airblaster,AB18WJ1_075F,1,0,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,black,duffel,rust,butter,,,,,1,0
1,airblaster,AB18WJ1_075F,1,0,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"powder skirt, pocket bag, hood lining",none,black,black,black,black,,,,,1,0
2,airblaster,AB18WJ1_075F,1,0,other , velvety tricot - soto048-1 (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel",none,day junlge,day junlge,day junlge,day junlge,,,,,1,0
3,airblaster,AB18WJ1_075F,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,black,black,black,black,,,,,1,0
4,airblaster,AB18WJ1_075F,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, hood drawcord tunnel, wrist gaiters",none,black,black,black,black,,,,,1,0
5,airblaster,AB18WJ1_075F,0,1,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,1,0
6,airblaster,AB18WJ1_075F,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,1,0
7,airblaster,AB18WJ1_075F,1,0,other,clear pvc,pass pocket window opening at outside of powder skirt,none,clear,clear,clear,clear,,,,,1,0
8,airblaster,AB18WJ1_075F,1,0,other,80gm insulation,"sleeves, main body, sleeves",none,,,,none,,,,,1,0
9,airblaster,AB18WJ1_075F,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,1,0
10,airblaster,AB18WJ1_075F,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,1,0
11,airblaster,AB18WJ1_075F,0,1,zipper,"ykk no.5 metalux zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",(1)c.f.,1,black,duffel 237,rust 236,butter 510,,,,,1,0
12,airblaster,AB18WJ1_075F,0,1,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes down), (2) hand pockets,2,black,duffel 237,rust 236,butter 510,,,,,1,0
13,airblaster,AB18WJ1_075F,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", (2)vents,2,black,duffel 237,rust 236,butter 510,,,,,1,0
