,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
20,airblaster,AB18MJ2_081,0,1,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,1,0
21,airblaster,AB18MJ2_081,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6) c.f., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",11,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,1,0
22,airblaster,AB18MJ2_081,0,1,hardware,male snap only (incl. washers),(2) powder skirt (2) cuffs,4,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,1,0
23,airblaster,AB18MJ2_081,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,dark olive,black,black,,,,,1,0
24,airblaster,AB18MJ2_081,0,1,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,black,dark olive,black,black,,,,,1,0
25,airblaster,AB18MJ2_081,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
26,airblaster,AB18MJ2_081,0,1,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for placement",1,gold/black,gold/black,gold/black,gold/black,,,,,1,0
27,airblaster,AB18MJ2_081,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold,,,,,1,0
28,airblaster,AB18MJ2_081,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
29,airblaster,AB18MJ2_081,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/gold,black/gold,black/gold,black/gold,,,,,1,0
30,airblaster,AB18MJ2_081,0,1,branding,abpa_22 workwear label,"left chest, see art placement page for detail",1,brown,brown,brown,brown,,,,,1,0
31,airblaster,AB18MJ2_081,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
32,airblaster,AB18MJ2_081,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
33,airblaster,AB18MJ2_081,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
34,airblaster,AB18MJ2_081,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
35,airblaster,AB18MJ2_081,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB19KNJ1_002,1,0,main fabric,94% spun polyester 6%spandex single jersey + wicking               r21103023,main body,none,black,pizza,tbd,tbd,,,,,1,0
1,airblaster,AB19KNJ1_002,1,0,binding,94% spun polyester 6%spandex single jersey + wicking                      r21103023,hood opening,none,black,pizza,tbd,tbd,,,,,1,0
2,airblaster,AB19KNJ1_002,0,1,thread,none,flatlock seams upper body,none,black,black,tbd,tbd,,,,,1,0
3,airblaster,AB19KNJ1_002,0,1,thread,none,flatlock seams lower body,none,black,black,tbd,tbd,,,,,1,0
4,airblaster,AB19KNJ1_002,0,1,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,c.f. zipper,1,black,black,tbd,tbd,,,,,1,0
5,airblaster,AB19KNJ1_002,0,1,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,waistband zipper,1,black,black,tbd,tbd,,,,,1,0
6,airblaster,AB19KNJ1_002,0,1,main label,abtr_538v transfer label 100% polyester,"inside c.b. neck, 3  cm below neck seam",1,white,black,tbd,tbd,,,,,1,0
7,airblaster,AB19KNJ1_002,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black,black,black,black,,,,,1,0
8,airblaster,AB19KNJ1_002,0,1,embroidery,ninja star abem_015a 2-color ,"at wearer's left chest, sewn directly to chest with sns edge stitch, see palcement page for detail  (a. star color, b. pill color)",1,a) metallic silver st101                      b) black,,tbd,tbd,,,,,1,0
9,airblaster,AB19KNJ1_002,0,1,embroidery,abem_310 pizza ninja star,"at wearer's left chest, sewn directly to chest with sns edge stitch",1,,yellow/red/black/brown,,,,,,,1,0
10,airblaster,AB19KNJ1_002,0,1,hangtag,none,c.f. zipper. use white color webbing rope to attach. supplied by sml.,1,tbd,tbd,tbd,tbd,,,,,1,0
11,airblaster,AB19KNJ1_002,0,1,size sticker,clear size indication zipper,2 pcs placed on each designated white square on side of packing box.,2,clear,clear,clear,clear,,,,,1,0
12,airblaster,AB19KNJ1_002,0,1,upc sticker,sticker width 3.5 cm,"at bottom side of ninja suit packaging box.  place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 12/13.",1,white,white,white,white,,,,,1,0
13,airblaster,AB19KNJ1_002,0,1,ninja packing box,see sample,garment folded neatly and placed in packing box.  will advise ordering information when available.,1,black,black,black,black,,,,,1,0
0,airblaster,AB19MF1_114,1,0,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"sleeves, placket, collar",none,,black,black,black,,,,,1,0
1,airblaster,AB19MF1_114,1,0,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),front and back main body,none,,heather gray,oxblood,sea pine,,,,,1,0
2,airblaster,AB19MF1_114,0,1,hardware,"sungrip chic plastic snap button, 13mm (incl. washers)",(4) placket,4,,black g850,black g851,black g852,,,,,1,0
3,airblaster,AB19MF1_114,0,1,main label,tbd,centered 1.5cm below cb neck,1,,black/moonbeam,black/moonbeam,black/moonbeam,,,,,1,0
4,airblaster,AB19MF1_114,0,1,size label,abwv_207 made in vietnam woven label,sewn in and centered below abwv_84,1,,black/neutral gray,black/neutral gray,black/neutral gray,,,,,1,0
5,airblaster,AB19MF1_114,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,,black/white,black/white,black/white,,,,,1,0
6,airblaster,AB19MF1_114,0,1,abwvlp_01 woven loop,abwvlp_205 loop label,inside center back neck seam,1,,black,black,black,,,,,1,0
7,airblaster,AB19MF1_114,0,1,branding,tbd,tbd,1,,tbd,tbd,tbd,,,,,1,0
8,airblaster,AB19MF1_114,0,1,hangtag,tbd,tbd,1,,tbd,tbd,tbd,,,,,1,0
9,airblaster,AB19MF1_114,0,1,hangtag,tbd,tbd,1,,tbd,tbd,tbd,,,,,1,0
10,airblaster,AB19MF1_114,0,1,polybag w/ warning matter (supplied by your side),airpill logo print:  16 cm,same as 1314 bulk outerwear production,1,,tbd,tbd,tbd,,,,,1,0
11,airblaster,AB19MF1_114,0,1,upc sticker,sticker width 3.5 cm,"place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 13/14",1,,white,white,white,,,,,1,0
12,airblaster,AB19MF1_114,0,1,country of origin sticker,made in china sticker,centered above upc sticker,1,,white,white,white,,,,,1,0
0,airblaster,AB17MJ4_076,1,0,shell fabric,sotp013-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,forest,dk khaki,greyskull,,,,,1,0
1,airblaster,AB17MJ4_076,1,0,shell fabric,sotp013-pr20-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,,,,,wood duck critterflage,,,,1,0
2,airblaster,AB17MJ4_076,1,0,lining, soto048-p velvety tricot -  smooth side used as face side,front and back body only,none,night jungle,night jungle,night jungle,night jungle,,,,,1,0
3,airblaster,AB17MJ4_076,1,0,lining, soto048-1 velvety tricot -  smooth side used as face side,front and back body only,none,,,,,black,,,,1,0
4,airblaster,AB17MJ4_076,1,0,lining, soto048-1 velvety tricot -  smooth side used as face side,"inside lining, pocket bag, sleeves",none,black,black,black,black,black,,,,1,0
5,airblaster,AB17MJ4_076,1,0,pellon,lightweight interfacing (item# tbd),"collar, placket, cuffs, welts",none,white,white,white,white,white,,,,1,0
6,airblaster,AB17MJ4_076,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",(5)c.f.,5,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,1,0
7,airblaster,AB17MJ4_076,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,bottom hem,1,black,black,black,black,black,,,,1,0
8,airblaster,AB17MJ4_076,0,1,hardware,"metal eyelets, 12mm (incl. washers)", (2) inside bottom hem,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,1,0
9,airblaster,AB17MJ4_076,0,1,stopper,leather stopper abstpr_01, (2) bottom hem drawcord,2,brown,brown,brown,brown,brown,,,,1,0
10,airblaster,AB17MJ4_076,0,1,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black,black,,,,1,0
11,airblaster,AB17MJ4_076,0,1,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black,,,,1,0
12,airblaster,AB17MJ4_076,0,1,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
13,airblaster,AB17MJ4_076,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black,,,,1,0
14,airblaster,AB17MJ4_076,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
15,airblaster,AB17MJ4_076,0,1,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,black/white,black/white,black/white,black/white,,,,1,0
16,airblaster,AB17MJ4_076,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
17,airblaster,AB17MJ4_076,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
18,airblaster,AB17MJ4_076,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear,,,,1,0
19,airblaster,AB17MJ4_076,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
20,airblaster,AB17MJ4_076,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
0,airblaster,AB18MJ1_084G,1,0,shell fabric,sotm108-2l2-h 100%nylon 10k/8k dwr+breathable coating (supplied by li peng),"main body, sleeves. hood",none,black,evergreen,flame,day jungle,,,,,1,0
1,airblaster,AB18MJ1_084G,1,0,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),"powder skirt, pocket bag, sleeve lining, hood lining, below powder skirt",none,black,black,black,black,,,,,1,0
2,airblaster,AB18MJ1_084G,1,0,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,black,black,black,black,,,,,1,0
3,airblaster,AB18MJ1_084G,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,black,black,black,,,,,1,0
4,airblaster,AB18MJ1_084G,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),powder skirt,none,black,black,black,black,,,,,1,0
5,airblaster,AB18MJ1_084G,1,0,other,sotf104-1 100% polyester fleece,front and back inside lining to top of powder skirt only,none,black,fire,fire,black,,,,,1,0
6,airblaster,AB18MJ1_084G,1,0,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,1,0
7,airblaster,AB18MJ1_084G,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,1,0
8,airblaster,AB18MJ1_084G,0,1,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,black,black,black,black,,,,,1,0
9,airblaster,AB18MJ1_084G,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,1,0
10,airblaster,AB18MJ1_084G,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,1,0
11,airblaster,AB18MJ1_084G,0,1,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,black,evergreen 153,flame 819,cordovan 048,,,,,1,0
12,airblaster,AB18MJ1_084G,0,1,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,black,evergreen 153,flame 819,cordovan 048,,,,,1,0
13,airblaster,AB18MJ1_084G,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,evergreen 153,flame 819,cordovan 048,,,,,1,0
14,airblaster,AB18MJ1_084G,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,black,evergreen 153,flame 819,cordovan 048,,,,,1,0
15,airblaster,AB18MJ1_084G,0,1,zipper,"ykk no.5 nylon coil, hidden chain zipper, auto-lock slider da8lh",(1)removable powder skirt,1,black,evergreen 153,flame 819,cordovan 048,,,,,1,0
16,airblaster,AB18MJ1_084G,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"cf, (2) hand pockets, (1) internal pocket, (2) vents",6,black,black,black,black,,,,,1,0
17,airblaster,AB18MJ1_084G,0,1,stoppers,barrel stopper k-018,2) hood,2,black,black,black,black,,,,,1,0
18,airblaster,AB18MJ1_084G,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,1,0
19,airblaster,AB18MJ1_084G,0,1,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,black,black,black,black,,,,,1,0
20,airblaster,AB18MJ1_084G,0,1,hardware,"metal eyelets, 12mm (incl. washers)",(4) at hood opening,4,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,1,0
21,airblaster,AB18MJ1_084G,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",14,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,1,0
22,airblaster,AB18MJ1_084G,0,1,hardware,male snap only (incl. washers),"(2) powder skirt, (2)cuffs",4,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,1,0
23,airblaster,AB18MJ1_084G,0,1,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,black,black,black,,,,,1,0
24,airblaster,AB18MJ1_084G,0,1,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black,,,,,1,0
25,airblaster,AB18MJ1_084G,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
26,airblaster,AB18MJ1_084G,0,1,main label,abwv_59 glacier main label,"inside c.b. neck, see q/a for placement",1,olive/ black/ off white,black/ glod/ oxblood,olive/ black/ off white,black/ glod/ oxblood,,,,,1,0
27,airblaster,AB18MJ1_084G,0,1,size label,abwv_69v vietnam size label,sewn in and centered below abwv_111,1,olive/ black,black/gold,olive/ black,black/gold,,,,,1,0
28,airblaster,AB18MJ1_084G,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
29,airblaster,AB18MJ1_084G,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,olive/ black,black/gold,olive/ black,black/gold,,,,,1,0
30,airblaster,AB18MJ1_084G,0,1,branding,abpa_105b corey patch,"left chest, see palcement page for detail",1,bone/ black/black velcro,bone/ black/green velcro,bone/ black/ orange velcro,bone/ black/ blue grey velcro,,,,,1,0
31,airblaster,AB18MJ1_084G,0,1,branding,abpa_126 gully suede label,"left back side seam ,see placement page 2 for detail",1,black/bone,black/bone,black/bone,black/bone,,,,,1,0
32,airblaster,AB18MJ1_084G,0,1,branding,abwv_111 nlgc woven label,sewn in and centered below main label,1,olive/ black/ off white,black/ glod/ oxblood,olive/ black/ off white,black/ glod/ oxblood,,,,,1,0
33,airblaster,AB18MJ1_084G,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
34,airblaster,AB18MJ1_084G,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
35,airblaster,AB18MJ1_084G,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
36,airblaster,AB18MJ1_084G,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
37,airblaster,AB18MJ1_084G,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB18WP3_056,1,0,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,black,,oxblood,,,,navy,mint julep,1,0
1,airblaster,AB18WP3_056,1,0,shell fabric,sotd109-c1-y 100% polyester 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,none,,khaki,,dark navy,vintage black ,dinoflage,,,1,0
2,airblaster,AB18WP3_056,1,0,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,black,black,black,black,black,black,black,black,1,0
3,airblaster,AB18WP3_056,1,0,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,black,black,black,black,black,black,black,black,1,0
4,airblaster,AB18WP3_056,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black,black,black,black,black,1,0
5,airblaster,AB18WP3_056,1,0,other,40gm insulation,main body,none,white,,white,,,,white,white,1,0
6,airblaster,AB18WP3_056,0,1,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,black,khaki 886,oxblood 097,dark navy 391,vintage black 580,duffel 237,navy 196,mint julep 829,1,0
7,airblaster,AB18WP3_056,0,1,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pockets,2,black,khaki 886,oxblood 097,dark navy 391,vintage black 580,duffel 237,navy 196,mint julep 829,1,0
8,airblaster,AB18WP3_056,0,1,zipper pull,abzp_01 utility cord pulls,(2) pockets,2,black,black,black,black,black,black,black,bone,1,0
9,airblaster,AB18WP3_056,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,pewter bi-10,dark anti brass bi-18,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,pewter bi-10,1,0
10,airblaster,AB18WP3_056,0,1,hardware,12mm metal eyelet  (incl. washers),"front waistband 5cm each side of center front (2), left belt loop (1)",3,pewter bi-10,dark anti brass bi-18,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,pewter bi-10,1,0
11,airblaster,AB18WP3_056,0,1,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,1,0
12,airblaster,AB18WP3_056,0,1,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,1,0
13,airblaster,AB18WP3_056,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,black,black,black,dark olive,black,black,1,0
14,airblaster,AB18WP3_056,0,1,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,black,black,black,black,1,0
15,airblaster,AB18WP3_056,0,1,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black,black,black,black,black,1,0
16,airblaster,AB18WP3_056,0,1,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black,black,black,black,black,1,0
17,airblaster,AB18WP3_056,0,1,main label,abwv_67 freedom main label,inside c.b. waist see q/a for detail,1,gold/black,gold/black,gold/black,gold/black,gold/black,gold/black,gold/black,bone/ dark green,1,0
18,airblaster,AB18WP3_056,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/offwhite,1,0
19,airblaster,AB18WP3_056,0,1,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black,black,black,black,black,1,0
20,airblaster,AB18WP3_056,0,1,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white,black/white,black/white,black/white,black/white,1,0
21,airblaster,AB18WP3_056,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/offwhite,1,0
22,airblaster,AB18WP3_056,0,1,branding,abpa_115 airblaster pu label,"left front pocket, see art placement page for detail",1,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,1,0
23,airblaster,AB18WP3_056,0,1,branding,abpa_117 terry pu label,"left side seam, see palcement page for detail",1,mahogany/black,black/khaki,mahogany/black,black/khaki,black/khaki,black/khaki,mahogany/black,mahogany/black,1,0
24,airblaster,AB18WP3_056,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,1,0
25,airblaster,AB18WP3_056,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,1,0
26,airblaster,AB18WP3_056,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,black,black,black,black,1,0
27,airblaster,AB18WP3_056,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,white,white,white,white,1,0
28,airblaster,AB18WP3_056,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,white,white,white,white,1,0
0,airblaster,AB18MJ2_105,1,0,shell fabric,sotp013-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,dark olive,puddle,bone,,,,,1,0
1,airblaster,AB18MJ2_105,1,0,lining, soto048-p velvety tricot -  smooth side used as face side (supplied by solis),"inside lining, pocket bag, sleeves",none,day jungle,day jungle,day jungle,day jungle,,,,,1,0
2,airblaster,AB18MJ2_105,1,0,pellon,lightweight interfacing (item# tbd)  (supplied by you),"collar, placket, cuffs, welts",none,white,white,white,white,,,,,1,0
3,airblaster,AB18MJ2_105,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)  (supplied by you)",(5)c.f.,5,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
4,airblaster,AB18MJ2_105,0,1,hardware,"metal eyelets, 12mm (incl. washers)  (supplied by you)", (2) inside bottom hem,2,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
5,airblaster,AB18MJ2_105,0,1,stopper,leather stopper abstpr_134 leather pig nose  stopper, (2) bottom hem drawcord,2,black,black,black,black,,,,,1,0
6,airblaster,AB18MJ2_105,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm  (supplied by you),bottom hem,1,black,black,black,black,,,,,1,0
7,airblaster,AB18MJ2_105,0,1,elastic , 2.5 cm flat elastic  (supplied by you),(2) cuffs,2,black,black,black,black,,,,,1,0
8,airblaster,AB18MJ2_105,0,1,main label,abwv_84 slayer main label,centered 1.5cm below cb neck,1,cream/black,cream/black,cream/black,cream/black,,,,,1,0
9,airblaster,AB18MJ2_105,0,1,size label,abwv_69v vietnam size  label (supplied by sml),sewn in and centered below main label,1,black/ off white,black/ off white,black/ off white,black/ off white,,,,,1,0
10,airblaster,AB18MJ2_105,0,1,w/c label,satin label with print  (supplied by you),"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
11,airblaster,AB18MJ2_105,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/ off white,black/ off white,black/ off white,black/ off white,,,,,1,0
12,airblaster,AB18MJ2_105,0,1,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,black/white,black/white,black/white,,,,,1,0
13,airblaster,AB18MJ2_105,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
14,airblaster,AB18MJ2_105,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
15,airblaster,AB18MJ2_105,0,1,polybag w/ warning matter,airpill logo print:  16 cm (supplied by you),centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
16,airblaster,AB18MJ2_105,0,1,country of origin sticker (supplied by your side),made in china sticker  (supplied by you),centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
17,airblaster,AB18MJ2_105,0,1,upc sticker (supplied by your side),sticker width 3.5 cm  (supplied by you),lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB17MJ1_050B,1,0,shell fabric,sotd013-r01 100% polyester nantotex dwr coating,"main body storm flap, hood",none,black,black spruce,,gold,,,,,1,0
1,airblaster,AB17MJ1_050B,1,0,shell fabric,sotd013-pr03 100% polyester nantotex dwr coating,"main body storm flap, hood",none,,,stone critterflage,,,,,,1,0
2,airblaster,AB17MJ1_050B,1,0,lining,emb07 taffeta emboss (supplied by li peng),"inside lining, pocket bag",none,black,old gold,black,black,,,,,1,0
3,airblaster,AB17MJ1_050B,1,0,pellon,lightweight interfacing (item# tbd),inner storm flap,none,white,white,white,white,,,,,1,0
4,airblaster,AB17MJ1_050B,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,1,0
5,airblaster,AB17MJ1_050B,0,1,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (close ended)",c.f.,1,black,black spruce 120,brown 394,gold 508,,,,,1,0
6,airblaster,AB17MJ1_050B,0,1,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),(2) pocket,2,black,black spruce 120,brown 394,gold 508,,,,,1,0
7,airblaster,AB17MJ1_050B,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. ",3,black,old gold,black,black,,,,,1,0
8,airblaster,AB17MJ1_050B,0,1,stoppers,k343-2n push stoppers,"(1) bottom hem, (2) hood",3,black,black,black,black,,,,,1,0
9,airblaster,AB17MJ1_050B,0,1,hand pulls,plastic hand pulls zp11 , (1) bottom hem,1,black,black,black,black,,,,,1,0
10,airblaster,AB17MJ1_050B,0,1,webbing,flat webbing tape 8mm width," (1)stopper attachments loops at bottom hem, (2) stoper attachemnt at hood, (1) side seam for drawcord loops",4,black,black,black,black,,,,,1,0
11,airblaster,AB17MJ1_050B,0,1,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (2) inside bottom hem",6,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,,1,0
