,material,material_garment
248,", , w-ht-lay, w's layering hangtag         , , , , chain at left sleeve pocket",1
249,", , hangtag chain, chain for hangtag, , , , left side       ",1
250,", , fit-ht-gen, general fit hang tag, , , , chain at left sleeve pocket",1
251,", , fit-ht-ath, athletic fit hangtag, , , , chain at left sleeve pocket",1
252,", , ppg-15, polartec powergrid hangtag, , , , chain at left sleeve pocket",1
253,", , porptec-15, polartec polygeine hangtag, , , , chain at left sleeve pocket",1
254,", , meln135, collar, collar facing, shoulder and upper inside sleeve, back yoke, , , , ",1
255,", , meln135, front body, outer and lower sleeves, back body, , , , ",1
256,", , please source, mesh           , , , , lower right pocket bag",1
257,", , fs-1175, self fabric binding, , , , cf zipper tape finish, interior seam binding at armholes only",1
258,", , cifor-56 da8blh1 (e)           , #5 coil, open end, left insert, da8blh1 slider , , , , cf zipper",1
259,", , chc-36 dadr2a (e), #3 invisible coil, closed end, dadr2a , , , , lower right pocket",1
260,", , zp-561/5    , pop in puller- #5       , , , , cf zipper",1
261,", , 3/4"" foldable lycra, 3/4"" foldable lycra, , , , cf, collar, hem, and cuff",1
262,", , dp-634, direct matte print           , , , , left front chest",1
263,", , dp-755, direct matte print           , , , , left cuff",1
264,", , w-int-size, w's main interior label           , , , , cb neck seam      ",1
265,", , 8mm grosgrain ribbon    , grosgrain ribbon           , , , , cb neckseam locker loop      ",1
266,", , ccl-001, care content labels, , , , left side seam",1
267,", , po label, po label- for bulk only!, , , , left side seam",1
268,", , w-ht-lay, w's layering hangtag         , , , , left side       ",1
269,", , hangtag chain, chain for hangtag, , , , left side       ",1
270,", , fit-ht-gen, general fit insert, , , , insert",1
271,", , fit-ht-athl, athletic fit hangtag, , , , top of hang tag",1
272,", , dryo-ht-wr-2, dryozone dwr hangtag, , , , insert",1
273,", , duro-ht-uv-2, duroshade hangtag, , , , insert",1
274,", , sw8337s-p1 printed, shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband, , , , ",1
275,", , ssb-150256, shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband, , , , ",1
276,", , sw8337s-p1 printed, shell fabric at hem binding, , , , ",1
277,", , ssb-150256, shell fabric at hem binding, , , , ",1
278,", , sw8337s-p1 printed, shell fabric at right and left of front waistband, , , , ",1
279,", , ssb-150256, shell fabric at right and left of front waistband, , , , ",1
280,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , back pocket zipper",1
281,", , please source lace , lace with clear plastic tip, , , , cf waistband",1
282,", , metal eyelets, metal eyelets, , , , cf waistband",1
283,", , film overlay, film overlay, , , , back pocket window frame",1
284,", , ht-30, heat transfer, , , , front right waistband",1
285,", , ht-31, heat transfer, , , , back right pocket on the film overlay",1
286,", , ht -14, reflective heat transfer 1.25"", , , , left side seam near hem",1
287,", , five12-m-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",1
288,", , please source, perforated care content label , , , , left waistband seam  ",1
289,", , ssb-150256, shell fabric at hood, front and back body, sleeves, hand pocket bags, , , , ",1
290,", , sw8337s-p1 printed, shell fabric at hood, front and back body, sleeves, hand pocket bags, , , , ",1
291,", , cifor-39 dsbyg (h3), #3 coil, open end, right insert, dsbyg slider , , , , cf zipper",1
292,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , hand pocket zippers",1
293,", , cfc-39 dsbyg (h3) p12 kensin n-anti p-top reverse rx39 , #3 coil, closed end, dsbyg slider, , , , hand pocket zippers",1
294,", , please source, 1/4"" elastic, , , , cuffs, sides of hood",1
295,", , please source shockcord, 2.5mm shockcord, , , , hood adjustment",1
296,", , p481s001, rubber puller , , , , hem adjustment, back hood adjustment      ",1
297,", , pca224, cordlock, , , , back of hood ",1
298,", , 10mm grosgrain ribbon, grosgrain ribbon           , , , , anchor for pca224 cordlock at back hood",1
299,", , thread eyelet, thread eyelet, , , , back of hood adjustment shockcord exit",1
300,", , ht-01, heat transfer 2.25"", , , , bottom left under hand pocket",1
301,", , ht-02, reflective heat transfer 6"" strip, , , , back bottom center",1
302,", , ht-14, reflective heat transfer 1.25"", , , , right bicep",1
303,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",1
304,", , five12-m-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",1
305,", , self fabric locker loop, self fabric locker loop use shell #1, , , , locker loop",1
306,", , womens care label, perforated care content label , , , , left side seam",1
307,", , mens care label , perforated care content label , , , , left side seam",1
308,", , sck-2369s (sgb-141907), shell fabric at front body, back body, sleeves, neckband, rolled hem and cuffs, , , , ",1
309,", , ht-24, reflective heat transfer 1"", , , , centered below back neck",1
310,", , five12-m-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",1
311,", , please source, perforated care content label , , , , left side seam",1
312,", , sck-2265 ice caf, shell fabric on full body, legs and gusset, , , , ",1
313,", , tonal flatlock stitching, ns thread  , , , , rise, gusset, inseam, rolled hem",1
314,", , five12-elastic-01, logo elastic 1.5"", , , , waistband",1
315,", , ht - 14, reflective logo heat transfer, , , , 6"" up from bottom on back calf",1
316,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",1
317,", , sck 2265 ice caf, shell fabric at waistband, interior waistband, front and back legs, rolled cuffs, back pocket bag, , , , ",1
318,", , flatlock stitching, flatlock stitching    , , , , under waistband, rise, gusset, inseam and outseam",1
319,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , back pocket zipper",1
320,", , please source, lace, , , , interior waistband",1
321,", , ht-04, heat transfer, , , , front left waistband       ",1
322,", , ht -14, reflective heat transfer, , , , back waistband",1
323,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",1
324,", , tba, perforated care content label , , , , left waistband seam  ",1
325,", , sck 2265 ice caf, shell fabric at hood, front and back body, sleeves, collar, rolled hem and cuffs, , , , ",1
326,", , sck 2265 ice caf, shell fabric at underarm gussets, , , , ",1
327,", , contrast coverstitching, ns thread, , , , armhole, underarm gussets, side seams",1
328,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , cf half zipper",1
329,", , please source, lace, , , , hood adjustment",1
330,", , thread eyelet, sewn thread eyelets, , , , hood adjustment",1
331,", , ht-03, heat transfer, , , , upper cb centered",1
332,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",1
333,", , self fabric locker loop, self fabric locker loop use shell #1, , , , locker loop",1
334,", , tba, perforated care content label , , , , left side seam",1
335,", , sck-464 ice caf ., shell fabric at waistband and interior waistband, back pocket bag, , , , ",1
336,", , sw-8337 s caf, shell fabric and front and back legs, , , , ",1
337,", , sw-8337 s caf, self fabric binding on hem and side seams, , , , ",1
338,", , contrast stitching, 3 rows of single needle, , , , below waistband",1
339,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , back pocket zipper",1
340,", , please source, lace, , , , interior waistband",1
341,", , ht-04, heat transfer, , , , front left waistband       ",1
342,", , ht-14, reflective heat transfer, , , , back waistband center",1
343,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",1
344,", , tba    , perforated care content label , , , , left waistband seam  ",1
345,", , sw -8337 s cafe, shell fabric at hood, front and back body, sleeves, hand pocket bags, , , , ",1
346,", , sw -8337 s cafe, shell fabric at underarms, , , , ",1
347,", , sck-464 ice caf, fabric at internal hood face sheild, , , , ",1
348,", , sck-464 ice caf, self fabric binding at edge of face sheild, , , , ",1
349,", , cifor-39 dsbyg (h3), #3 coil, open end, right insert, dsbyg slider , , , , cf zipper",1
350,", , cfc-39 dsbyg (h3), #3 coil, closed end, dsbyg slider, , , , hand pocket zippers",1
351,", , please source, 1/4"" elastic, , , , cuffs, hem, cb hood, sides of hood",1
352,", , ht-01, heat transfer, , , , bottom left under hand pocket",1
353,", , ht-02, reflective heat transfer, , , , back bottom center",1
354,", , ht-14, reflective heat transfer, , , , right bicep",1
355,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",1
356,", , self fabric locker loop, self fabric locker loop use shell #1, , , , locker loop",1
357,", , tba, perforated care content label , , , , left side seam",1
358,", , sck-2265 ice caf, shell fabric on full body, legs and gusset, , , , ",1
359,", , tonal flatlock stitching, ns thread  , , , , rise, gusset/inseam, rolled, hem",1
360,", , five12-elastic-01, logo elastic 1.5"", , , , waistband",1
361,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb waistband   ",1
362,", , tba, perforated care content label , , , , left waistband seam  ",1
363,", , sck-464 ice caf, shell fabric at front and back body, sleeves, collar, interior collar, rolled hem and cuffs, , , , ",1
364,", , contrast coverstitching, ns thread, , , , armholes, side seams, back seams",1
365,", , ht-14, reflectice heat transfer, , , , upper cb centered",1
366,", , five12-w-int-ht-l, main interior heat transfer label, , , , interior cb neck          ",1
367,", , tba, perforated care content label , , , , left side seam",1
368,", , 340gms 80% cotton/20% polyester sweatshirt fabric, shell fabric at hood, front body, back body, sleeves, pocket
facing fabric at rolled facing at pocket edge, , , , ",1
369,", , 80% cotton/20% polyester rib knit sweatshirt fabric, shell fabric at collar, cuffs, hem, , , , ",1
370,", , 340gms 80% cotton/20% polyester sweatshirt fabric, lining, , , , interior hood",1
371,", , please source, herringbone cotton webbing/tape, , , , interior back neckseam",1
372,", , please source, 0.5"" flat drawcord (end is folded and stitched, no tips), , , , front hood adjustment",1
373,", , please source, metal eyelet (opening is 0.375""), , , , front hood adjustment drawcord exit",1
374,", , please source, interior main label, , , , interior back neck",1
375,", , please source, care label, , , , interior left side seam",1
376,", , please source, main hangtag, , , , tag pin inserted throught left underarm seam",1
377,", , 340gms 80% cotton/20% polyester sweatshirt fabric, shell fabric at front body, back body, sleeves , , , , ",1
378,", , 80% cotton/20% polyester rib knit sweatshirt fabric, shell fabric at collar, cuffs, hem , , , , ",1
379,", , please source, herringbone cotton webbing/tape, , , , interior back neckseam",1
380,", , please source, interior main label, , , , interior back neck",1
