index,brand,style,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,material_garment,cutting_materials,fabric,rib,insulation,interfacing,down,zipper,binding,seam tape,webbing,cord,screen print,embroidery,heat transfer,patch,label,thread,velcro,button,ring,buckle,stopper,puller,snap,hook,eyelet,packing,bag,box,desiccant,hangtag,tape,upc,papper,sticker,swift tack,outer,inner
35,scott usa,m defined merino jkt,,p481s001,,,,,rubber puller ,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.02,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,0,,,,0,0,1,0
36,scott usa,m defined merino jkt,,1034213,,,,,custom braid 2.2mm,marine blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,chun wo ho,,,0.109,yard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
37,scott usa,m defined merino jkt,,5mm eyelet,,,,,5mm logo eyelet,antique silver,antique silver,antique silver,antique silver,antique silver,,,,il jin  ,,4,0.03,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,,0,,,,0,0,1,0
38,scott usa,m defined merino jkt,,"3/4"" foldable lycra",,,,,binding,marine blue,lake blue,caviar black,nightfall blue,royal red,,,,woosung,,,0.244,yard,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
39,scott usa,m defined merino jkt,,hdp-003,,,,,high density print (matte quality),marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,,,,factory,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
40,scott usa,m defined merino jkt,,sb-hdp-804,,,,,high density print (matte quality),marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,,,,factory,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
41,scott usa,m defined merino jkt,,m-size-20,,,,,m's main interior label           ,,,,,,,,,daeyong,,1,0.045,0.045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
42,scott usa,m defined merino jkt,,8mm grosgrain ribbon    ,,,,,grosgrain ribbon           ,dark grey,dark grey,dark grey,dark grey,dark grey,,,,woosung  ,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
43,scott usa,m defined merino jkt,,ccl-164,,,,,care content labels,,,,,,,,,daeyong,,1,0.035,0.035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
44,scott usa,m defined merino jkt,,po label,,,,,po label- for bulk only!,white,white,white,white,white,,,,daeyong ,,1,0.005,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
45,scott usa,m defined merino jkt,,m-ht-lay,,,,,m's layering hangtag         ,,,,,,,,,daeyong,,1,0.22,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
46,scott usa,m defined merino jkt,,hangtag chain,,,,,chain for hangtag,,,,,,,,,daeyong,,1,0.06,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
