,brand,style,item,supplier,fabric,trims,description,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6
160,scott usa,w trail mtn wb 40 jacket,7mm thread eyelet,coats,0,1,thread eyelet,back of hood adjustment shockcord exit,1,none,yard,carrot orange,carrot orange,dark blue,dark grey,none,none
161,scott usa,w trail mtn wb 40 jacket,thad01p10gbk10,jrc,0,1,10mm reflective perf tape,cb neck,none,none,yard,graphite black,graphite black,graphite black,graphite black,none,none
162,scott usa,w trail mtn wb 40 jacket,rht-004,tba,0,1,reflective heat transfer,front left chest,1,0.44,0.44,reflective opal green,reflective plum violet,reflective orchid purple,reflective silver,none,none
163,scott usa,w trail mtn wb 40 jacket,rht-009,tba,0,1,reflective heat transfer,right bicep,1,0.556,0.556,reflective opal green,reflective plum violet,reflective orchid purple,reflective silver,none,none
164,scott usa,w trail mtn wb 40 jacket,laser cut holes,factory,0,1,laser cut holes,under venting flap (front & back),none,none,0,x,x,x,x,none,none
165,scott usa,w trail mtn wb 40 jacket,w_t43_bd,wwd,0,1,heat transfer main interior label w/size/country,interior cb neck,1,0.13,0.13,x,x,x,x,none,none
166,scott usa,w trail mtn wb 40 jacket,sco-lb-adrs    ,daeyong ,0,1,address/rn & ca #s           ,under normal care label      ,1,0.06,0.06,x,x,x,x,none,none
167,scott usa,w trail mtn wb 40 jacket,8mm grosgrain ,woosung,0,1,grosgrain,locker loop,none,0.04,yard,dark grey,dark grey,dark grey,dark grey,none,none
168,scott usa,w trail mtn wb 40 jacket,ccl-094,daeyong,0,1,care content labels,interior left side seam,1,0.035,0.035,x,x,x,none,none,none
169,scott usa,w trail mtn wb 40 jacket,ccl-001,daeyong,0,1,care content labels,interior left side seam,1,0.035,0.035,none,none,none,x,none,none
170,scott usa,w trail mtn wb 40 jacket,po label,daeyong ,0,1,po label- for bulk only!,under normal care label      ,1,0.005,0.005,white,white,white,white,none,none
171,scott usa,w  defined merino po,4560,dti,1,0,,"collar, chest, sleeves, back yoke, back body",none,11.87,meter,mahogany red,caviar black,nightfall blue,none,none,none
172,scott usa,w  defined merino po,sck-757s,singtex,1,0,,"cuffs, hem collar facing",none,4.8,yard,ruby red,mahogany red,nightfall blue,none,none,none
173,scott usa,w  defined merino po,gramax thread,coats,0,1,normal flatlock,cb yoke and top collar,none,none,none,mahogany red,caviar black,nightfall blue,none,none,none
174,scott usa,w  defined merino po,dp-634,taekwang,0,1,direct matte print,upper left chest,none,0.38,0,ruby red,mahogany,darker nightfall blue,none,none,none
175,scott usa,w  defined merino po,dp-755,taekwang,0,1,direct matte print,left cuff,1,0.38,0.38,ruby red,mahogany,darker nightfall blue,none,none,none
176,scott usa,w  defined merino po,ats,factory,0,1,ats,collar drawcord exit,none,none,0,caviar black,caviar black,caviar black,none,none,none
177,scott usa,w  defined merino po,w-int-20,daeyong,0,1,w's main interior label           ,cb neck seam      ,1,0.108,0.108,x,x,x,none,none,none
178,scott usa,w  defined merino po,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,none,none,none
179,scott usa,w  defined merino po,sco-41    ,daeyong,0,1,country of origin           ,cb neck seam under main interior label      ,1,0.015,0.015,none,none,none,none,none,none
180,scott usa,w  defined merino po,tba,daeyong,0,1,care content labels,left side seam,1,0.03,0.03,x,x,x,none,none,none
181,scott usa,w  defined merino po,ccl-ht-lb,daeyong,0,1,heat transfer washing instruction label,behind care label,1,0.03,0.03,black,black,black,none,none,none
182,scott usa,w  defined merino po,sco-lb-can-,daeyong,0,1,customs label,left side seam behind care label,1,0.075,0.075,x,x,x,none,none,none
183,scott usa,w  defined merino po,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,none,none,none
184,scott usa,w  defined merino po,w-ht-lay,daeyong,0,1,w's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,none,none,none
185,scott usa,w  defined merino po,hangtag pin,daeyong,0,1,pin for hangtags,left side       ,1,0,0,x,x,x,none,none,none
186,scott usa,w  defined merino po,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,none,none,none
187,scott usa,w  defined merino po,fit-ht-athl,daeyong,0,1,athletic fit hangtag,left side,1,0.055,0.055,x,x,x,none,none,none
188,scott usa,w  defined merino po,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,none,none,none
189,scott usa,w  defined merino po,mapp    ,mapp,0,1,mapp hangtag        ,left side,1,0,0,x,x,x,none,none,none
190,scott usa,w defined mid pullover,sck-757s,singtex,1,0,,"shell fabric at collar, upper sleeves, upper chest, upper back, lower front body, lower back body, windflap at collar, zipper tape finish, inner placket binding",none,4.8,yard,mahogany red,caviar black,galaxy blue,nightfall blue,mahogany red,none
191,scott usa,w defined mid pullover,sck-757s,singtex,1,0,,"shell fabric at underarms, lower sleeves, middle front body, middle back body",none,4.8,yard,ruby red,caviar black,galaxy blue,nightfall blue,mahogany red,none
192,scott usa,w defined mid pullover,st967 double weave,premiere,1,0,,bonded overlay at lower right pocket,none,4.64,yard,caviar black,caviar black,irong grey,nightfall blue,caviar black,none
193,scott usa,w defined mid pullover,cfc-39 dsbsos02a (h3)       ,ykk,0,1,"#3 coil, closed end, dsbsos02a slider",cf zipper,1,0.36,0.36,ruby red,caviar black,galaxy blue,nightfall blue,ruby red,none
194,scott usa,w defined mid pullover,cfc-36 dablh (e)           ,ykk,0,1,"#3 coil, closed end, dablh slider",lower right pocket ,1,0.15,0.15,ruby red,caviar black,galaxy blue,nightfall blue,ruby red,none
195,scott usa,w defined mid pullover,zp-562/3    ,utx,0,1,pop in puller           ,lower right pocket,1,0.049,0.049,caviar black,caviar black,galaxy blue,nightfall blue,caviar black,none
196,scott usa,w defined mid pullover,gramax thread,coats,0,1,normal flatlock,all flatlock seams,none,none,none,mahogany red,caviar black,galaxy blue,nightfall blue,mahogany red,none
197,scott usa,w defined mid pullover,dp-634,taekwang,0,1,direct matte print,upper left front,1,0.38,0.38,ruby red,mahogany red,pacific blue,darker nightfall blue,ruby red,none
198,scott usa,w defined mid pullover,dp-755,taekwang,0,1,direct matee print,left sleeve at cuff,1,0.38,0.38,mahogany red,mahogany red,pacific blue,darker nightfall blue,ruby red,none
199,scott usa,w defined mid pullover,w-int-size,daeyong,0,1,w's main interior label           ,cb neck seam      ,1,0.045,0.045,x,x,x,x,x,none
200,scott usa,w defined mid pullover,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none
201,scott usa,w defined mid pullover,ccl-149,daeyong,0,1,care content labels,left side seam,1,0.03,0.03,x,x,x,x,x,none
202,scott usa,w defined mid pullover,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,white,none
203,scott usa,w defined mid pullover,w-ht-lay,daeyong,0,1,w's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,x,none
204,scott usa,w defined mid pullover,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,x,none
205,scott usa,w defined mid pullover,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,x,x,none
206,scott usa,w defined mid pullover,fit-ht-athl,daeyong,0,1,athletic fit hangtag,top of hang tag,1,0.055,0.055,x,x,x,x,x,none
207,scott usa,w defined mid pullover,duro-ht-4s-2,daeyong,0,1,duroxpand hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
208,scott usa,w defined mid pullover,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
209,scott usa,w defined plus jkt,fe529-a,premiere,1,0,,"hood, collar, front body, inner sleeves, back body, cb, windflap",none,none,yard,melon red,galaxy blue,nightfall blue,rainforest gree,ruby red,none
210,scott usa,w defined plus jkt,fe529-a,premiere,1,0,,"shoulders and outer sleeves, sleeve zipper garage",none,none,yard,nightfall blue,galaxy blue,nightfall blue,rainforest green,ruby red,none
211,scott usa,w defined plus jkt,cifor-56 da8blh (e) ,ykk,0,1,"#5 coil, open end, right insert, da8blh slider ",cf zipper,1,0.49,0.49,nightfall blue,pacific blue,nightfall blue,nightfall blue,mahogany red,none
212,scott usa,w defined plus jkt,cfc-36 dablh (e),ykk,0,1,"#3 coil, closed end, dablh slider",sleeve pocket,1,0.15,0.15,nightfall blue,pacific blue,nightfall blue,nightfall blue,mahogany red,none
213,scott usa,w defined plus jkt,chc-36 dadr2a (e),ykk,0,1,"#3 invisible coil, closed end, dadr2a ",hand pockets,2,0.27,0.54,melon red,galaxy blue,nightfall blue,nightfall blue,ruby red,none
214,scott usa,w defined plus jkt,zp-561/5    ,utx,0,1,pop in puller- #5       ,cf zipper,1,0.05,0.05,nightfall blue,galaxy blue,nightfall blue,nightfall blue,caviar black,none
215,scott usa,w defined plus jkt,zp-562/3    ,utx,0,1,pop in puller- #3        ,sleeve pocket,1,0.049,0.049,nightfall blue,galaxy blue,nightfall blue,nightfall blue,caviar black,none
216,scott usa,w defined plus jkt,"3/4"" foldable lycra",woosung  ,0,1,"3/4"" foldable lycra","hood, cuff, and hem",none,0.191,yard,nightfall blue,galaxy blue,nightfall blue,nightfall blue,caviar black,none
217,scott usa,w defined plus jkt,gramax thread,coats,0,1,normal flatlock,"hood, cf, front body, cb body, hem",none,none,none,melon red,galaxy blue,nightfall blue,rainforest gree,ruby red,none
218,scott usa,w defined plus jkt,gramax thread,coats,0,1,normal flatlock,shoulder and sleeves,none,none,none,nightfall blue,galaxy blue,nightfall blue,rainforest gree,ruby red,none
219,scott usa,w defined plus jkt,dp-634,taekwang,0,1,direct matte print           ,upper left front chest,2,0.38,0.76,nightfall blue,pacific blue,melon red,nightfall blue,mahogany red,none
220,scott usa,w defined plus jkt,dp-755,taekwang,0,1,direct matte print           ,lower left sleeve,1,0.38,0.38,melon red,pacific blue,melon red,nightfall blue,mahogany red,none
221,scott usa,w defined plus jkt,lc holes,factory,0,1,laser cut holes,cf collar,2,none,0,x,x,x,x,x,none
222,scott usa,w defined plus jkt,w-int-size,daeyong,0,1,w's main interior label           ,cb neck seam      ,1,0.045,0.045,x,x,x,x,x,none
223,scott usa,w defined plus jkt,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none
224,scott usa,w defined plus jkt,ccl-001,daeyong,0,1,care content labels,left side seam,1,0.03,0.03,x,x,x,x,x,none
225,scott usa,w defined plus jkt,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,white,none
226,scott usa,w defined plus jkt,w-ht-lay,daeyong,0,1,w's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,x,none
227,scott usa,w defined plus jkt,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,x,none
228,scott usa,w defined plus jkt,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,x,x,none
229,scott usa,w defined plus jkt,fit-ht-athl,daeyong,0,1,athletic fit hangtag,top of hang tag,1,0.055,0.055,x,x,x,x,x,none
230,scott usa,w defined plus jkt,dryo-ht-wr-2,daeyong,0,1,dryozone dwr hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
231,scott usa,w defined plus jkt,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
232,scott usa,w  defined polar jkt,#9068 powerdry,polartec,1,0,,"fabric at main body front and back, collar, sleeves, windflap",none,11.2,meter,rainforest green,pacific blue,mahogany red,melon red,none,none
233,scott usa,w  defined polar jkt,please source,none,1,0,mesh,"cf zipper tape finish, windflap edge, hand pocket bags",none,2.05,yard,nightfall blue,galaxy blue,caviar black,nightfall blue,none,none
234,scott usa,w  defined polar jkt,l1025 sw,r.m. interlinings ltd.,1,0,non woven interlining,windflap,none,0.1,yard,x,x,x,x,none,none
235,scott usa,w  defined polar jkt,cifor-39 dsbyg (h3),ykk,0,1,"#3 coil, open end, right insert, dsbyg slider",cf zipper,1,none,0,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none
236,scott usa,w  defined polar jkt,cfc-36 dablh (e),ykk,0,1,"#3 coil, closed end, dablh slider ",hand pocket zippers,2,0.15,0.3,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none
237,scott usa,w  defined polar jkt,zp-561/5    ,utx,0,1,pop in puller           ,cf zipper,1,0.05,0.05,nightfall blue,galaxy blue,caviar black,nightfall blue,none,none
238,scott usa,w  defined polar jkt,zp-562/3    ,utx,0,1,pop in puller           ,hand pockets,2,0.049,0.147,nightfall blue,galaxy blue,caviar black,nightfall blue,none,none
239,scott usa,w  defined polar jkt,normal flatlock stitch,coats-ns,0,1,flatlock stitch,all seams,none,none,none,rainforest green,pacific blue,mahogany red,melon red,none,none
240,scott usa,w  defined polar jkt,dp-634,taekwang,0,1,direct matte print,left chest,1,0.38,0.38,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none
241,scott usa,w  defined polar jkt,dp-755,taekwang,0,1,direct matte print,right cuff,1,0.38,0.38,nightfall blue,galaxy blue,ruby red,nightfall blue,none,none
242,scott usa,w  defined polar jkt,phtw-15 ,polartec,0,1,polartec heat transfer ,right hem,1,0,0,white,white,white,white,none,none
243,scott usa,w  defined polar jkt,w-int-20,daeyong,0,1,w's main interior label ,cb neck,1,0.15,0.15,x,x,x,x,none,none
244,scott usa,w  defined polar jkt,8mm grosgrain webbing,daeyong ,0,1,webbing,locker loop,1,0.34,yard,dark grey,dark grey,dark grey,dark grey,none,none
245,scott usa,w  defined polar jkt,sco-41    ,daeyong,0,1,country of origin           ,cb neckseam      ,1,0.015,0.015,x,x,x,x,none,none
246,scott usa,w  defined polar jkt,ccl-020,daeyong,0,1,care content labels,left side seam,1,0.035,0.035,x,x,x,x,none,none
247,scott usa,w  defined polar jkt,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,none,none
248,scott usa,w  defined polar jkt,w-ht-lay,daeyong ,0,1,w's layering hangtag         ,chain at left sleeve pocket,1,0.22,0.22,x,x,x,x,none,none
249,scott usa,w  defined polar jkt,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,none,none
250,scott usa,w  defined polar jkt,fit-ht-gen,daeyong,0,1,general fit hang tag,chain at left sleeve pocket,1,0.11,0.11,x,x,x,x,none,none
251,scott usa,w  defined polar jkt,fit-ht-ath,daeyong,0,1,athletic fit hangtag,chain at left sleeve pocket,1,0.055,0.055,x,x,x,x,none,none
252,scott usa,w  defined polar jkt,ppg-15,polartec,0,1,polartec powergrid hangtag,chain at left sleeve pocket,1,0,0,x,x,x,x,none,none
253,scott usa,w  defined polar jkt,porptec-15,polartec,0,1,polartec polygeine hangtag,chain at left sleeve pocket,1,0,0,x,x,x,x,none,none
254,scott usa,w defined tech jkt,meln135,premiere,1,0,,"collar, collar facing, shoulder and upper inside sleeve, back yoke",none,5.16,yard,melon red,mahogany red,melon red,moroccan red,caviar black,none
255,scott usa,w defined tech jkt,meln135,premiere,1,0,,"front body, outer and lower sleeves, back body",none,5.16,yard,nightfall blue,mahogany red,melon red,moroccan red,caviar black,none
256,scott usa,w defined tech jkt,please source,none,1,0,mesh           ,lower right pocket bag,none,0.97,yard,nightfall blue,caviar black,nightfall blue,moroccan red,caviar black,none
257,scott usa,w defined tech jkt,fs-1175,forus,1,0,self fabric binding,"cf zipper tape finish, interior seam binding at armholes only",none,2.05,yard,nightfall blue,caviar black,nightfall blue,moroccan red,caviar black,none
258,scott usa,w defined tech jkt,cifor-56 da8blh1 (e)           ,ykk,0,1,"#5 coil, open end, left insert, da8blh1 slider ",cf zipper,1,0.49,0.49,nightfall blue,mahogany red,nightfall blue,moroccan red,caviar black,none
259,scott usa,w defined tech jkt,chc-36 dadr2a (e),ykk,0,1,"#3 invisible coil, closed end, dadr2a ",lower right pocket,1,0.34,0.34,nightfall blue,mahogany red,nightfall blue,moroccan red,caviar black,none
260,scott usa,w defined tech jkt,zp-561/5    ,utx,0,1,pop in puller- #5       ,cf zipper,1,0.05,0.05,nightfall blue,caviar black,nightfall blue,moroccan red,caviar black,none
261,scott usa,w defined tech jkt,"3/4"" foldable lycra",woosung  ,0,1,"3/4"" foldable lycra","cf, collar, hem, and cuff",none,0.191,yard,nightfall blue,mahogany red,nightfall blue,moroccan red,caviar black,none
262,scott usa,w defined tech jkt,dp-634,taekwang,0,1,direct matte print           ,left front chest,1,0.38,0.38,melon red,ruby red,nightfall blue,darker moroccan red,mahogany red,none
263,scott usa,w defined tech jkt,dp-755,taekwang,0,1,direct matte print           ,left cuff,1,0.38,0.38,melon red,ruby red,nightfall blue,darker moroccan red,mahogany red,none
264,scott usa,w defined tech jkt,w-int-size,daeyong,0,1,w's main interior label           ,cb neck seam      ,1,0.045,0.045,x,x,x,x,x,none
265,scott usa,w defined tech jkt,8mm grosgrain ribbon    ,woosung  ,0,1,grosgrain ribbon           ,cb neckseam locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none
266,scott usa,w defined tech jkt,ccl-001,daeyong,0,1,care content labels,left side seam,1,0.03,0.03,x,x,x,x,x,none
267,scott usa,w defined tech jkt,po label,daeyong ,0,1,po label- for bulk only!,left side seam,1,0.005,0.005,white,white,white,white,white,none
268,scott usa,w defined tech jkt,w-ht-lay,daeyong,0,1,w's layering hangtag         ,left side       ,1,0.22,0.22,x,x,x,x,x,none
269,scott usa,w defined tech jkt,hangtag chain,daeyong,0,1,chain for hangtag,left side       ,1,0.06,0.06,x,x,x,x,x,none
270,scott usa,w defined tech jkt,fit-ht-gen,daeyong,0,1,general fit insert,insert,1,0.11,0.11,x,x,x,x,x,none
271,scott usa,w defined tech jkt,fit-ht-athl,daeyong,0,1,athletic fit hangtag,top of hang tag,1,0.055,0.055,x,x,x,x,x,none
272,scott usa,w defined tech jkt,dryo-ht-wr-2,daeyong,0,1,dryozone dwr hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
273,scott usa,w defined tech jkt,duro-ht-uv-2,daeyong,0,1,duroshade hangtag,insert,1,0.1,0.1,x,x,x,x,x,none
274,five 12,m capitola short,sw8337s-p1 printed,singtex,1,0,,"shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband",none,none,yard,black heather,none,none,none,none,none
275,five 12,m capitola short,ssb-150256,singtex,1,0,,"shell fabric at waistband, front and back legs
lining fabrics at  back pocket bag, fly gusset, interior waistband",none,3.8,yard,none,black,poppy,navy,none,none
276,five 12,m capitola short,sw8337s-p1 printed,singtex,1,0,,shell fabric at hem binding,none,none,yard,black heather,none,black heather,none,none,none
277,five 12,m capitola short,ssb-150256,singtex,1,0,,shell fabric at hem binding,none,3.8,yard,none,black,none,navy,none,none
278,five 12,m capitola short,sw8337s-p1 printed,singtex,1,0,,shell fabric at right and left of front waistband,none,none,yard,none,none,black heather,none,none,none
279,five 12,m capitola short,ssb-150256,singtex,1,0,,shell fabric at right and left of front waistband,none,3.8,yard,black,black,none,navy,none,none
280,five 12,m capitola short,cfc-39 dsbyg (h3),ykk,0,1,"#3 coil, closed end, dsbyg slider",back pocket zipper,1,none,0,neon lime,black,ebony,ocean,none,none
281,five 12,m capitola short,please source lace ,none,0,1,lace with clear plastic tip,cf waistband,1,none,0,neon lime,ebony,ebony,ebony,none,none
282,five 12,m capitola short,metal eyelets,none,0,1,metal eyelets,cf waistband,4,none,0,antique silver,antique silver,antique silver,antique silver,none,none
283,five 12,m capitola short,film overlay,tsgs,0,1,film overlay,back pocket window frame,1,none,0,ebony,ebony,ebony,ebony,none,none
284,five 12,m capitola short,ht-30,none,0,1,heat transfer,front right waistband,1,none,0,neon lime,ebony,poppy,ocean,none,none
285,five 12,m capitola short,ht-31,none,0,1,heat transfer,back right pocket on the film overlay,1,none,0,neon lime,ebony,poppy,ocean,none,none
286,five 12,m capitola short,ht -14,giant knitting,0,1,"reflective heat transfer 1.25""",left side seam near hem,1,none,0,reflective silver,reflective silver,reflective silver,reflective silver,none,none
287,five 12,m capitola short,five12-m-int-ht-l,none,0,1,main interior heat transfer label,interior cb waistband   ,1,none,0,x,x,x,x,none,none
288,five 12,m capitola short,please source,none,0,1,perforated care content label ,left waistband seam  ,1,none,0,white,white,white,white,none,none
289,five 12,mens and womens tofino hoody ,ssb-150256,singtex,1,0,,"shell fabric at hood, front and back body, sleeves, hand pocket bags",none,3.8,yard,navy,berry,poppy,none,black,none
290,five 12,mens and womens tofino hoody ,sw8337s-p1 printed,singtex,1,0,,"shell fabric at hood, front and back body, sleeves, hand pocket bags",none,none,none,none,none,none,black heather,none,black heather
291,five 12,mens and womens tofino hoody ,cifor-39 dsbyg (h3),ykk,0,1,"#3 coil, open end, right insert, dsbyg slider ",cf zipper,1,none,0,navy,poppy,poppy,black,black,black
292,five 12,mens and womens tofino hoody ,cfc-39 dsbyg (h3),ykk,0,1,"#3 coil, closed end, dsbyg slider",hand pocket zippers,2,none,0,ocean,poppy,berry,none,ebony,none
293,five 12,mens and womens tofino hoody ,cfc-39 dsbyg (h3) p12 kensin n-anti p-top reverse rx39 ,ykk,0,1,"#3 coil, closed end, dsbyg slider",hand pocket zippers,2,none,0,none,none,none,reflective silver,none,reflective silver
294,five 12,mens and womens tofino hoody ,please source,none,0,1,"1/4"" elastic","cuffs, sides of hood",none,none,yard,stock white,stock white,stock white,stock white,stock white,stock white
295,five 12,mens and womens tofino hoody ,please source shockcord,none,0,1,2.5mm shockcord,hood adjustment,none,none,0,ocean,poppy,poppy,reflective silver,reflective silver,reflective silver
296,five 12,mens and womens tofino hoody ,p481s001,utx,0,1,rubber puller ,"hem adjustment, back hood adjustment      ",3,0.02,0.06,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey)
297,five 12,mens and womens tofino hoody ,pca224,utx,0,1,cordlock,back of hood ,1,0.06,0.058,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey)
298,five 12,mens and womens tofino hoody ,10mm grosgrain ribbon,woosung,0,1,grosgrain ribbon           ,anchor for pca224 cordlock at back hood,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,dark grey,dark grey
299,five 12,mens and womens tofino hoody ,thread eyelet,coats,0,1,thread eyelet,back of hood adjustment shockcord exit,1,none,none,navy,berry,poppy,black,black,black
300,five 12,mens and womens tofino hoody ,ht-01,giant knitting,0,1,"heat transfer 2.25""",bottom left under hand pocket,1,none,0,ocean,poppy,reflective silver,reflective silver,reflective silver,reflective silver
301,five 12,mens and womens tofino hoody ,ht-02,giant knitting,0,1,"reflective heat transfer 6"" strip",back bottom center,1,none,0,reflective silver,reflective silver,reflective silver,reflective silver,reflective silver,reflective silver
302,five 12,mens and womens tofino hoody ,ht-14,giant knitting,0,1,"reflective heat transfer 1.25""",right bicep,1,none,0,reflective silver,reflective silver,reflective silver,reflective silver,reflective silver,reflective silver
303,five 12,mens and womens tofino hoody ,five12-w-int-ht-l,none,0,1,main interior heat transfer label,interior cb neck          ,1,none,0,x,x,x,x,none,none
304,five 12,mens and womens tofino hoody ,five12-m-int-ht-l,none,0,1,main interior heat transfer label,interior cb neck          ,1,none,0,none,none,none,none,x,x
305,five 12,mens and womens tofino hoody ,self fabric locker loop,singtex,0,1,self fabric locker loop use shell #1,locker loop,1,3.8,yard,navy,berry,poppy,black heather,black heather  ,black heather  
306,five 12,mens and womens tofino hoody ,womens care label,please source    ,0,1,perforated care content label ,left side seam,1,none,0,white,white,white,white,none,none
307,five 12,mens and womens tofino hoody ,mens care label ,please source    ,0,1,perforated care content label ,left side seam,1,none,0,none,none,none,none,white,white
308,five 12,m panama tee,sck-2369s (sgb-141907),singtex,1,0,,"shell fabric at front body, back body, sleeves, neckband, rolled hem and cuffs",none,3,none,ebony heather,ocean heather,navy heather,grey heather,none,none
309,five 12,m panama tee,ht-24,giant knitting,0,1,"reflective heat transfer 1""",centered below back neck,1,none,0,reflective silver,reflective silver,reflective silver,reflective silver,none,none
310,five 12,m panama tee,five12-m-int-ht-l,none,0,1,main interior heat transfer label,interior cb neck          ,1,none,0,x,x,x,x,none,none
311,five 12,m panama tee,please source,none,0,1,perforated care content label ,left side seam,1,none,0,white,white,white,white,none,none
312,five 12,w kits therma pant,sck-2265 ice café,singtex,1,0,,"shell fabric on full body, legs and gusset",none,tba,none,black,ebony,none,none,none,none
313,five 12,w kits therma pant,tonal flatlock stitching,ns thread,0,1,ns thread  ,"rise, gusset, inseam, rolled hem",none,none,none,black,ebony,none,none,none,none
314,five 12,w kits therma pant,five12-elastic-01,please source    ,0,1,"logo elastic 1.5""",waistband,none,tba,none,ebony,ocean,none,none,none,none
315,five 12,w kits therma pant,ht - 14,none,0,1,reflective logo heat transfer,"6"" up from bottom on back calf",none,none,none,reflective grey,reflective grey,none,none,none,none
316,five 12,w kits therma pant,five12-w-int-ht-l,tba,0,1,main interior heat transfer label,interior cb waistband   ,1,tba,none,x,x,none,none,none,none
317,five 12,w luna pant,sck 2265 ice café,singtex,1,0,,"shell fabric at waistband, interior waistband, front and back legs, rolled cuffs, back pocket bag",none,tba,tba,ebony,navy,black,none,none,none
318,five 12,w luna pant,flatlock stitching,coats,0,1,flatlock stitching    ,"under waistband, rise, gusset, inseam and outseam",none,none,none,ebony,navy,black,none,none,none
319,five 12,w luna pant,cfc-39 dsbyg (h3),ykk,0,1,"#3 coil, closed end, dsbyg slider",back pocket zipper,1,none,0,ocean,orange,neon lime,none,none,none
320,five 12,w luna pant,please source,tba,0,1,lace,interior waistband,none,tba,none,ocean,orange,neon lime,none,none,none
321,five 12,w luna pant,ht-04,tba,0,1,heat transfer,front left waistband       ,1,tba,none,black,ocean,ebony,none,none,none
322,five 12,w luna pant,ht -14,none,0,1,reflective heat transfer,back waistband,none,none,none,reflective grey,reflective grey,reflective grey,none,none,none
323,five 12,w luna pant,five12-w-int-ht-l,tba,0,1,main interior heat transfer label,interior cb waistband   ,1,tba,none,x,x,x,none,none,none
324,five 12,w luna pant,tba,please source,0,1,perforated care content label ,left waistband seam  ,1,tba,none,white,white,white,none,none,none
325,five 12,w luna therma hoody,sck 2265 ice café,tba,1,0,,"shell fabric at hood, front and back body, sleeves, collar, rolled hem and cuffs",none,tba,none,ocean,black,neon lime,navy,none,none
326,five 12,w luna therma hoody,sck 2265 ice café,tba,1,0,,shell fabric at underarm gussets,none,tba,none,ocean,black,neon lime,navy,none,none
327,five 12,w luna therma hoody,contrast coverstitching,ns thread,0,1,ns thread,"armhole, underarm gussets, side seams",none,none,none,navy,black,ebony,navy,none,none
328,five 12,w luna therma hoody,cfc-39 dsbyg (h3),ykk,0,1,"#3 coil, closed end, dsbyg slider",cf half zipper,1,none,0,navy,ebony,neon lime,orange,none,none
329,five 12,w luna therma hoody,please source,tba,0,1,lace,hood adjustment,none,tba,none,navy,dark grey,dark grey,orange  ,none,none
330,five 12,w luna therma hoody,thread eyelet,coats,0,1,sewn thread eyelets,hood adjustment,2,none,none,ocean,black,neon lime,navy,none,none
331,five 12,w luna therma hoody,ht-03,tba,0,1,heat transfer,upper cb centered,1,tba,none,navy,neon lime,ebony,orange,none,none
332,five 12,w luna therma hoody,five12-w-int-ht-l,tba,0,1,main interior heat transfer label,interior cb neck          ,1,tba,none,x,x,x,x,none,none
333,five 12,w luna therma hoody,self fabric locker loop,tba,0,1,self fabric locker loop use shell #1,locker loop,1,tba,0,ocean,black,neon lime,navy,none,none
