index,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,fabric,trims,zipper,outer,inner
41,m-size-20,m's main interior label           ,,,,cb neckseam      ,,,,,,,,,daeyong,,1,0.045,0.045,scott usa,m defined merino jkt,0,1,0,1,0
42,8mm grosgrain ribbon    ,grosgrain ribbon           ,,,,locker loop      ,dark grey,dark grey,dark grey,dark grey,dark grey,,,,woosung  ,,1,0,0,scott usa,m defined merino jkt,0,1,0,1,0
43,ccl-164,care content labels,,,,left side seam,,,,,,,,,daeyong,,1,0.035,0.035,scott usa,m defined merino jkt,0,1,0,1,0
44,po label,po label- for bulk only!,,,,left side seam,white,white,white,white,white,,,,daeyong ,,1,0.005,0.005,scott usa,m defined merino jkt,0,1,0,1,0
45,m-ht-lay,m's layering hangtag         ,,,,left side       ,,,,,,,,,daeyong,,1,0.22,0.22,scott usa,m defined merino jkt,0,1,0,1,0
46,hangtag chain,chain for hangtag,,,,left side       ,,,,,,,,,daeyong,,1,0.06,0.06,scott usa,m defined merino jkt,0,1,0,1,0
47,fit-ht-gen,general fit insert,,,,insert,,,,,,,,,daeyong,,1,0.11,0.11,scott usa,m defined merino jkt,0,1,0,1,0
48,fit-ht-athl,athletic fit hangtag,,,,top of hang tag,,,,,,,,,daeyong,,1,0.055,0.055,scott usa,m defined merino jkt,0,1,0,1,0
49,duro-ht-uv-2,duroshade hangtag,,,,insert,,,,,,,,,daeyong,,1,0.1,0.1,scott usa,m defined merino jkt,0,1,0,1,0
50,mapp    ,mapp hangtag        ,,,,left side,,,,,,,,,mapp,,1,0,0,scott usa,m defined merino jkt,0,1,0,1,0
51,sck-757s,"shell fabric at front body, back body, front collar, back collar
facing fabric at rolled hem, rolled collar front and back",,,,,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,singtex,,,4.8,yard,scott usa,m defined mid pullover,1,0,0,1,0
52,sck-757s,"shell fabric at sleeves and collar sides, cuffs
facing fabric at rolled cuffs, rolled collar sides",,,,,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,singtex,,,4.8,yard,scott usa,m defined mid pullover,1,0,0,1,0
53,cfc-39 dsbsos02a (h3),"#3, closed end, dsbsos02a slider ",,,,cf zipper,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,ykk,,1,,0,scott usa,m defined mid pullover,0,1,1,1,0
54,"3/4"" foldable lycra",binding,,,,"cf zipper tape finish, windflap edge",moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,woosung,,,0.244,yard,scott usa,m defined mid pullover,0,1,0,1,0
55,normal flatlock,normal flatlock,,,,armhole seams,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,coats,,,,0,scott usa,m defined mid pullover,0,1,0,1,0
56,normal flatlock,normal flatlock,,,,side seams,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,coats,,,,0,scott usa,m defined mid pullover,0,1,0,1,0
