,FABRICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,P.,3
40,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,reference:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,INSULATION,,,,Name :,,ELOFT / PM quality,,,,,,,,BODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,reference:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,weight:,,100 G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,Name :,,ELOFT / PM quality,,,,,,,,SLEEVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,reference:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,weight:,,80G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,Name :,,ELOFT / PM quality,,,,,,,,HOOD + COLLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,supplier :,,LOCAL SOURCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,reference:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,weight:,,40G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,WATERPROOFNESS,,,,SEALED SEAMS,,,,,,,,,,CRITICAL SEAM TAPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,THREADS,,,,TOPSTITCHING,,,,,,,,,,NO VISIBLE TOPSTITCHING,,,,,,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING,,,,,,,,,,,
59,,,,,BARTACKS,,,,,,,,,,ALL/ VERTICAL,,,,,,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING,,,,,,,,,,,
