,description,ref,location,amount,colorway/4,colorway/5,colorway/6
22,metal eyelets 8mm,luk's / et04,hood cord exit front,2 per side = 4,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
23,metal eyelets 8mm,luk's / et04,hem cord exit,2 per side = 4,oxcp oxidized copper,oxcp oxidized copper,oxcp oxidized copper
24,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-4006 tcx black, 19-0515 tcx military,18-0513 tcx walnut
25,metal shockcord tip,see photo,front hood shockcord ends,1 per side = 2,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
26,keyclip,as last year production,right hand pocket,1,black,black,black
27,notions,supplier/ reference number,location,amount,black,military,walnut
28,"grosgrain 1/4""",please source,hood cord locks,1 per side = 2,black,black,black
29,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,1,black,black,black
30,grosgrain,xxx,powder skirt - side tabs jacket to pant connection ,1,black,black,black
31,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black
32,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,match to shell,match to shell,match to shell
33,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,match to shell,match to shell,match to shell
34,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,match to shell,match to shell,match to shell
35,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black
36,"elastic 1/4"" ",none,cable guide,1,black,black,black
37,elastine binding,xxx,goggle pocket binding,1,black,black,black
38,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black
39,"l1-2018-trim-030
two-color shock cord
see color ups for 
colors",chun wo ho /,hood,1,"two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","two-color shock cord =
colorway: 5
18-0513 tcx walnut/
19-4006 tcx black"
40,velcro,supplier/ reference number,location,amount,black,military,walnut
41," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell
42," 1/2"" x 3 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell
43,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell
44,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell
45,thread,spi,supplier/ ref number,amount,black,military,walnut
46,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell
47,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell
48,bartacks,none,100/2,none,match to shell,match to shell,match to shell
49,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell
50,labels ,supplier/ reference number,location,amount,black,military,walnut
51,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped
52,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl"
53,hang tags,supplier/ reference number,location,amount,black,military,walnut
54,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag
55,care and content labels,supplier/ reference number,location,amount,black,military,walnut
56,address label,factory sourced,lining left side seam,1,address label,address label,address label
57,content label,factory sourced,lining left side seam,1,content label,content label,content label
58,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label
