,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
26,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,19-0515 tcx military,18-0513 tcx walnut,19-1718 tcx port,19-4006 tcx black
27,cord lock,small cord lock with out tie down,lining waist adjust,1 per side = 2,black,none,none,none
28,metal drawcord tip,see photo,hood shockcord tips,1 per side = 2,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper 
29,metal drawcord tip,see photo,waist drawcord tips,1 per side = 2,cp016 copper ,cp016 copper ,cp016 copper ,cp016 copper 
30,bead,see photo,hood adjust,1 per side = 2,none,none,none,none
31,keyclip,as last year production,right hand pocket,1,black,black,black,black
32,cord lock,# 1340089aa-0 (bko1) (button),waist adjust drawcords,1 per side = 2,19-0515 tcx military,18-0513 tcx walnut,19-1718 tcx port,19-4006 tcx black
33,notions,supplier/ reference number,location,amount,military,walnut,port,black
34,8mm round drawcord,also used on l1-111-18 stooge,outer waist adjust,1,19-0515 tcx military,18-0513 tcx walnut,19-1718 tcx port,19-4006 tcx black
35,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black
36,"grosgrain 1/4""",none,attach hood cord locks,1,black,black,black,black
37,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
38,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,military shell fabric,walnut shell fabric,port shell fabric,black shell fabric
39,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,military shell fabric,walnut shell fabric,port shell fabric,black shell fabric
40,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,military shell fabric,walnut shell fabric,port shell fabric,black shell fabric
41,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
42,elastine binding,none,goggle pocket binding,1,black,black,black,black
43,elastine,none,lining cable guide,1,black,black,black,black
44,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw17-062
chun wo ho (please source)",hood,1,"colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 5 = 18-0513 tcx walnut/
19-4006 tcx black ","colorway: 7 =19-1718 tcx port/
18-1703 tcx smoke","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal"
45,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
46,velcro,supplier/ reference number,location,amount,military,walnut,port,black
47," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,match to shell
48," 1/2"" x 2 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,match to shell
49,"1/2"" x 1 1/2 velcro with rounded corners",paiho / loop#1057 / hooketn7,chest pocket flaps,2 per pocket flap,match to shell,match to shell,match to shell,match to shell
50,"1/2"" x 1 1/2 velcro with rounded corners",paiho / loop#1057 / hooketn7,hand pocket flaps,2 per pocket flap,match to shell,match to shell,match to shell,match to shell
51,"3/4"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
52,"3/4"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
53,thread,spi,supplier/ ref number,amount,military,walnut,port,black
54,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
55,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell
56,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
57,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell
58,labels ,supplier/ reference number,location,amount,military,walnut,port,black
59,15k/15k critically seam sealed,soluna/ main label,center back below neck seam,1,15k/15k critically seam sealed,none,none,none
60,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none
61,hang tags,supplier/ reference number,location,amount,military,walnut,port,black
62,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none
63,care and content labels,supplier/ reference number,location,amount,military,walnut,port,black
64,address label,factory sourced,lining left side seam,1,address label,none,none,none
65,content label,factory sourced,lining left side seam,1,content label,none,none,none
66,washing label,factory sourced,lining left side seam,1,washing label,none,none,none
