,MATERIAL_ID,position,,,,color_way,CATEGORY
40,68.0,CF PLACKET,1.3 cm X 7.5cm,PAIHO / HookETN7 / Loop#1057,4 SETS,MATCHING,
41,69.0,HAND POCKET FLAPS,1.3 cm X 4cm,PAIHO / HookETN7 / Loop#1057,2 SETS ,MATCHING,
42,70.0,LEFT SLEEVE POCKET,1.3 cm X 9cm,PAIHO / HookETN7 / Loop#1057,1 SET,MATCHING,
43,74.0,TOPSTITCH,,,,MATCHING,
44,75.0,BARTACKS,,,,MATCHING,
45,76.0,SLEEVE GAITER COVER STITCH,,,,MATCHING,
46,79.0,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG,
47,80.0,LINING CB FACING,WP BREATH / SIZE LABEL / RN CA / MADE IN ___,,1,,
48,81.0,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
49,82.0,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
50,83.0,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
51,84.0,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
