,,MATERIAL_ID,CATEGORY,,,position,,color_way,color_way,color_way,color_way
12,12.0,24.0,other,"L1-2018-TRIM-014
L1 Sleeve Injection mold logo.
2mm Embossed effect. 2.62 cm x 2.6 cm",SOLUNA,FRONT LEFT SLEEVE HEM,1,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC
13,13.0,25.0,other,"L1-2018-TRIM-015
L1 Shoulder Injection mold logo.
2mm Embossed effect. 3.3 cm x 3.3 cm",SOLUNA,BACK RIGHT,1,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC,2 mm EMBOSS OF THE SHELL FABRIC
14,14.0,28.0,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,1 PER SIDE = 2,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) 
15,15.0,29.0,other,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) 
16,16.0,30.0,other,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION,3 SETS,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) 
17,17.0,31.0,other,METAL EYELETS 8MM,LUK'S / ET04,HOOD CORD EXIT FRONT,2 PER SIDE = 4,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) 
18,18.0,32.0,other,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) ,AL023 ALLOY (D) 
19,19.0,33.0,other,CORD LOCK: SMALL CORD LOCK WITH TIE DOWN,SUN SUN/ SV160824-2A,FRONT HOOD ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
20,20.0,34.0,other,CORD LOCK,SV160819-4A,HEM ADJUST EXPOSED AT LINING,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
21,21.0,35.0,other,BEAD,SV160725-1A,HEM ADJUST,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
22,22.0,36.0,other,SHOCKCORD TIP,SUNSUN/ SV170208-3A,FRONT HOOD SHOCKCORD ENDS,1 PER SIDE = 2,MATTE BLACK,MATTE BLACK,MATTE BLACK,MATTE BLACK
23,23.0,37.0,other,KEYCLIP,AS PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK
24,24.0,40.0,other,"GROSGRAIN 1/4""",,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
25,25.0,41.0,other,"GROSGRAIN 3/8""",,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
26,26.0,42.0,other,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,BLACK
27,27.0,43.0,other,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,BLACK
28,28.0,44.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
29,29.0,45.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
30,30.0,46.0,other,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
31,31.0,47.0,other,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK
32,32.0,48.0,insulation,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
33,33.0,49.0,other,"ELASTIC 1/4"" ",,CABLE GUIDE,1,BLACK,BLACK,BLACK,BLACK
34,34.0,50.0,other,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,BLACK
35,35.0,51.0,other,ELASTINE BINDING,,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK
36,36.0,52.0,other,ELASTINE KISSING WELTS,,MEDIA POCKET CORD EXITS,2,BLACK,BLACK,BLACK,BLACK
37,37.0,56.0,interfacing,BONDING FILM,,HOOD BRIM,1,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
38,38.0,57.0,interfacing,BONDING FILM,,CHIN VENTS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
39,39.0,58.0,interfacing,BONDING FILM,,CHEST POCKET OPENINGS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
40,40.0,59.0,interfacing,BONDING FILM,,HAND POCKET FLAPS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
41,41.0,60.0,interfacing,BONDING FILM,,CUFF TABS,1 PER SIDE = 2,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
42,42.0,61.0,interfacing,BONDING FILM,,SLEEVE POCKET OPENING,1,BONDING FILM,BONDING FILM,BONDING FILM,BONDING FILM
43,43.0,64.0,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
44,44.0,65.0,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
45,45.0,68.0,other,SEAMS,10-12 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
46,46.0,69.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
47,47.0,70.0,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
48,48.0,71.0,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
49,49.0,74.0,other,20K/20K FULLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,20K/20K FULLY TAPED,20K/20K FULLY TAPED,20K/20K FULLY TAPED,
50,50.0,78.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
51,51.0,82.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,
52,52.0,83.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,
53,53.0,84.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,
