,,MATERIAL_ID,CATEGORY,position,,,,color_way
34,34.0,60.0,other,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK
35,35.0,61.0,other,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK
36,36.0,62.0,other,ENCASED IN BACK OF SLEEVE HEM,,SUPPLER / REF NUBER,1,BLACK
37,37.0,65.0,other,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING
38,38.0,66.0,other,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING
39,39.0,67.0,other,CHIN,1.3 cm X 4cm,PAIHO / HookETN7 / Loop#1057,1 SET,MATCHING
40,40.0,68.0,other,CF PLACKET,1.3 cm X 7.5cm,PAIHO / HookETN7 / Loop#1057,4 SETS,MATCHING
41,41.0,69.0,other,HAND POCKET FLAPS,1.3 cm X 4cm,PAIHO / HookETN7 / Loop#1057,2 SETS ,MATCHING
42,42.0,70.0,other,LEFT SLEEVE POCKET,1.3 cm X 9cm,PAIHO / HookETN7 / Loop#1057,1 SET,MATCHING
43,43.0,74.0,other,TOPSTITCH,,,,MATCHING
44,44.0,75.0,other,BARTACKS,,,,MATCHING
45,45.0,76.0,other,SLEEVE GAITER COVER STITCH,,,,MATCHING
46,46.0,79.0,other,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG
47,47.0,80.0,label,LINING CB FACING,WP BREATH / SIZE LABEL / RN CA / MADE IN ___,,1,
48,48.0,81.0,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL
49,49.0,82.0,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL
50,50.0,83.0,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL
51,51.0,84.0,other,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE
