,Style,label,material/trim,description,location,qty,black,heather gray,oxblood,sea pine,tbd,tbd.1,tbd.2,tbd.3,tbd.4,tbd.5,duffel,rust,butter,khaki,kombu green,dark navy,moose,pizza,mens fish,olive night,camel,pineneedle,sterilng blue,rose smoke,vintage black,dinoflage,forest,dk khaki,greyskull,wood duck critterflage,evergreen,flame,day jungle,navy,mint julep,dark olive,puddle,bone,black spruce,stone critterflage,gold,black wax,camel wax,soviet grey wax,willow,dirks critterflage,vintage blue wax,see see collab,vintage blue,red dawn,night jungle,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,"main body, self fabric back neck patch",none
6,AB18MJ2_105_BOM.csv,dd, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm  (supplied by you),bottom hem,1,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,
7,AB18MJ2_105_BOM.csv,ee,elastic , 2.5 cm flat elastic  (supplied by you),(2) cuffs,2,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,
8,AB18MJ2_105_BOM.csv,ff,main label,abwv_84 slayer main label,centered 1.5cm below cb neck,1,cream/black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cream/black,cream/black,cream/black,,,,,,,,,,,,,,,,,
9,AB18MJ2_105_BOM.csv,gg,size label,abwv_69v vietnam size  label (supplied by sml),sewn in and centered below main label,1,black/ off white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/ off white,black/ off white,black/ off white,,,,,,,,,,,,,,,,,
10,AB18MJ2_105_BOM.csv,hh,w/c label,satin label with print  (supplied by you),"wearer's left side seam, 10 cm up from bottom edge",1,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,
11,AB18MJ2_105_BOM.csv,ii,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/ off white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/ off white,black/ off white,black/ off white,,,,,,,,,,,,,,,,,
12,AB18MJ2_105_BOM.csv,jj,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/white,black/white,black/white,,,,,,,,,,,,,,,,,
13,AB18MJ2_105_BOM.csv,kk,hangtag,tbd,tbd,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,
14,AB18MJ2_105_BOM.csv,ll,hangtag,tbd,tbd,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,
15,AB18MJ2_105_BOM.csv,mm,polybag w/ warning matter,airpill logo print:  16 cm (supplied by you),centered on poly bag,1,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clear,clear,clear,,,,,,,,,,,,,,,,,
16,AB18MJ2_105_BOM.csv,nn,country of origin sticker (supplied by your side),made in china sticker  (supplied by you),centered above upc sticker,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,
17,AB18MJ2_105_BOM.csv,oo,upc sticker (supplied by your side),sticker width 3.5 cm  (supplied by you),lookers right bottom corner,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,
0,AB17MJ1_050B_BOM.csv,a,shell fabric,sotd013-r01 100% polyester nantotex dwr coating,"main body storm flap, hood",none,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black spruce,,gold,,,,,,,,,,,,,,
1,AB17MJ1_050B_BOM.csv,b,shell fabric,sotd013-pr03 100% polyester nantotex dwr coating,"main body storm flap, hood",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stone critterflage,,,,,,,,,,,,,,,
2,AB17MJ1_050B_BOM.csv,c,lining,emb07 taffeta emboss (supplied by li peng),"inside lining, pocket bag",none,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old gold,black,black,,,,,,,,,,,,,,
3,AB17MJ1_050B_BOM.csv,d,pellon,lightweight interfacing (item# tbd),inner storm flap,none,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,white,white,,,,,,,,,,,,,,
4,AB17MJ1_050B_BOM.csv,e,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,white,white,,,,,,,,,,,,,,
5,AB17MJ1_050B_BOM.csv,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (close ended)",c.f.,1,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black spruce 120,brown 394,gold 508,,,,,,,,,,,,,,
6,AB17MJ1_050B_BOM.csv,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),(2) pocket,2,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black spruce 120,brown 394,gold 508,,,,,,,,,,,,,,
7,AB17MJ1_050B_BOM.csv,cc,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. ",3,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old gold,black,black,,,,,,,,,,,,,,
8,AB17MJ1_050B_BOM.csv,dd,stoppers,k343-2n push stoppers,"(1) bottom hem, (2) hood",3,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,
9,AB17MJ1_050B_BOM.csv,ee,hand pulls,plastic hand pulls zp11 , (1) bottom hem,1,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,
10,AB17MJ1_050B_BOM.csv,ff,webbing,flat webbing tape 8mm width," (1)stopper attachments loops at bottom hem, (2) stoper attachemnt at hood, (1) side seam for drawcord loops",4,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,
11,AB17MJ1_050B_BOM.csv,gg,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (2) inside bottom hem",6,bi-08 dull dark pewter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,,,,,,,,,,,
12,AB17MJ1_050B_BOM.csv,hh,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",(4) storm flap,4,bi-08 dull dark pewter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,,,,,,,,,,,
13,AB17MJ1_050B_BOM.csv,ii,elastic drawcord, 2.5 mm elastic cord,"bottom hem adjustment, hood",2,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,
14,AB17MJ1_050B_BOM.csv,jj,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,
15,AB17MJ1_050B_BOM.csv,kk,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cream/black,cream/black,cream/black,,,,,,,,,,,,,,
16,AB17MJ1_050B_BOM.csv,ll,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/cream,black/cream,black/cream,,,,,,,,,,,,,,
17,AB17MJ1_050B_BOM.csv,mm,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,,,,,,,,,,,,
18,AB17MJ1_050B_BOM.csv,nn,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/cream,black/cream,black/cream,,,,,,,,,,,,,,
19,AB17MJ1_050B_BOM.csv,pp,branding,abem_402 patagoinia font embroidery,"left chest, see placement page for detail",1,dk grey 70021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold m564,olive 70015,black,,,,,,,,,,,,,,
20,AB17MJ1_050B_BOM.csv,qq,woven label,nanotex woven label,sewn in and centered underneath size label label,1,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,brown,brown,,,,,,,,,,,,,,
21,AB17MJ1_050B_BOM.csv,rr,hangtag,tbd,tbd,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,
22,AB17MJ1_050B_BOM.csv,ss,hangtag,tbd,tbd,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,
23,AB17MJ1_050B_BOM.csv,tt,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clear,clear,clear,,,,,,,,,,,,,,
24,AB17MJ1_050B_BOM.csv,uu,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,
25,AB17MJ1_050B_BOM.csv,vv,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,
0,AB17MJ1_102_BOM.csv,a,shell fabric,sotp069-q03-ah 100% polyester tpu with wax coating (supplied by solis),"main body, sleeves. hood",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black wax,camel wax,soviet grey wax,,,,,,,,,,,
1,AB17MJ1_102_BOM.csv,b,shell fabric,sotp069-2l32-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willow,,,,,,,,,,
2,AB17MJ1_102_BOM.csv,c,shell fabric,sotp069-pr03-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dirks critterflage,,,,,,,,,
3,AB17MJ1_102_BOM.csv,d,lining,emb07 taffeta emboss (supplied by ecoya),"inside lining, pocket bag",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,black,old gold,,,,,,,,,
4,AB17MJ1_102_BOM.csv,e,pellon,heavyweight interfacing (item# tbd),hood brim,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,white,white,white,white,,,,,,,,,
5,AB17MJ1_102_BOM.csv,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,camel 858,grey 014,willow 509,green 567,,,,,,,,,
6,AB17MJ1_102_BOM.csv,bb,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),cf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,black,old gold,,,,,,,,,
7,AB17MJ1_102_BOM.csv,cc,stoppers,barrel stopper k-018,2) hood,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,old gold,black,black,old gold,,,,,,,,,
8,AB17MJ1_102_BOM.csv,dd,hardware,"metal eyelets, 12mm (incl. washers)",(2) at hood opening,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,,,,,,
9,AB17MJ1_102_BOM.csv,ee,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) cuffs, (2) pockets",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,,,,,,
10,AB17MJ1_102_BOM.csv,ff,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,old gold,black,black,old gold,,,,,,,,,
11,AB17MJ1_102_BOM.csv,gg,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cream/black,cream/black,cream/black,cream/black,cream/black,,,,,,,,,
12,AB17MJ1_102_BOM.csv,hh,size label,abwv_69 inside joke label,sewn in and centered below main label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/cream,black/cream,black/cream,black/cream,black/cream,,,,,,,,,
13,AB17MJ1_102_BOM.csv,ii,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,black,black,,,,,,,,,
14,AB17MJ1_102_BOM.csv,jj,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/cream,black/cream,black/cream,black/cream,black/cream,,,,,,,,,
15,AB17MJ1_102_BOM.csv,kk,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/white,black/white,black/white,black/white,black/white,,,,,,,,,
16,AB17MJ1_102_BOM.csv,ll,hangtag,tbd,tbd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,,,,,,,,,
17,AB17MJ1_102_BOM.csv,mm,hangtag,tbd,tbd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,,,,,,,,,
18,AB17MJ1_102_BOM.csv,nn,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clear,clear,clear,clear,clear,,,,,,,,,
19,AB17MJ1_102_BOM.csv,oo,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,,,,,,,,,
20,AB17MJ1_102_BOM.csv,pp,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,,,,,,,,,
0,AB17MV1_015_BOM.csv,a,shell fabric,sotp069-q03-ah 100% polyester wax coating tpu membrane (supplied by solis),"main body, pockets",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black wax,camel wax,soviet grey wax,,,vintage blue wax,black wax,,,,,,,
1,AB17MV1_015_BOM.csv,b,lining,emb07 taffeta emboss (supplied by ecoya),inside lining pocket bag,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,black,black,,,,,,,
2,AB17MV1_015_BOM.csv,c,other,rin knit,collar,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,black,black,,,,,,,
3,AB17MV1_015_BOM.csv,aa,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)", (4)c.f.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,,,bi-17 mid dark anti brass,bi-17 mid dark anti brass,,,,,,,
4,AB17MV1_015_BOM.csv,bb,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cream/black,cream/black,cream/black,,,cream/black,cream/black,,,,,,,
5,AB17MV1_015_BOM.csv,cc,size label,abwv_69 inside joke label,sewn in and centered below main label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/cream,black/cream,black/cream,,,black/cream,black/cream,,,,,,,
6,AB17MV1_015_BOM.csv,dd,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,black,black,,,black,black,,,,,,,
7,AB17MV1_015_BOM.csv,ee,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/cream,black/cream,black/cream,,,black/cream,black/cream,,,,,,,
8,AB17MV1_015_BOM.csv,ff,branding,see see patch,"left chest, see placement page for detail",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/white,,,,,,,
9,AB17MV1_015_BOM.csv,gg,branding,abwv_76 glacier seam label,"left pocket, see placement page for detail",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black/cream,black/cream,black/cream,,,black/cream,black/cream,,,,,,,
10,AB17MV1_015_BOM.csv,ii,hangtag,tbd,tbd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,tbd,tbd,,,,,,,
11,AB17MV1_015_BOM.csv,jj,hangtag,tbd,tbd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,tbd,tbd,,,,,,,
12,AB17MV1_015_BOM.csv,kk,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clear,clear,clear,,,clear,clear,,,,,,,
13,AB17MV1_015_BOM.csv,ll,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,tbd,tbd,,,,,,,
14,AB17MV1_015_BOM.csv,mm,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tbd,tbd,tbd,,,tbd,tbd,,,,,,,
0,AB19MJ2_081_BOM-170223.csv,a,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, sleeves, collar, pockets",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19MJ2_081_BOM-170223.csv,b,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),hood,none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19MJ2_081_BOM-170223.csv,c,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19MJ2_081_BOM-170223.csv,d,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19MJ2_081_BOM-170223.csv,e,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19MJ2_081_BOM-170223.csv,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19MJ2_081_BOM-170223.csv,g,other,lycra binding tape,internal mesh pocket opening,none,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19MJ2_081_BOM-170223.csv,h,other,gripper elastic,powder skirt,none,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19MJ2_081_BOM-170223.csv,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,,,,,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19MJ2_081_BOM-170223.csv,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,,,,,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19MJ2_081_BOM-170223.csv,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19MJ2_081_BOM-170223.csv,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19MJ2_081_BOM-170223.csv,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB19MJ2_081_BOM-170223.csv,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB19MJ2_081_BOM-170223.csv,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB19MJ2_081_BOM-170223.csv,ff,stoppers,round barrel stopper - k-018 ,(2) hood,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB19MJ2_081_BOM-170223.csv,gg,stoppers,k343-2n push stoppers,(2) bottom hem,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AB19MJ2_081_BOM-170223.csv,hh,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB19MJ2_081_BOM-170223.csv,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB19MJ2_081_BOM-170223.csv,jj,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB19MJ2_081_BOM-170223.csv,kk,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB19MJ2_081_BOM-170223.csv,ll,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (5) c.f., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",10,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB19MJ2_081_BOM-170223.csv,mm,hardware,male snap only (incl. washers),(2) powder skirt (2) cuffs,4,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB19MJ2_081_BOM-170223.csv,nn, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB19MJ2_081_BOM-170223.csv,oo,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AB19MJ2_081_BOM-170223.csv,pp,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AB19MJ2_081_BOM-170223.csv,qq,main label,tbd,"inside c.b. neck, see q/a for placement",1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AB19MJ2_081_BOM-170223.csv,rr,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AB19MJ2_081_BOM-170223.csv,ss,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AB19MJ2_081_BOM-170223.csv,tt,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AB19MJ2_081_BOM-170223.csv,vv,branding,abpa_22 workwear label,"left chest, see art placement page for detail",1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AB19MJ2_081_BOM-170223.csv,ww,hangtag,tbd,tbd,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
