,Style,label,material/trim,description,location,qty,black,heather gray,oxblood,sea pine,tbd,tbd.1,tbd.2,tbd.3,tbd.4,tbd.5,duffel,rust,butter,khaki,kombu green,dark navy,moose,pizza,mens fish,olive night,camel,pineneedle,sterilng blue,rose smoke,vintage black,dinoflage,forest,dk khaki,greyskull,wood duck critterflage,evergreen,flame,day jungle,navy,mint julep,dark olive,puddle,bone,black spruce,stone critterflage,gold,black wax,camel wax,soviet grey wax,willow,dirks critterflage,vintage blue wax,see see collab,vintage blue,red dawn,night jungle,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,"main body, self fabric back neck patch",none
7,AB19MS1_111_BOM-170415.csv,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19MS1_111_BOM-170415.csv,bb,zipper,"ykk no.5 nylon coil zippers,hidden chain, auto-lock slider da8lh1 (close down)", vents,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19MS1_111_BOM-170415.csv,cc,zipper,"ykk no.5 nylon coil ,  zipper,auto lock slider da8lh1  (zip closes down)",(2) hand warmer pockets at lower body ,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19MS1_111_BOM-170415.csv,dd,zipper,"ykk no.5 nylon coil ,  zipper,auto lock slider da8lh1  ",back pockets zipper closes to side seam,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19MS1_111_BOM-170415.csv,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end,"(2) vents, (3) pockets, ",5,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19MS1_111_BOM-170415.csv,ff,velcro,hook w: 1.6cm x h: 18 cm,at side seam (2),2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB19MS1_111_BOM-170415.csv,gg,velcro,loop w: 1.6cm x h: 18 cm,at side seam (4),4,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB19MS1_111_BOM-170415.csv,hh,hardware,lace hooks,c.f. of lower leg gaiters at gripper elastic,2,,,,,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB19MS1_111_BOM-170415.csv,ii,hardware,"snap buttons absnp_01 (sets), 17 mm incl washers",(4) back side seam (2)chest pocket flap,6,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB19MS1_111_BOM-170415.csv,jj,buckle,tbd,strap attachment,2,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
