,MATERIAL_ID,CATEGORY,0,1,2,3,4
27,51,other,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK
28,52,other,HEM & HOOD CORD LOCK TIE DOWNS,"1/4"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,5,BLACK
29,53,other,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK
30,54,other,JACKET TO PANT CONNECTION CENTER BACK ,"3/4"" X 1"" FINISHED ",SUPPLER / REF NUBER,TAB BEHIND EACH SNAP = 2,BLACK
31,55,other,JACKET TO PANT CONNECTION AT SIDE TABS,"3/4"" X 3 1/4"" FLAT WEBBING",SUPPLER / REF NUBER,1,BLACK
32,58,other,POWDER SKIRT GRIPPER ELASTIC,25mm,SUPPLER / REF NUBER,1,STOCK
33,59,other,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK
34,60,other,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK
35,61,other,ENCASED IN BACK OF SLEEVE HEM,,SUPPLER / REF NUBER,1,BLACK
36,62,other,JACKET TO PANT CONNECTION CENTER BACK TAB,"FLAT ELASTIC TAPE 3/4"" x 4 1/4""",SUPPLER / REF NUBER,1,BLACK
37,65,other,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING
38,66,other,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING
39,67,other,CF PLACKET,1.3 cm X 7.5cm,PAIHO / HookETN7 / Loop#1057,4 SETS,MATCHING
40,68,other,HAND POCKET FLAPS,1.3 cm X 4cm,PAIHO / HookETN7 / Loop#1057,2 SETS PER POCKET,MATCHING
41,72,other,TOPSTITCH,,#606,,MATCHING
42,73,other,BARTACKS,,,,MATCHING
43,74,other,SLEEVE GAITER COVER STITCH,,,,MATCHING
44,77,other,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG
45,78,label,LINING CB FACING,WP BREATH / SIZE LABEL / RN CA / MADE IN ___,,1,
46,79,label,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL
47,80,label,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL
48,81,label,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL
49,82,other,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE
