,MATERIAL_ID,CATEGORY,0,1,2,3,4,5,6,7,8,9
30,42,label,QQ,Size Label,ABWV_69V Vietnam Size Label,sewn in and centered below ABWV_111,1,OLIVE/ BLACK,BLACK/GOLD,OLIVE/ BLACK,BLACK/GOLD,AB18MJ1_084G
31,43,label,RR,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
32,44,label,SS,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,OLIVE/ BLACK,BLACK/GOLD,OLIVE/ BLACK,BLACK/GOLD,AB18MJ1_084G
33,45,other,TT,Branding,ABPA_105B Corey Patch,"LEFT chest, see palcement page for detail",1,BONE/ BLACK/BLACK VELCRO,BONE/ BLACK/GREEN VELCRO,BONE/ BLACK/ ORANGE VELCRO,BONE/ BLACK/ BLUE GREY VELCRO,AB18MJ1_084G
34,46,label,TT,Branding,ABPA_126 Gully Suede Label,"LEFT back side seam ,see placement page 2 for detail",1,BLACK/BONE,BLACK/BONE,BLACK/BONE,BLACK/BONE,AB18MJ1_084G
35,47,label,TT,Branding,ABWV_111 NLGC Woven Label,sewn in and centered below main label,1,OLIVE/ BLACK/ OFF WHITE,BLACK/ GLOD/ OXBLOOD,OLIVE/ BLACK/ OFF WHITE,BLACK/ GLOD/ OXBLOOD,AB18MJ1_084G
36,50,interfacing,UU,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_084G
37,51,interfacing,VV,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MJ1_084G
38,52,other,WW,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,AB18MJ1_084G
39,53,interfacing,XX,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,AB18MJ1_084G
40,54,interfacing,YY,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,AB18MJ1_084G
41,59,zipper,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
42,61,other,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
