,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
44,thread,spi,supplier/ ref number,amont,silt,port,walnut,black
45,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
46,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell
47,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
48,labels ,supplier/ reference number,location,amont,silt,port,walnut,black
49,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,none,none,none,none
50,size label (sample size s),soluna/ size label,center back below main label,1,none,none,none,none
51,hang tags,supplier/ reference number,location,none,silt,port,walnut,black
52,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,none,none,none,none,none
53,care and content labels,supplier/ reference number,location,none,silt,port,walnut,black
54,address label,factory sourced,lining left side seam,none,none,none,none,none
55,content label,factory sourced,lining left side seam,none,none,none,none,none
56,washing label,factory sourced,lining left side seam,none,none,none,none,none
