index,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,material_garment,fabric,trims,zipper,outer,inner
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-109-18_ROCKEFELLER,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-109-18_ROCKEFELLER,1,0,1,0,1,0
,,INSULATION,PINNECO MANTLE 60G INSULATION ALL OVER,,,,,,,,,,,,,,,,,,L1,L1-109-18_ROCKEFELLER,1,1,0,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-109-18_ROCKEFELLER,1,0,1,0,1,0
,,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,,,,LEFT SIDE HAND POCKET ZIPPER,,,,,,,,,,,,,,L1,L1-109-18_ROCKEFELLER,1,0,1,0,1,0
,,INSULATION,"40G ""CS"" POLYFILL",,,,,,,,,,,,,,,,,,L1,L1-111-17_FLINT JACKET,1,1,0,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-111-18_STOOGE,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-113-18_KENSINGTON,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-113-18_KENSINGTON,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-201-17_GEMINI 2L PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-201-18_GEMINI,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-201-18_GEMINI,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-201-18_GEMINI,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-201-18_GEMINI,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-201-18_GEMINI,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,SEALON,,,,,L1,L1-202-17_OVERALL,1,0,1,0,1,0
,,Thread,8-10 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-107-18_WILCOX_4-7-17,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-202-18_OVERALL,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-202-18_OVERALL,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-202-18_OVERALL,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-202-18_OVERALL,1,0,1,0,1,0
,,INSULATION,"40G ""CS"" POLYFILL",,,,,,,,,,,,,,,,,,L1,L1-203-17_AMERICANA PANT,1,1,0,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,SEALON,,,,,L1,L1-203-17_AMERICANA PANT,1,0,1,0,1,0
