index,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,material_garment,fabric,trims,zipper,outer,inner
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-201_YAMANOUCHI BIB,1,0,1,0,1,0
,,,"WIDE + / 
WNP122-BJ4SR4  *2L",,,,,,,,,,,,,WIDE +,WNP122-BJ4SR4  *2L,,,,Nitro,W18-202_ELBRUS PANT 2L,1,1,0,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,FULLY TAPED,,,,,,,,,TSGS ,,,,,Nitro,W18-202_ELBRUS PANT 2L,1,0,1,0,1,0
,,INSULATION,40G PINNECO MANTLE UPPER BODY,,,,,,,,,,,,,,,,,,Nitro,W18-202_ELBRUS PANT 2L,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-202_ELBRUS PANT 2L,1,0,1,0,1,0
,,SEAM TAPE,SEAM TAPE,,,,CRITICALLY SEAM SEALED,,,,,,,,,TSGS ,,,,,Nitro,W18-203_WHISTLER,1,0,1,0,1,0
,,INSULATION,40G PINNECO MANTLE UPPER BODY,,,,,,,,,,,,,,,,,,Nitro,W18-203_WHISTLER,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,Nitro,W18-203_WHISTLER,1,0,1,0,1,0
,,cordlock,,,,,back of hood ,,,,,,,,,UTX,PCA224,,,,Five12,MENS AND WOMENS TOFINO HOODY ,1,0,1,0,1,0
,,grosgrain ribbon,grosgrain ribbon,10mm grosgrain ribbon       ,,,anchor for PCA224 cordlock at back hood,,,,,,,,,WOOSUNG,,,,,Five12,MENS AND WOMENS TOFINO HOODY ,1,0,1,0,1,0
,,cordlock,,,,,back of hood ,,,,,,,,,UTX,PCA224,,,,Scott USA,M TRAIL MTN WB 40 JACKET,1,0,1,0,1,0
,,SHOCKCORD,*NEW* 2mm shockcord ,,,,hood ,,,,,,,,,custom braid,,,,,Scott USA,M TRAIL MTN WB 40 JACKET,1,0,1,0,1,0
,,SHOCKCORD,*NEW* 2mm shockcord ,,,,hood ,,,,,,,,,custom braid,,,,,Scott USA,M TRAIL MTN WB 40 JACKET,1,0,1,0,1,0
,,heat transfer,reflective heat transfer,,,,right bicep,,,,,,,,,,RHT-009,,,,Scott USA,M TRAIL MTN WB 40 JACKET,1,0,1,0,1,0
,,,pop in puller- #5       ,,,,CF zipper,,,,,,,,,UTX,ZP-561/5  ,,,,Scott USA,M DEFINED MERINO JKT,1,0,1,1,1,0
,,,pop in puller- #3        ,,,,"hand pkt zippers, chest pocket zipper",,,,,,,,,UTX,ZP-562/3    ,,,,Scott USA,M DEFINED MERINO JKT,1,0,1,1,1,0
,,cordlock,cordlock,,,,hem adjustment,,,,,,,,,UTX,PCA224,,,,Scott USA,M DEFINED MERINO JKT,1,0,1,0,1,0
,,grosgrain ribbon,grosgrain ribbon,10mm grosgrain ribbon       ,,,anchor for PCA224 cordlock at back hood,,,,,,,,,WOOSUNG,,,,,Scott USA,M DEFINED MERINO JKT,1,0,1,0,1,0
,,rubber puller ,rubber puller ,,,,hem adjustment,,,,,,,,,UTX,P481S001,,,,Scott USA,M DEFINED MERINO JKT,1,0,1,0,1,0
,,density print,high density print,,,,right bicep,,,,,,,,,,,,,,Scott USA,M DEFINED MERINO JKT,1,0,1,0,1,0
,,,"#3, closed end, DSBSOS02A slider ",,,,cf zipper,,,,,,,,,YKK,CFC-39 DSBSOS02A (H3),,,,Scott USA,M DEFINED MID PULLOVER,1,0,1,1,1,0
,,direct print,,,,,right bicep,,,,,,,,,TAEKWANG,SB-DP-804,,,,Scott USA,M DEFINED MID PULLOVER,1,0,1,1,1,0
,,,custom braid 2.2mm,,,,bottom hem,,,,,,,,,,,,,,Scott USA,M DEFINED MID PULLOVER,1,0,1,1,1,0
,,grosgrain ribbon,grosgrain ribbon,8mm grosgrain ribbon      ,,,locker loop ,,,,,,,,,WOOSUNG,,,,,Scott USA,M DEFINED MID PULLOVER,1,0,1,0,1,0
,,,Shell fabric at face mask,,,,,,,,,,,,,SINGTEX,,,,,Scott USA,M DEFINED PLUS JKT,1,1,0,0,1,0
,,cordlock,cordlock,,,,hem adjustment,,,,,,,,,UTX,PCA224,,,,Scott USA,M DEFINED PLUS JKT,1,0,1,0,1,0
,,grosgrain ribbon,grosgrain ribbon,10mm grosgrain ribbon       ,,,anchor for PCA224 cordlock at back hood,,,,,,,,,WOOSUNG,,,,,Scott USA,M DEFINED PLUS JKT,1,0,1,0,1,0
,,direct print,,,,,right bicep,,,,,,,,,TAEKWANG,SB-DP-804,,,,Scott USA,M DEFINED PLUS JKT,1,0,1,1,1,0
,,,custom braid 2.2mm,,,,bottom hem,,,,,,,,,,,,,,Scott USA,M DEFINED PLUS JKT,1,0,1,1,1,0
,,,shell fabric at chest pocket,,,,,,,,,,,,,SINGTEX,SCK-757S,,,,Scott USA,M DEFINED POLAR JKT,1,1,0,0,1,0
,,,pop in puller- #5       ,,,,CF zipper,,,,,,,,,UTX,ZP-561/5  ,,,,Scott USA,M DEFINED TECH JKT,1,0,1,1,1,0
,,,pop in puller- #3        ,,,,"hand pkt zippers, chest pocket zipper",,,,,,,,,UTX,ZP-562/3    ,,,,Scott USA,M DEFINED TECH JKT,1,0,1,1,1,0
,,cordlock,cordlock,,,,hem adjustment,,,,,,,,,UTX,PCA224,,,,Scott USA,M DEFINED TECH JKT,1,0,1,0,1,0
,,,custom braid 2.2mm,,,,bottom hem,,,,,,,,,,1034213,,,,Scott USA,M DEFINED TECH JKT,1,0,1,1,1,0
,,cordlock,cordlock,,,,back of hood (1),,,,,,,,,UTX,PCA224,,,,Scott USA,W TRAIL MTN WB 40 JACKET,1,0,1,0,1,0
,,reflective perf tape,10mm reflective perf tape,,,,CB Neck,,,,,,,,,JRC,,,,,Scott USA,W TRAIL MTN WB 40 JACKET,1,0,1,0,1,0
,,direct print,direct MATTE print,,,,upper left front,,,,,,,,,,DP-634,,,,Scott USA,W DEFINED MID PULLOVER,1,0,1,0,1,0
,,direct print,direct MATTE print,,,,left sleeve at cuff,,,,,,,,,,DP-755,,,,Scott USA,W DEFINED MID PULLOVER,1,0,1,0,1,0
,,Thread,GRAMAX THREAD,,,,,,,,,,,,,COATS,,,,,Scott USA,W DEFINED MID PULLOVER,1,0,1,0,1,0
,,,pop in puller- #5       ,,,,CF zipper,,,,,,,,,UTX,ZP-561/5  ,,,,Scott USA,W DEFINED PLUS JKT,1,0,1,1,1,0
,,,pop in puller- #3        ,,,,sleeve pocket,,,,,,,,,UTX,ZP-562/3    ,,,,Scott USA,W DEFINED PLUS JKT,1,0,1,1,1,0
,,,,,,,"shoulders and outer sleeves, sleeve zipper garage",,,,,,,,,PREMIERE,,,,,Scott USA,W DEFINED PLUS JKT,1,1,0,0,1,0
,,,pop in puller- #5       ,,,,CF zipper,,,,,,,,,UTX,ZP-561/5  ,,,,Scott USA,W  DEFINED POLAR JKT,1,0,1,1,1,0
,,,pop in puller- #3        ,,,,sleeve pocket,,,,,,,,,UTX,ZP-562/3    ,,,,Scott USA,W  DEFINED POLAR JKT,1,0,1,1,1,0
,,Thread,normal flatlock stitch flatlock stitch,,,,all seams,,,,,,,,,COATS-NS,,,,,Scott USA,W  DEFINED POLAR JKT,1,0,1,0,1,0
,,direct print,direct MATTE print,,,,left chest,,,,,,,,,,DP-634,,,,Scott USA,W  DEFINED POLAR JKT,1,0,1,0,1,0
,,direct print,direct MATTE print,,,,right cuff,,,,,,,,,,DP-755,,,,Scott USA,W  DEFINED POLAR JKT,1,0,1,0,1,0
,,grosgrain ribbon,8mm grosgrain webbing,10mm grosgrain ribbon       ,,,locker loop,,,,,,,,,WOOSUNG,,,,,Scott USA,W  DEFINED POLAR JKT,1,0,1,0,1,0
,,,pop in puller- #5       ,,,,CF zipper,,,,,,,,,UTX,ZP-561/5  ,,,,Scott USA,W DEFINED TECH JKT,1,0,1,1,1,0
,,direct print,direct MATTE print,,,,right cuff,,,,,,,,,,DP-755,,,,Scott USA,W DEFINED TECH JKT,1,0,1,0,1,0
,,,coated taffetta,N/T 210 PU CO,,,lower powder skirt ,,,,,,,,,G&H international CO. LTD,,,,,Head,STELVIO MEN PANTS,1,1,0,0,1,0
,,,"43% CD Polyester; 57% Polyester, 75D Jersey Knit, 152g/m2, Peached Back, Wicking Finish",,,,Main Body - Shell B - SHIP SHELL B SIDE OUT,,,,,,,,,Seabreezs,SBK11236E,,,,Sierradesign,#228184,1,1,0,0,1,0
,,,"3.5mm, 2-color, Cording; with Metal Cord Ends",,,,Hood Adjustment,,,,,,,,,Kwong Tai (HK),KT-AD-004/M02,,,,Sierradesign,#228184,1,0,1,0,1,0
,,,"3.5mm, 2-color, Cording; with Metal Cord Ends",,,,Hood Adjustment,,,,,,,,,Kwong Tai (HK),KT-AD-004/M02,,,,Sierradesign,#F16 W Outside-In Hoody,1,0,1,0,1,0
,,Spring Toggle,Spring Toggles/1Hole,,,,,,,,,,,,,,,,,,Britax,Original Design_Tabelle1,1,0,1,0,1,0
,,Spring Toggle,Spring Toggles/2Hole,,,,,,,,,,,,,,,,,,Britax,Original Design_Tabelle1,1,0,1,0,1,0
,,Retro Tape,Retro Tape/W:30mm,,,,,,,,,,,,,,,,,,Britax,Original Design_Tabelle1,1,0,1,0,1,0
,,Velcro,Velcro-Hook,,,,,,,,,,,,,,,,,,Britax,Original Design_Tabelle1,1,0,1,0,1,0
,,Velcro,Velcro-Loop,,,,,,,,,,,,,,,,,,Britax,Original Design_Tabelle1,1,0,1,0,1,0
,,Seam Tape,,,,,,,,,,,,,,,,,,,Britax,Original Design_Tabelle1,1,0,1,0,1,0
