,brand,style,item,supplier,ref,description,content,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,fabric,trims,outter ,inner
54,scott usa,m defined mid pullover,"3/4"" foldable lycra",woosung,,binding,,,,"cf zipper tape finish, windflap edge",none,0.244,yard,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,0,1,,
55,scott usa,m defined mid pullover,normal flatlock,coats,,normal flatlock,,,,armhole seams,none,none,0,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,0,1,,
56,scott usa,m defined mid pullover,normal flatlock,coats,,normal flatlock,,,,side seams,none,none,0,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,0,1,,
57,scott usa,m defined mid pullover,dp-634,taekwang,,direct print (matte quality),,,,upper left chest,1,none,0,18-1449 ketchup,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,0,1,,
58,scott usa,m defined mid pullover,sb-dp-804,taekwang,,direct print (matte quality),,,,right bicep,1,none,0,moroccan red,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,0,1,,
59,scott usa,m defined mid pullover,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,x,0,1,,
60,scott usa,m defined mid pullover,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,dark grey,0,1,,
61,scott usa,m defined mid pullover,ccl-149,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,x,x,0,1,,
62,scott usa,m defined mid pullover,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,white,0,1,,
63,scott usa,m defined mid pullover,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,x,0,1,,
64,scott usa,m defined mid pullover,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,x,0,1,,
65,scott usa,m defined mid pullover,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,x,0,1,,
66,scott usa,m defined mid pullover,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,x,0,1,,
67,scott usa,m defined mid pullover,duro-ht-4s-2,daeyong,,duroxpand hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,x,0,1,,
68,scott usa,m defined mid pullover,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,x,0,1,,
69,scott usa,m defined plus jkt,fe529-a,premiere,,"shell fabric at hood, sleeves, sleeve pocket, collar
facing fabric at rolled cuffs, back of collar, windflap",,,,none,none,none,yard,lunar blue,lunar blue,moroccan red,lake blue,caviar black,none,1,0,,
70,scott usa,m defined plus jkt,fe529-a,premiere,,"shell fabric at front body, back body
facing fabric at rolled hem",,,,none,none,none,yard,marine blue,lunar blue,moroccan red,lake blue,caviar black,none,1,0,,
71,scott usa,m defined plus jkt,sck-757s,singtex,,shell fabric at face mask,,,,none,none,4.8,yard,marine blue,lunar blue,royal red,nightfall blue,caviar black,none,1,0,,
72,scott usa,m defined plus jkt,"tba-use available #5 coil open end, 1 slider for proto",ykk,,none,,,,cf zipper,1,none,0,use available,use available,use available,use available,use available,none,0,1,,
