,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,supplier,ref,qty,price/unit,unit,fabric,trims,outer,inner
73,tba-use available #3 coil closed end for proto,,,,,hand pocket zippers,use available,use available,use available,use available,use available,,,,scott usa,m defined plus jkt,ykk,,2,,0,0,1,1,0
74,tba-use available #3 coil closed end for proto,,,,,left sleeve pocket zipper,use available,use available,use available,use available,use available,,,,scott usa,m defined plus jkt,ykk,,1,,0,0,1,1,0
75,142-01951-000013 ,flexible zipper puller,,,,"cf zipper (1), hand pocket (2), sleeve pocket (1)          ",lunar blue,lunar blue,moroccan red,nightfall blue,caviar black,,,,scott usa,m defined plus jkt,utx,,4,0.11,0.44,0,1,1,0
76,pca224,cordlock,,,,hem adjustment,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,scott usa,m defined plus jkt,utx,,2,0.06,0.116,0,1,1,0
77,10mm grosgrain ribbon,webbing,,,,anchor for pca224 cordlock at bottom hem,dark grey,dark grey,dark grey,dark grey,dark grey,,,,scott usa,m defined plus jkt,woosung,,,0.05,yard,0,1,1,0
78,p481s001,rubber puller ,,,,hem adjustment      ,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,scott usa,m defined plus jkt,utx,,2,0.02,0.04,0,1,1,0
79,1034213,custom braid 2.2mm,,,,bottom hem,marine blue,marine blue,moroccan red,nightfall blue,caviar black,,,,scott usa,m defined plus jkt,chun wo ho,,,0.109,yard,0,1,1,0
80,5mm eyelet,5mm logo eyelet,,,, hem adjustment exit (4),antique silver,antique silver,antique silver,antique silver,antique silver,,,,scott usa,m defined plus jkt,il jin  ,,4,0.03,0.12,0,1,1,0
81,"3/4"" foldable lycra",binding,,,,"hood binding, top and bottom of face mask, edge of windflap, finish at zipper tape edge, neck seam          ",marine blue,marine blue,royal red,lake blue,caviar black,,,,scott usa,m defined plus jkt,woosung,,,0.244,0.244,0,1,1,0
82,gramax thread,normal flatlock,,,,"armhole seams, hood seams, face mask seam, underarm seams",lunar blue,marine blue,royal red,nightfall blue,caviar black,,,,scott usa,m defined plus jkt,coats,,,,0,0,1,1,0
83,gramax thread,normal flatlock,,,,side seams,marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,scott usa,m defined plus jkt,coats,,,,0,0,1,1,0
84,dp-634,direct print (matte quality),,,,upper left chest,lunar blue,19-4024 dress blues,18-1449 ketchup,19-4110 nightfall blue,iron grey,,,,scott usa,m defined plus jkt,factory,,1,,0,0,1,1,0
85,sb-dp-804,direct print (matte quality),,,,right bicep,marine blue,marine blue,royal red,nightfall blue,irong rey,,,,scott usa,m defined plus jkt,factory,,1,,0,0,1,1,0
86,durawelt overlays,"1/4"" durawelt overlays",,,,sleeve pocket ,lunar blue,lunar blue,moroccan red,lake blue,caviar black,,,,scott usa,m defined plus jkt,factory,,,,0,0,1,1,0
87,durawelt overlays,"1/4"" durawelt overlays",,,,around hand pocket zippers,marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,scott usa,m defined plus jkt,factory,,,,0,0,1,1,0
88,m-size-20,m's main interior label           ,,,,cb neckseam      ,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.045,0.045,0,1,1,0
89,8mm grosgrain ribbon    ,grosgrain ribbon           ,,,,locker loop      ,dark grey,dark grey,dark grey,dark grey,dark grey,,,,scott usa,m defined plus jkt,woosung  ,,1,0,0,0,1,1,0
90,ccl-001,care content labels,,,,left side seam,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.035,0.035,0,1,1,0
91,po label,po label- for bulk only!,,,,left side seam,white,white,white,white,white,,,,scott usa,m defined plus jkt,daeyong ,,1,0.005,0.005,0,1,1,0
92,m-ht-lay,m's layering hangtag         ,,,,left side       ,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.22,0.22,0,1,1,0
93,hangtag chain,chain for hangtag,,,,left side       ,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.06,0.06,0,1,1,0
94,fit-ht-gen,general fit insert,,,,insert,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.11,0.11,0,1,1,0
95,fit-ht-athl,athletic fit hangtag,,,,top of hang tag,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.055,0.055,0,1,1,0
96,duro-ht-uv-2,duroshade hangtag,,,,insert,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.1,0.1,0,1,1,0
97,dryo-ht-wr-2,dryozone dwr hangtag,,,,insert,x,x,x,x,x,,,,scott usa,m defined plus jkt,daeyong,,1,0.1,0.1,0,1,1,0
98,#9068 powerdry,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar",,,,,marine blue,caviar black,nightfall blue,moroccan red,,,,,scott usa,m defined polar jkt,polartec,,,11.2,meter,1,0,1,0
99,sck-757s,shell fabric at chest pocket,,,,,marine blue,caviar black,nightfall blue,moroccan red,,,,,scott usa,m defined polar jkt,singtex,,,4.8,yard,1,0,1,0
100,l1025 sw,non woven interlining,,,,interior collar,stock white,stock white,stock white,stock white,,,,,scott usa,m defined polar jkt,r.m. interlinings ltd.,,,0.1,yard,1,0,1,0
101,cifol-39 dsbyg (h3),"#3 coil, open end, left insert, dsbyg slider ",,,,cf zipper,lunar blue,caviar black,nightfall blue,moroccan red,,,,,scott usa,m defined polar jkt,ykk,,1,,0,0,1,1,0
