,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,supplier,ref,qty,price/unit,unit,fabric,trims,outer,inner
4681,stoppers,round barrel stopper - k-018 ,,,,(2) hood,black,dark olive,black,black,,,,,airblaster,AB18MJ2_081,,,2,,,0,1,1,0
4682,stoppers,k343-2n push stoppers,,,,(2) bottom hem,black,dark olive,black,black,,,,,airblaster,AB18MJ2_081,,,2,,,0,1,1,0
4683,hand pulls,plastic hand pulls zp11 ,,,, (2) bottom hem,black,dark olive,black,black,,,,,airblaster,AB18MJ2_081,,,2,,,0,1,1,0
4684,webbing,"flat webbing tape, 8mm",,,, key clip attachment at inside wearer's right pocket,black,black,black,black,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4685,webbing,flat webbing tape 8mm width,,,, (2)stopper attachments loops at bottom hem,black,black,black,black,,,,,airblaster,AB18MJ2_081,,,2,,,0,1,1,0
4686,hardware,"metal eyelets, 12mm (incl. washers)",,,,"(4) at hood opening,  (4) inside bottom hem",dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,airblaster,AB18MJ2_081,,,8,,,0,1,1,0
4687,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",,,," (6) c.f., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,airblaster,AB18MJ2_081,,,11,,,0,1,1,0
4688,hardware,male snap only (incl. washers),,,,(2) powder skirt (2) cuffs,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,airblaster,AB18MJ2_081,,,4,,,0,1,1,0
4689, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,,,,hood,black,dark olive,black,black,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4690,elastic drawcord, 2.5 mm elastic cord,,,,bottom hem adjustment,black,dark olive,black,black,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4691,key clip,plastic key clip attched with webbing loop,,,,inside wearers right pocket.,black,black,black,black,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4692,main label,abwv_67 freedom main label,,,,"inside c.b. neck, see q/a for placement",gold/black,gold/black,gold/black,gold/black,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4693,size label,abwv_69v vietnam size label,,,,sewn in and centered below main label,black/gold,black/gold,black/gold,black/gold,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4694,w/c label,satin label with print,,,,"wearer's left side seam, 10 cm up from bottom edge",black,black,black,black,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4695,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back neck seam,black/gold,black/gold,black/gold,black/gold,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4696,branding,abpa_22 workwear label,,,,"left chest, see art placement page for detail",brown,brown,brown,brown,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4697,hangtag,,,,,,,,,,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4698,hangtag,,,,,,,,,,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4699,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,clear,clear,clear,clear,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4700,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,,,,,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4701,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,,,,,,,,,airblaster,AB18MJ2_081,,,1,,,0,1,1,0
4702,main fabric,94% spun polyester 6%spandex single jersey + wicking               r21103023,,,,main body,black,pizza,,,,,,,airblaster,AB19KNJ1_002,,,,,,1,0,1,0
4703,binding,94% spun polyester 6%spandex single jersey + wicking                      r21103023,,,,hood opening,black,pizza,,,,,,,airblaster,AB19KNJ1_002,,,,,,1,0,1,0
4704,thread,,,,,flatlock seams upper body,black,black,,,,,,,airblaster,AB19KNJ1_002,,,,,,0,1,1,0
4705,thread,,,,,flatlock seams lower body,black,black,,,,,,,airblaster,AB19KNJ1_002,,,,,,0,1,1,0
4706,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,,,,c.f. zipper,black,black,,,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4707,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,,,,waistband zipper,black,black,,,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4708,main label,abtr_538v transfer label 100% polyester,,,,"inside c.b. neck, 3  cm below neck seam",white,black,,,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4709,w/c label,satin label with print,,,,"wearer's left side seam, 10 cm up from waistband seam",black,black,black,black,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4710,embroidery,ninja star abem_015a 2-color ,,,,"at wearer's left chest, sewn directly to chest with sns edge stitch, see palcement page for detail  (a. star color, b. pill color)",a) metallic silver st101                      b) black,,,,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4711,embroidery,abem_310 pizza ninja star,,,,"at wearer's left chest, sewn directly to chest with sns edge stitch",,yellow/red/black/brown,,,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4712,hangtag,,,,,c.f. zipper. use white color webbing rope to attach. supplied by sml.,,,,,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4713,size sticker,clear size indication zipper,,,,2 pcs placed on each designated white square on side of packing box.,clear,clear,clear,clear,,,,,airblaster,AB19KNJ1_002,,,2,,,0,1,1,0
4714,upc sticker,sticker width 3.5 cm,,,,"at bottom side of ninja suit packaging box.  place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 12/13.",white,white,white,white,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4715,ninja packing box,see sample,,,,garment folded neatly and placed in packing box.  will advise ordering information when available.,black,black,black,black,,,,,airblaster,AB19KNJ1_002,,,1,,,0,1,1,0
4716,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),,,,"sleeves, placket, collar",,black,black,black,,,,,airblaster,AB19MF1_114,,,,,,1,0,1,0
4717,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),,,,front and back main body,,heather gray,oxblood,sea pine,,,,,airblaster,AB19MF1_114,,,,,,1,0,1,0
4718,hardware,"sungrip chic plastic snap button, 13mm (incl. washers)",,,,(4) placket,,black g850,black g851,black g852,,,,,airblaster,AB19MF1_114,,,4,,,0,1,1,0
4719,main label,,,,,centered 1.5cm below cb neck,,black/moonbeam,black/moonbeam,black/moonbeam,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4720,size label,abwv_207 made in vietnam woven label,,,,sewn in and centered below abwv_84,,black/neutral gray,black/neutral gray,black/neutral gray,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4721,w/c label,satin label with print,,,,"wearer's left side seam, 10 cm up from waistband seam",,black/white,black/white,black/white,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4722,abwvlp_01 woven loop,abwvlp_205 loop label,,,,inside center back neck seam,,black,black,black,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4723,branding,,,,,,,,,,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4724,hangtag,,,,,,,,,,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4725,hangtag,,,,,,,,,,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4726,polybag w/ warning matter (supplied by your side),airpill logo print:  16 cm,,,,same as 1314 bulk outerwear production,,,,,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4727,upc sticker,sticker width 3.5 cm,,,,"place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 13/14",,white,white,white,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4728,country of origin sticker,made in china sticker,,,,centered above upc sticker,,white,white,white,,,,,airblaster,AB19MF1_114,,,1,,,0,1,1,0
4729,shell fabric,sotp013-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),,,,"main body, sleeves, pockets, collar",black,forest,dk khaki,greyskull,,,,,airblaster,AB17MJ4_076,,,,,,1,0,1,0
4730,shell fabric,sotp013-pr20-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),,,,"main body, sleeves, pockets, collar",,,,,wood duck critterflage,,,,airblaster,AB17MJ4_076,,,,,,1,0,1,0
4731,lining, soto048-p velvety tricot -  smooth side used as face side,,,,front and back body only,night jungle,night jungle,night jungle,night jungle,,,,,airblaster,AB17MJ4_076,,,,,,1,0,1,0
4732,lining, soto048-1 velvety tricot -  smooth side used as face side,,,,front and back body only,,,,,black,,,,airblaster,AB17MJ4_076,,,,,,1,0,1,0
4733,lining, soto048-1 velvety tricot -  smooth side used as face side,,,,"inside lining, pocket bag, sleeves",black,black,black,black,black,,,,airblaster,AB17MJ4_076,,,,,,1,0,1,0
4734,pellon,lightweight interfacing (item# tbd),,,,"collar, placket, cuffs, welts",white,white,white,white,white,,,,airblaster,AB17MJ4_076,,,,,,1,0,1,0
4735,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",,,,(5)c.f.,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,airblaster,AB17MJ4_076,,,5,,,0,1,1,0
4736, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,,,,bottom hem,black,black,black,black,black,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4737,hardware,"metal eyelets, 12mm (incl. washers)",,,, (2) inside bottom hem,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,airblaster,AB17MJ4_076,,,2,,,0,1,1,0
4738,stopper,leather stopper abstpr_01,,,, (2) bottom hem drawcord,brown,brown,brown,brown,brown,,,,airblaster,AB17MJ4_076,,,2,,,0,1,1,0
4739,elastic , 2.5 cm flat elastic ,,,,(2) cuffs,black,black,black,black,black,,,,airblaster,AB17MJ4_076,,,2,,,0,1,1,0
4740,main label,abwv_84 s.layer main label,,,,"inside c.b. neck, see q/a for placement",cream/black,cream/black,cream/black,cream/black,cream/black,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4741,size label,abwv_69 inside joke label,,,,sewn in and centered below main label,black/cream,black/cream,black/cream,black/cream,black/cream,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4742,w/c label,satin label with print,,,,"wearer's left side seam, 10 cm up from bottom edge",black,black,black,black,black,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4743,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back neck seam,black/cream,black/cream,black/cream,black/cream,black/cream,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4744,branding,abpa_82 leather terry patch,,,,"left back side seam, see placement page for detail",black/white,black/white,black/white,black/white,black/white,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4745,hangtag,,,,,,,,,,,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4746,hangtag,,,,,,,,,,,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4747,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,clear,clear,clear,clear,clear,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4748,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,,,,,,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4749,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,,,,,,,,,airblaster,AB17MJ4_076,,,1,,,0,1,1,0
4750,shell fabric,sotm108-2l2-h 100%nylon 10k/8k dwr+breathable coating (supplied by li peng),,,,"main body, sleeves. hood",black,evergreen,flame,day jungle,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4751,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),,,,"powder skirt, pocket bag, sleeve lining, hood lining, below powder skirt",black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4752,other , velvety tricot - soto048-1 (supplied by solis),,,,"comfort chin guard, inner front pocket bag panel",black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4753,other,100% poly mesh - sotc025-1 (supplied by solis),,,,"vents, internal goggle pocket",black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4754,other,nylon/elastic lycra - sono029-1 (supplied by solis),,,,powder skirt,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4755,other,sotf104-1 100% polyester fleece,,,,front and back inside lining to top of powder skirt only,black,fire,fire,black,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4756,other,lycra binding tape,,,,internal mesh pocket opening,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4757,other,gripper elastic,,,,powder skirt,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,,,,0,1,1,0
4758,other,"1x1 rib knit,good quality arcylic/spandex",,,,cuffs,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,,,,0,1,1,0
4759,pellon,lightweight interfacing (item# tbd),,,,"inner storm flap, powder skirt closure flaps",white,white,white,white,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4760,pellon,heavyweight interfacing (item# tbd),,,,hood brim,white,white,white,white,,,,,airblaster,AB18MJ1_084G,,,,,,1,0,1,0
4761,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",,,,cf,black,evergreen 153,flame 819,cordovan 048,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4762,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),,,,( 2) hand pockets,black,evergreen 153,flame 819,cordovan 048,,,,,airblaster,AB18MJ1_084G,,,2,,,0,1,1,0
4763,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)",,,, vents,black,evergreen 153,flame 819,cordovan 048,,,,,airblaster,AB18MJ1_084G,,,2,,,0,1,1,0
4764,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",,,,1 internal pocket at w.'s inside left,black,evergreen 153,flame 819,cordovan 048,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4765,zipper,"ykk no.5 nylon coil, hidden chain zipper, auto-lock slider da8lh",,,,(1)removable powder skirt,black,evergreen 153,flame 819,cordovan 048,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4766,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),,,,"cf, (2) hand pockets, (1) internal pocket, (2) vents",black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,6,,,0,1,1,0
4767,stoppers,barrel stopper k-018,,,,2) hood,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,2,,,0,1,1,0
4768,webbing,"flat webbing tape, 8mm",,,, key clip attachment at inside wearer's right pocket,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4769,webbing,flat webbing tape 8mm width,,,, (2)stopper attachments loops at bottom hem,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,2,,,0,1,1,0
4770,hardware,"metal eyelets, 12mm (incl. washers)",,,,(4) at hood opening,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,airblaster,AB18MJ1_084G,,,4,,,0,1,1,0
4771,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",,,," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,airblaster,AB18MJ1_084G,,,14,,,0,1,1,0
4772,hardware,male snap only (incl. washers),,,,"(2) powder skirt, (2)cuffs",matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48,,,,,airblaster,AB18MJ1_084G,,,4,,,0,1,1,0
4773,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,,,,hood,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4774,elastic , 2.5 cm flat elastic ,,,,(2) cuffs,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,2,,,0,1,1,0
4775,key clip,plastic key clip attched with webbing loop,,,,inside wearers right pocket.,black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4776,main label,abwv_59 glacier main label,,,,"inside c.b. neck, see q/a for placement",olive/ black/ off white,black/ glod/ oxblood,olive/ black/ off white,black/ glod/ oxblood,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4777,size label,abwv_69v vietnam size label,,,,sewn in and centered below abwv_111,olive/ black,black/gold,olive/ black,black/gold,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4778,w/c label,satin label with print,,,,"wearer's left side seam, 10 cm up from bottom edge",black,black,black,black,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4779,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back neck seam,olive/ black,black/gold,olive/ black,black/gold,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4780,branding,abpa_105b corey patch,,,,"left chest, see palcement page for detail",bone/ black/black velcro,bone/ black/green velcro,bone/ black/ orange velcro,bone/ black/ blue grey velcro,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4781,branding,abpa_126 gully suede label,,,,"left back side seam ,see placement page 2 for detail",black/bone,black/bone,black/bone,black/bone,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4782,branding,abwv_111 nlgc woven label,,,,sewn in and centered below main label,olive/ black/ off white,black/ glod/ oxblood,olive/ black/ off white,black/ glod/ oxblood,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4783,hangtag,,,,,,,,,,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4784,hangtag,,,,,,,,,,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4785,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,clear,clear,clear,clear,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4786,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,,,,,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4787,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,,,,,,,,,airblaster,AB18MJ1_084G,,,1,,,0,1,1,0
4788,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),,,,main body,black,,oxblood,,,,navy,mint julep,airblaster,AB18WP3_056,,,,,,1,0,1,0
4789,shell fabric,sotd109-c1-y 100% polyester 10k/8k +2-layer +breathable coating+dwr (supplied by solis),,,,main body,,khaki,,dark navy,vintage black ,dinoflage,,,airblaster,AB18WP3_056,,,,,,1,0,1,0
4790,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),,,,inside lining,black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,,,,1,0,1,0
4791,other, velvety tricot - soto048-1 (supplied by solis),,,,"at inside waistband, inside hand pockets at front panels only, inside fly",black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,,,,1,0,1,0
4792,other,nylon/elastic lycra - sono029-1 (supplied by solis),,,,"lower leg gators, internal crotch gusset",black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,,,,1,0,1,0
4793,other,40gm insulation,,,,main body,white,,white,,,,white,white,airblaster,AB18WP3_056,,,,,,1,0,1,0
4794,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",,,,fly ,black,khaki 886,oxblood 097,dark navy 391,vintage black 580,duffel 237,navy 196,mint julep 829,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4795,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",,,,back pockets,black,khaki 886,oxblood 097,dark navy 391,vintage black 580,duffel 237,navy 196,mint julep 829,airblaster,AB18WP3_056,,,2,,,0,1,1,0
4796,zipper pull,abzp_01 utility cord pulls,,,,(2) pockets,black,black,black,black,black,black,black,bone,airblaster,AB18WP3_056,,,2,,,0,1,1,0
4797,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",,,,"bang snaps (2), cf closure(2)",pewter bi-10,dark anti brass bi-18,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,pewter bi-10,airblaster,AB18WP3_056,,,4,,,0,1,1,0
4798,hardware,12mm metal eyelet  (incl. washers),,,,"front waistband 5cm each side of center front (2), left belt loop (1)",pewter bi-10,dark anti brass bi-18,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,pewter bi-10,airblaster,AB18WP3_056,,,3,,,0,1,1,0
4799,hardware,metal hook closure,,,,at inside waistband,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4800,hardware,metal lace hooks,,,,at inside lower leg gaiters,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,airblaster,AB18WP3_056,,,2,,,0,1,1,0
4801,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,,,,waistband,black,black,black,black,black,dark olive,black,black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4802,elastic,gripper elastic,,,,at inside lower leg gators,black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4803,key clip,plastic key clip attched with webbing loop,,,,inside w. right pocket,black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4804,webbing,8 mm width webbing,,,,key clip attachment  at wearer's right inside pocket,black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4805,main label,abwv_67 freedom main label,,,,inside c.b. waist see q/a for detail,gold/black,gold/black,gold/black,gold/black,gold/black,gold/black,gold/black,bone/ dark green,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4806,size label,abwv_69v vietnam size label,,,,sewn in and centered below main label,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/offwhite,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4807,w/c label/content,satin with print (same as 12/13 label),,,,"at inside side seam, 8 cm down from waistband seam",black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4808,flag label,ablt_01 logo flag label (airpill side),,,,inside of right back pocket 3cm from top of pocket,black/white,black/white,black/white,black/white,black/white,black/white,black/white,black/white,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4809,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back waist seam,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/gold,black/offwhite,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4810,branding,abpa_115 airblaster pu label,,,,"left front pocket, see art placement page for detail",oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4811,branding,abpa_117 terry pu label,,,,"left side seam, see palcement page for detail",mahogany/black,black/khaki,mahogany/black,black/khaki,black/khaki,black/khaki,mahogany/black,mahogany/black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4812,hangtag,,,,,,,,,,,,,,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4813,hangtag,,,,,,,,,,,,,,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4814,polybag w/ warning matter,airpill logo print:  16 cm,,,,centered on poly bag,black,black,black,black,black,black,black,black,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4815,country of origin sticker (supplied by your side),made in china sticker,,,,centered above upc sticker,white,white,white,white,white,white,white,white,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4816,upc sticker (supplied by your side),sticker width 3.5 cm,,,,lookers right bottom corner,white,white,white,white,white,white,white,white,airblaster,AB18WP3_056,,,1,,,0,1,1,0
4817,shell fabric,sotp013-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),,,,"main body, sleeves, pockets, collar",black,dark olive,puddle,bone,,,,,airblaster,AB18MJ2_105,,,,,,1,0,1,0
4818,lining, soto048-p velvety tricot -  smooth side used as face side (supplied by solis),,,,"inside lining, pocket bag, sleeves",day jungle,day jungle,day jungle,day jungle,,,,,airblaster,AB18MJ2_105,,,,,,1,0,1,0
4819,pellon,lightweight interfacing (item# tbd)  (supplied by you),,,,"collar, placket, cuffs, welts",white,white,white,white,,,,,airblaster,AB18MJ2_105,,,,,,1,0,1,0
4820,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)  (supplied by you)",,,,(5)c.f.,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,airblaster,AB18MJ2_105,,,5,,,0,1,1,0
4821,hardware,"metal eyelets, 12mm (incl. washers)  (supplied by you)",,,, (2) inside bottom hem,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,airblaster,AB18MJ2_105,,,2,,,0,1,1,0
4822,stopper,leather stopper abstpr_134 leather pig nose  stopper,,,, (2) bottom hem drawcord,black,black,black,black,,,,,airblaster,AB18MJ2_105,,,2,,,0,1,1,0
4823, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm  (supplied by you),,,,bottom hem,black,black,black,black,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4824,elastic , 2.5 cm flat elastic  (supplied by you),,,,(2) cuffs,black,black,black,black,,,,,airblaster,AB18MJ2_105,,,2,,,0,1,1,0
4825,main label,abwv_84 slayer main label,,,,centered 1.5cm below cb neck,cream/black,cream/black,cream/black,cream/black,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4826,size label,abwv_69v vietnam size  label (supplied by sml),,,,sewn in and centered below main label,black/ off white,black/ off white,black/ off white,black/ off white,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4827,w/c label,satin label with print  (supplied by you),,,,"wearer's left side seam, 10 cm up from bottom edge",black,black,black,black,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4828,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),,,,inside center back neck seam,black/ off white,black/ off white,black/ off white,black/ off white,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4829,branding,abpa_82 leather terry patch,,,,"left back side seam, see placement page for detail",black/white,black/white,black/white,black/white,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4830,hangtag,,,,,,,,,,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4831,hangtag,,,,,,,,,,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4832,polybag w/ warning matter,airpill logo print:  16 cm (supplied by you),,,,centered on poly bag,clear,clear,clear,clear,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
4833,country of origin sticker (supplied by your side),made in china sticker  (supplied by you),,,,centered above upc sticker,,,,,,,,,airblaster,AB18MJ2_105,,,1,,,0,1,1,0
