,0,1,2,3,4,5,6,7,8
28,ff,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"cf, (2) hand pockets, (1) napoleon pocket, (2) vents",6,tbd,tbd,tbd,tbd
30,none,none,none,none,trims,none,none,none,none
31,gg,velcro,hook and loop; w: 1.6 cm x h: 5cm,(4)storm flap,4,tbd,tbd,tbd,tbd
32,hh,stoppers,barrel stopper k-018,2) hood,2,tbd,tbd,tbd,tbd
33,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
34,jj,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,tbd,tbd,tbd,tbd
35,kk,hardware,"metal eyelets, 12mm (incl. washers)",(4) at hood opening,4,tbd,tbd,tbd,tbd
36,ll,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",14,tbd,tbd,tbd,tbd
37,mm,hardware,male snap only (incl. washers),"(2) powder skirt, (4)cuffs",6,tbd,tbd,tbd,tbd
38,nn,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,tbd,tbd,tbd,tbd
39,oo,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
40,pp,main label,tbd,"inside c.b. neck, see q/a for placement",1,tbd,tbd,tbd,tbd
41,qq,size label,abwv_69v vietnam size label,sewn in and centered below abwv_111,1,tbd,tbd,tbd,tbd
42,rr,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
43,ss,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd
44,tt,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
45,uu,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
47,none,none,none,none,hangtags/packaging,none,none,none,none
48,vv,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
49,ww,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
50,xx,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
51,yy,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
52,zz,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
53, ,none,none,none,none,none,none,none,none
54,special instructions:,none,none,none,none,none,none,none,none
55,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
56,2,stitches per inch:,8-10,none,none,none,none,none,none
57,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none
58,4,bartack:,at stress points,none,none,none,none,none,none
59,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
60,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
61,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
