,brand,style,item,trims,fabric,description,ref,supplier,position,spec,qty,price,total,terms,colorway-1,colorway-2,colorway-3,colorway-4
44,head,821126 _sestriere mens jacket,hang tags,1,0,barcode sticker,none,vn.cosmo,attach on hang-tag - follow packing instruction,none,1,none,none,none, -- , -- ,none,none
45,head,821126 _sestriere mens jacket,hang tags,1,0,ykk general hang-tag,none,ykk,behind generel hang-tag,none,1,none,none,none, -- , -- ,none,none
46,head,821156 stelvio pants men,fabric/ lining,0,1,3 layer main material stretch,sone 108-3l04-d,solis,"front part at thigh of pant going over to back part, waistband , beltloops, flaps for waistband adjustment, beltloop in cb is with hightlight tape, pocket bags(a)",none,none,none,none,none,scarlet red 19-1760,aurora  12-0642 tcx,dress blue 19-4024 tcx,black
47,head,821156 stelvio pants men,fabric/ lining,0,1,3 layer main material stretch,sone 108-3l04-d,solis,"lower front part , back part (b)",none,none,none,none,none,dress blue 19-4024 tcx,aurora 12-0642 tcx,dress blue 19-4024 tcx,aurora 12-0642 tcx
48,head,821156 stelvio pants men,fabric/ lining,0,1,leg protection ,tex#1651 ,"texland&nexko co., ltd.","inside legs, for shape keep to design sketch",none,none,none,none,none,black,black,black,black
49,head,821156 stelvio pants men,fabric/ lining,0,1,lycra material,spandex fulldull twoway (280g),dong hwa ind co.ltd,little insert on top end of powder skirt,none,none,none,none,none,iron gate 19-3910 tcx,iron gate 19-3910 tcx,iron gate 19-3910 tcx,iron gate 19-3910 tcx
50,head,821156 stelvio pants men,fabric/ lining,0,1,brushed lining,"benbug 175g (75 bonberg, 175g brushed) ",woojutextile,inside waistband on back part only,none,none,none,none,none,iron gate 19-3910 tcx,iron gate 19-3910 tcx,iron gate 19-3910 tcx,iron gate 19-3910 tcx
51,head,821156 stelvio pants men,fabric/ lining,0,1,coated taffetta,n/t 210 pu co,g&h international co. ltd,lower powder skirt ,none,none,none,none,none,iron gate 19-3910 tcx,iron gate 19-3910 tcx,iron gate 19-3910 tcx,iron gate 19-3910 tcx
52,head,821156 stelvio pants men,seam tape,1,0,seam tape for 3 layer,s30908-blk921f131,solis,all seams,none,none,none,none,none,light grey,light grey,light grey,light grey
53,head,821156 stelvio pants men,velcro,1,0,loops,20m/m,dg dong dae - kido,"waistband adjustment, shape see design sketch",none,2,none,none,none,black,black,black,black
54,head,821156 stelvio pants men,velcro,1,0,hooks,20m/m,dg dong dae - kido,"waistband adjustment, shape see design sketch",none,2,none,none,none,black,black,black,black
55,head,821156 stelvio pants men,logo,1,0,tab logo,"h-la 013 version up, head logo lasercut",clotex,front part at left thigh along powerseam,none,1,"0,115$",none,none,version b: hipster c-407                      silver- print black,version b: hipster c-407                      silver- print black,version b: hipster c-407                      silver- print black,version b: hipster c-407                       silver- print black
56,head,821156 stelvio pants men,logo,1,0,rivet,h-mp 011 db 0692-0,dragon times,"front part, work with plastic washer behind",none,1,"0,10$",none,none,gloss silver db 0692-0,gloss silver db 0692-0,gloss silver db 0692-0,gloss silver db 0692-0
57,head,821156 stelvio pants men,logo,1,0,press button wishbone,h-mp 014 db 0717,dragon times,center front closure,none,2,"0,18$",none,none,gloss silver db-0717,gloss silver db-0717,gloss silver db-0717,gloss silver db-0717
58,head,821156 stelvio pants men,logo,1,0,press button press wishbone,pl washer for head,dong gwang sa - kido,center front closure under,none,2,none,none,none,white,white,white,white
