,brand,style,description,ref,position,spec,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,qty,inner,outer,fabric,trims
35,Nitro,N18-101-GLADES,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,,color,,,,,3 pieces ,0,1,0,1
36,Nitro,N18-101-GLADES,shockcord,xxx,hood,,color,,,,,1,0,1,0,1
37,Nitro,N18-101-GLADES,shockcord,xxx,hem,,color,,,,,1,0,1,0,1
38,Nitro,N18-101-GLADES,"elastine tape (used in 1"" x1 1/2"" welt)",xxx,lining media pocket cord exit,,color,,,,,1,0,1,0,1
39,Nitro,N18-101-GLADES,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,inset cuff on body,,match to shell,,,,,1 per side = 2,0,1,0,1
40,Nitro,N18-101-GLADES,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2,0,1,0,1
41,Nitro,N18-101-GLADES,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount,0,1,0,1
42,Nitro,N18-102 DENALI ANORAK,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,,0,1,1,0
43,Nitro,N18-102 DENALI ANORAK,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,,0,1,1,0
44,Nitro,N18-102 DENALI ANORAK,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,,0,1,1,0
45,Nitro,N18-102 DENALI ANORAK,solid 210t ,supplier / ref code,chest pocket bag,100% nylon,color,,,,,,0,1,1,0
46,Nitro,N18-102 DENALI ANORAK,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,,0,1,1,0
47,Nitro,N18-102 DENALI ANORAK,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,,0,1,1,0
48,Nitro,N18-102 DENALI ANORAK,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,,0,1,1,0
49,Nitro,N18-102 DENALI ANORAK,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,,0,1,1,0
50,Nitro,N18-102 DENALI ANORAK,"#5 ykk, 5vt9, 
vislon® aquaguard® matte film",ykk / dalh 1-way semi auto locking,center front,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1,0,1,0,1
51,Nitro,N18-102 DENALI ANORAK,"#3 ykk, 3vt9, 
vislon® aquaguard® matte film",non ykk /  1-way dfw short non locking,chest pocket vertical,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1,0,1,0,1
52,Nitro,N18-102 DENALI ANORAK,"#3 ykk, 3vt9, 
vislon® aquaguard® matte film",non ykk /  1-way dfw short non locking,sleeve pocket,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1,0,1,0,1
53,Nitro,N18-102 DENALI ANORAK, #5 coil zipper,ykk / dalh 1-way semi auto locking,side entry zippers,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2,0,1,0,1
54,Nitro,N18-102 DENALI ANORAK, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets vertical,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2,0,1,0,1
55,Nitro,N18-102 DENALI ANORAK,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,,color,,,,,1,0,1,0,1
56,Nitro,N18-102 DENALI ANORAK,nitro custom pull / n14-trim-139,knk / 3738,chest pocket vertical,,color,,,,,1,0,1,0,1
57,Nitro,N18-102 DENALI ANORAK,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,,color,,,,,1,0,1,0,1
58,Nitro,N18-102 DENALI ANORAK,nitro custom pull / n14-trim-139,knk / 3738,side entry zippers,,color,,,,,1 per side = 2,0,1,0,1
59,Nitro,N18-102 DENALI ANORAK,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2,0,1,0,1
60,Nitro,N18-102 DENALI ANORAK,nitro trim number //  metal snap,xxx,chin,,color,,,,,1,0,1,0,1
61,Nitro,N18-102 DENALI ANORAK,8mm metal eyelet,luk's / et04,front hood adjust,,metal color,,,,,2 per side = 4,0,1,0,1
62,Nitro,N18-102 DENALI ANORAK,metal eyelets 11mm ,luk's / et89,back hood adjust,,metal color,,,,,1,0,1,0,1
63,Nitro,N18-102 DENALI ANORAK,"grosgrain 1/4""",xxx,attach front hood cord lock,,color,,,,,1 per side = 2,0,1,0,1
64,Nitro,N18-102 DENALI ANORAK,"grosgrain 3/8""",xxx,attach back hood cord lock,,color,,,,,1,0,1,0,1
65,Nitro,N18-102 DENALI ANORAK,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,,color,,,,,1,0,1,0,1
66,Nitro,N18-102 DENALI ANORAK,"elastic  1""",xxx,encased in back of sleeve cuffs,,color,,,,,1 per side = 2,0,1,0,1
67,Nitro,N18-102 DENALI ANORAK,shockcord,xxx,hood,,color,,,,,1,0,1,0,1
68,Nitro,N18-102 DENALI ANORAK,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,hand pocket flaps,,match to shell,,,,,2 per side = 4,0,1,0,1
69,Nitro,N18-102 DENALI ANORAK,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2,0,1,0,1
70,Nitro,N18-102 DENALI ANORAK,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2,0,1,0,1
71,Nitro,N18-102 DENALI ANORAK,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount,0,1,0,1
72,Nitro,N18-103 JARVIS,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,,0,1,1,0
73,Nitro,N18-103 JARVIS,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,,0,1,1,0
74,Nitro,N18-103 JARVIS,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,,0,1,1,0
75,Nitro,N18-103 JARVIS,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,,0,1,1,0
76,Nitro,N18-103 JARVIS,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,color,,,,,,0,1,1,0
77,Nitro,N18-103 JARVIS,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,,0,1,1,0
78,Nitro,N18-103 JARVIS,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,,0,1,1,0
79,Nitro,N18-103 JARVIS,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,,0,1,1,0
80,Nitro,N18-103 JARVIS,power stretch mesh,supplier / ref code,underarm vents,100% polyester,color,,,,,,0,1,1,0
81,Nitro,N18-103 JARVIS,power stretch mesh,supplier / ref code,goggle pocket,100% polyester,color,,,,,,0,1,1,0
82,Nitro,N18-103 JARVIS,power stretch mesh,supplier / ref code,back vent,100% polyester,color,,,,,,0,1,1,0
