,brand,style,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,spec,item,position,ref,fabric,trims,outer,inner
42,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,match to shell,match to shell,match to shell,,,,,"1"" x 3 3/4"" velcro with rounded corners",cuff on body,paiho / loop#1057,0,1,1,0
43,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,match to shell,match to shell,match to shell,,,,,"1"" x 2 1/2"" velcro with rounded corners",cuff on tab,paiho / hooketn7,0,1,1,0
44,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,thread,supplier/ ref number,spi,0,1,1,0
45,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,none,,match to shell,match to shell,match to shell,,,,,seams,Feb-30,10-12 spi,0,1,1,0
46,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,none,,match to shell,match to shell,match to shell,,,,,topstitch,Feb-30,8-10 spi,0,1,1,0
47,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,none,,match to shell,match to shell,match to shell,,,,,bartacks,100/2,none,0,1,1,0
48,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,none,,match to shell,match to shell,match to shell,,,,,sleeve gaiter cover stitch,none,must be stretch thread,0,1,1,0
49,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,labels ,location,supplier/ reference number,0,1,1,0
50,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped,,,,,10k/10k critically taped,center back below neck seam,soluna/ main label,0,1,1,0
51,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",,,,,size label (sample size l),center back below main label,soluna/ size label,0,1,1,0
52,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,hang tags,location,supplier/ reference number,0,1,1,0
53,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,,,,,mens jacket hang tag,left side hand pocket zipper,soluna/ mens jacket hang tag,0,1,1,0
54,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,care and content labels,location,supplier/ reference number,0,1,1,0
55,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,address label,address label,address label,,,,,address label,lining left side seam,factory sourced,0,1,1,0
56,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,content label,content label,content label,,,,,content label,lining left side seam,factory sourced,0,1,1,0
57,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,washing label,washing label,washing label,,,,,washing label,lining left side seam,factory sourced,0,1,1,0
58,L1,L1-102-17_WINDSOR_TRIMS,1,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 vislon,center front,ykk za/dag snap on // 2-way seperating auto lock ,0,1,1,0
59,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 coil,underarms,dadhr diecast wire (non ykk) auto lock (zip up to close) ,0,1,1,0
