,0,1,2,3,4,5,6,7,8,9
22,branded trims,supplier/ reference number,location,amount,silt,ink,military,black,0,0
23,"l1-2018-trim-006/ 
large brown faux leather hem wrap
artwork debossed 1mm 3.8 cm x 2 cm",please source,horizontal hand pocket flap right side,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
24,"l1-2018-trim-028/ 
l1 wmns - freedom patch
brown faux leather
",please source,left sleeve shoulder,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
25,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,matching,matching,matching,matching,none,none
26,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,matching,matching,matching,matching,none,none
28,trims,supplier/ reference number,location,amount,silt,ink,military,black,0,0
29,15mm metal snap ,luk's / 404,powder skirt - front closure,"2 female, 4 male",cp016 copper,cp016 copper,cp016 copper,cp016 copper,none,none
30,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none,none
31,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none,none
32,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,cp016 copper,cp016 copper,cp016 copper,cp016 copper,none,none
33,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,16-5807 tcx silt,19-4010 tcx ink,19-0515 tcx military,19-4006 tcx black,none,none
34,bead,sv160725-1a,front hood adjust,1 per side = 2,16-5807 tcx silt,19-4010 tcx ink,19-0515 tcx military,19-4006 tcx black,none,none
35,keyclip,as production ,right hand pocket,1 per side = 2,black,black,black,black,none,none
37,notions,supplier/ reference number,location,amount,silt,ink,military,black,0,0
38,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black,none,none
39,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black,none,none
40,grosgrain,none,powder skirt - side tabs jacket to pant connection ,1,black,black,black,black,none,none
41,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black,none,none
42,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric,none,none
43,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric,none,none
44,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric,none,none
45,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black,none,none
46,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw17-062
chun wo ho (please source)",hood,1,"colorway: 3 = 12-0105 tcx bone/
16-5807 tcx silt","colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal",none,none
47,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black,none,none
49,velcro,supplier/ reference number,location,amount,silt,ink,military,black,0,0
50,"3/4"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
51,"3/4"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
53,thread,spi,supplier/ ref number,amount,silt,ink,military,black,0,0
54,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
55,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,none,none
56,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,none,none
58,labels ,supplier/ reference number,location,amount,silt,ink,military,black,0,0
59,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none,none,none
60,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none,none,none
62,hang tags,supplier/ reference number,location,amount,silt,ink,military,black,0,0
